date,ma200,ma150,ma50
20220103,-1,-1,-1
20220104,-1,-1,-1
20220105,-1,-1,-1
20220106,-1,-1,-1
20220107,-1,-1,-1
20220110,-1,-1,-1
20220111,-1,-1,-1
20220112,-1,-1,-1
20220113,-1,-1,-1
20220114,-1,-1,-1
20220118,-1,-1,-1
20220119,-1,-1,-1
20220120,-1,-1,-1
20220121,-1,-1,-1
20220124,-1,-1,-1
20220125,-1,-1,-1
20220126,-1,-1,-1
20220127,-1,-1,-1
20220128,-1,-1,-1
20220131,-1,-1,-1
20220201,-1,-1,-1
20220202,-1,-1,-1
20220203,-1,-1,-1
20220204,-1,-1,-1
20220207,-1,-1,-1
20220208,-1,-1,-1
20220209,-1,-1,-1
20220210,-1,-1,-1
20220211,-1,-1,-1
20220214,-1,-1,-1
20220215,-1,-1,-1
20220216,-1,-1,-1
20220217,-1,-1,-1
20220218,-1,-1,-1
20220222,-1,-1,-1
20220223,-1,-1,-1
20220224,-1,-1,-1
20220225,-1,-1,-1
20220228,-1,-1,-1
20220301,-1,-1,-1
20220302,-1,-1,-1
20220303,-1,-1,-1
20220304,-1,-1,-1
20220307,-1,-1,-1
20220308,-1,-1,-1
20220309,-1,-1,-1
20220310,-1,-1,-1
20220311,-1,-1,-1
20220314,-1,-1,-1
20220315,-1,-1,24.6257
20220316,-1,-1,24.5152
20220317,-1,-1,24.4245
20220318,-1,-1,24.4001
20220321,-1,-1,24.3657
20220322,-1,-1,24.35
20220323,-1,-1,24.3144
20220324,-1,-1,24.3214
20220325,-1,-1,24.3168
20220328,-1,-1,24.3493
20220329,-1,-1,24.3809
20220330,-1,-1,24.4209
20220331,-1,-1,24.4714
20220401,-1,-1,24.5312
20220404,-1,-1,24.6151
20220405,-1,-1,24.6689
20220406,-1,-1,24.703
20220407,-1,-1,24.7239
20220408,-1,-1,24.7418
20220411,-1,-1,24.7158
20220412,-1,-1,24.6547
20220413,-1,-1,24.5839
20220414,-1,-1,24.5245
20220418,-1,-1,24.4749
20220419,-1,-1,24.4276
20220420,-1,-1,24.3606
20220421,-1,-1,24.2559
20220422,-1,-1,24.1078
20220425,-1,-1,23.9934
20220426,-1,-1,23.8902
20220427,-1,-1,23.7793
20220428,-1,-1,23.6353
20220429,-1,-1,23.4909
20220502,-1,-1,23.3933
20220503,-1,-1,23.331
20220504,-1,-1,23.2637
20220505,-1,-1,23.1961
20220506,-1,-1,23.1031
20220509,-1,-1,22.9607
20220510,-1,-1,22.822
20220511,-1,-1,22.6857
20220512,-1,-1,22.5342
20220513,-1,-1,22.4168
20220516,-1,-1,22.3069
20220517,-1,-1,22.252
20220518,-1,-1,22.1536
20220519,-1,-1,22.0437
20220520,-1,-1,21.9243
20220523,-1,-1,21.817
20220524,-1,-1,21.7125
20220525,-1,-1,21.5675
20220526,-1,-1,21.4357
20220527,-1,-1,21.3246
20220531,-1,-1,21.1704
20220601,-1,-1,21.003
20220602,-1,-1,20.8687
20220603,-1,-1,20.7277
20220606,-1,-1,20.5408
20220607,-1,-1,20.3647
20220608,-1,-1,20.173
20220609,-1,-1,19.9637
20220610,-1,-1,19.7467
20220613,-1,-1,19.5123
20220614,-1,-1,19.2996
20220615,-1,-1,19.0881
20220616,-1,-1,18.8834
20220617,-1,-1,18.7175
20220621,-1,-1,18.5616
20220622,-1,-1,18.4236
20220623,-1,-1,18.3116
20220624,-1,-1,18.2227
20220627,-1,-1,18.1166
20220628,-1,-1,18.0119
20220629,-1,-1,17.8815
20220630,-1,-1,17.7458
20220701,-1,-1,17.602
20220705,-1,-1,17.499
20220706,-1,-1,17.4144
20220707,-1,-1,17.3305
20220708,-1,-1,17.2734
20220711,-1,-1,17.1992
20220712,-1,-1,17.1168
20220713,-1,-1,17.0443
20220714,-1,-1,16.9634
20220715,-1,-1,16.878
20220718,-1,-1,16.7946
20220719,-1,-1,16.7614
20220720,-1,-1,16.7424
20220721,-1,-1,16.7571
20220722,-1,-1,16.7512
20220725,-1,-1,16.7565
20220726,-1,-1,16.7661
20220727,-1,-1,16.7628
20220728,-1,-1,16.777
20220729,-1,-1,16.7747
20220801,-1,-1,16.8138
20220802,-1,-1,16.8298
20220803,-1,-1,16.872
20220804,-1,-1,16.9232
20220805,-1,-1,16.9748
20220808,-1,21.0682,17.0115
20220809,-1,20.981,16.9922
20220810,-1,20.9081,16.9752
20220811,-1,20.8431,16.9589
20220812,-1,20.7794,16.9694
20220815,-1,20.7248,16.9556
20220816,-1,20.6668,16.9583
20220817,-1,20.6028,16.9461
