datetime,open,close,high,low,volume
202201030900,369.9133,373.83,373.83,368.6667,37900.0
202201030901,373.3333,372.0,373.3333,371.7367,17000.0
202201030902,372.0,374.8867,375.2367,372.0,33700.0
202201030903,374.52,373.6667,374.8867,373.2967,25700.0
202201030904,374.0,375.1,375.1,374.0,23900.0
202201030905,375.3333,375.3333,375.3333,375.0,12800.0
202201030906,375.5,377.0,377.0,375.5,17400.0
202201030907,376.9467,377.6667,378.0833,376.9467,19200.0
202201030908,377.37,377.3833,378.0067,377.3267,24800.0
202201030909,377.5733,375.6,377.5733,375.6,29400.0
202201030910,376.33,377.6667,377.6667,376.0,14300.0
202201030911,376.7267,376.6867,376.7267,376.6667,15900.0
202201030912,376.4633,377.0,377.0,376.4633,11700.0
202201030913,376.6333,376.6667,376.6667,375.7333,14800.0
202201030914,376.7167,376.4167,376.7167,376.3333,7300.0
202201030915,376.3,376.3333,376.5,376.3,3900.0
202201030916,376.2833,375.69,376.2833,375.69,17400.0
202201030917,375.3167,375.5333,375.9933,375.3167,12600.0
202201030918,375.8333,375.8333,375.8333,375.8333,700.0
202201030919,375.63,375.35,375.63,375.35,2100.0
202201030920,375.0,375.3067,375.3067,374.9467,5900.0
202201030921,375.09,374.6667,375.09,374.6667,14100.0
202201030922,374.6667,374.67,374.6833,374.55,5400.0
202201030923,374.5667,374.71,374.71,374.5667,4300.0
202201030924,374.6667,374.1667,374.6667,374.1667,2600.0
202201030925,374.0,374.3333,374.3333,373.6767,7900.0
202201030926,374.33,373.9667,374.33,373.7667,5200.0
202201030927,373.9667,374.3267,374.3267,373.9667,6700.0
202201030928,374.53,374.53,374.53,374.53,1600.0
202201030929,374.3333,375.0,375.0,374.2333,16700.0
202201030930,375.0,375.0,375.0,375.0,0.0
202201030931,374.8333,375.0,375.0,374.6667,6000.0
202201030932,375.0533,374.3567,375.0533,374.3567,9400.0
202201030933,374.3333,374.3333,374.3333,374.3333,700.0
202201030934,374.3333,374.3333,374.3333,374.3333,0.0
202201030935,375.0,375.3333,375.3333,375.0,6800.0
202201030936,375.3333,375.6667,375.6667,375.3333,4700.0
202201030937,375.77,375.0667,375.77,375.0667,4000.0
202201030938,375.1667,375.1667,375.1667,375.1667,2800.0
202201030939,375.0567,375.3333,375.3367,374.93,17200.0
202201030940,375.2033,375.61,375.61,375.2033,3700.0
202201030941,375.72,375.9967,376.0,375.72,5100.0
202201030942,376.0,375.8067,376.0,375.6667,4800.0
202201030943,375.8067,375.8067,375.8067,375.8067,0.0
202201030944,376.1267,376.3267,376.3267,376.1267,4100.0
202201030945,376.0333,376.29,376.6667,376.0333,30200.0
202201030946,376.37,376.5333,376.6867,376.33,6800.0
202201030947,376.5333,376.96,377.0033,376.5333,17100.0
202201030948,376.6667,376.6667,376.6667,376.6667,10700.0
202201030949,376.9333,376.6667,376.9967,376.6667,4600.0
202201030950,376.3333,376.3333,376.3333,376.3333,3700.0
202201030951,376.6667,376.67,376.67,376.6667,1500.0
202201030952,376.7167,376.7367,376.83,376.7167,3000.0
202201030953,376.7833,376.98,376.98,376.7833,2300.0
202201030954,376.8333,376.6667,376.8333,376.6667,2500.0
202201030955,376.3333,376.3333,376.3333,376.3333,700.0
202201030956,376.6667,376.6667,376.6667,376.6667,700.0
202201030957,376.6667,376.6667,376.6667,376.6667,0.0
202201030958,376.3333,376.3333,376.3333,376.3333,700.0
202201030959,376.3333,376.3333,376.3333,376.3333,0.0
202201031000,376.3333,376.3333,376.3333,376.3333,0.0
202201031001,376.6667,377.1333,377.1333,376.6667,6600.0
202201031002,377.1667,377.0033,377.1667,377.0,5700.0
202201031003,376.8667,377.1667,377.1667,376.8667,2200.0
202201031004,377.0,377.1333,377.1333,377.0,1500.0
202201031005,377.1333,377.1333,377.1333,377.1333,0.0
202201031006,377.0,377.0,377.0,377.0,2200.0
202201031007,376.8333,376.8333,376.8333,376.8333,700.0
202201031008,376.99,376.9,376.99,376.9,3000.0
202201031009,376.78,376.6667,376.78,376.6667,6800.0
202201031010,376.6667,376.72,376.72,376.6667,3200.0
202201031011,376.72,376.72,376.72,376.72,0.0
202201031012,376.72,376.72,376.72,376.72,0.0
202201031013,376.9333,376.9333,376.9333,376.9333,700.0
202201031014,376.9333,376.9333,376.9333,376.9333,0.0
202201031015,377.05,377.05,377.05,377.05,700.0
202201031016,376.8867,376.5967,376.8867,376.5967,5500.0
202201031017,376.3333,375.91,376.3333,375.91,36800.0
202201031018,376.0,376.2433,376.2433,376.0,4800.0
202201031019,376.3533,376.1667,376.3533,376.1667,6700.0
202201031020,376.5,376.5,376.5,376.5,700.0
202201031021,376.5,376.5,376.5,376.5,0.0
202201031022,376.2533,376.2533,376.2533,376.2533,700.0
202201031023,376.2533,376.2533,376.2533,376.2533,0.0
202201031024,376.2533,376.2533,376.2533,376.2533,0.0
202201031025,376.2533,376.2533,376.2533,376.2533,0.0
202201031026,376.1333,376.1333,376.1333,376.1333,900.0
202201031027,376.0533,376.0467,376.1533,376.0467,4500.0
202201031028,376.2,375.93,376.2,375.93,2500.0
202201031029,375.93,375.6667,375.93,375.6667,3100.0
202201031030,375.6667,375.6667,375.6667,375.6667,0.0
202201031031,375.61,375.8233,375.8233,375.61,1500.0
202201031032,375.93,375.93,375.93,375.93,800.0
202201031033,375.93,375.93,375.93,375.93,0.0
202201031034,375.93,375.93,375.93,375.93,0.0
202201031035,375.6667,375.69,375.69,375.6667,1700.0
202201031036,375.69,375.69,375.69,375.69,0.0
202201031037,375.3333,375.3333,375.3333,375.3333,800.0
202201031038,375.3167,375.3267,375.3267,375.3167,2400.0
202201031039,375.3267,375.3267,375.3267,375.3267,0.0
202201031040,375.3267,375.3267,375.3267,375.3267,0.0
202201031041,375.5033,375.5033,375.5033,375.5033,700.0
202201031042,375.5033,375.5033,375.5033,375.5033,0.0
202201031043,375.6267,375.6667,375.6667,375.6267,1500.0
202201031044,375.6667,375.6667,375.6667,375.6667,0.0
202201031045,375.2567,375.2567,375.2567,375.2567,700.0
202201031046,375.2567,375.2567,375.2567,375.2567,0.0
202201031047,375.2567,375.2567,375.2567,375.2567,0.0
202201031048,375.3333,375.3333,375.3333,375.3333,700.0
202201031049,375.5,375.5833,375.5833,375.5,2200.0
202201031050,375.6667,375.6667,375.6667,375.6667,2600.0
202201031051,375.73,375.73,375.73,375.73,1200.0
202201031052,375.73,375.73,375.73,375.73,0.0
202201031053,375.73,375.73,375.73,375.73,0.0
202201031054,375.73,375.73,375.73,375.73,0.0
202201031055,375.73,375.73,375.73,375.73,0.0
202201031056,375.73,375.73,375.73,375.73,0.0
202201031057,375.73,375.73,375.73,375.73,0.0
202201031058,375.76,375.83,375.8333,375.76,3200.0
202201031059,375.83,375.83,375.83,375.83,0.0
202201031100,375.83,375.83,375.83,375.83,0.0
202201031101,376.1667,376.3333,376.41,376.1667,11500.0
202201031102,376.4,376.8167,376.8167,376.4,9300.0
202201031103,376.7767,376.7767,376.7767,376.7767,700.0
202201031104,376.7933,376.7933,376.7933,376.7933,700.0
202201031105,376.9,376.9033,376.9033,376.8333,14800.0
202201031106,376.8367,376.8333,376.8367,376.7967,3000.0
202201031107,377.13,377.1167,377.2333,377.1167,5800.0
202201031108,377.2333,377.3867,377.6833,377.2333,21700.0
202201031109,377.4667,377.7133,377.7133,377.4333,7100.0
202201031110,377.7,377.98,377.98,377.6667,10400.0
202201031111,377.6667,377.83,377.83,377.6667,9700.0
202201031112,377.6667,377.6667,377.6667,377.6667,1500.0
202201031113,377.5567,377.3533,377.5567,377.3333,4400.0
202201031114,377.4367,377.3667,377.4367,377.3667,3600.0
202201031115,377.3333,377.4,377.4,377.3333,3700.0
202201031116,377.4167,377.4833,377.4833,377.3833,3000.0
202201031117,377.6167,377.6667,377.6667,377.6167,2200.0
202201031118,377.6667,377.8333,377.8333,377.6667,4500.0
202201031119,378.0,378.0333,378.0333,377.9967,3000.0
202201031120,378.1667,378.4333,378.5767,378.1667,25100.0
202201031121,378.3333,378.3333,378.6667,378.3333,69800.0
202201031122,378.5667,379.31,379.31,378.4667,11400.0
202201031123,379.0233,379.0,379.1333,379.0,5200.0
202201031124,379.0,379.0,379.3333,379.0,30300.0
202201031125,378.5533,378.66,378.6667,378.47,6600.0
202201031126,378.6667,378.46,378.79,378.46,12400.0
202201031127,378.3333,378.6467,378.6467,378.3333,13000.0
202201031128,378.5333,378.5333,378.5333,378.5333,700.0
202201031129,378.46,378.8333,378.9133,378.46,9800.0
202201031130,378.7833,378.6167,378.7833,378.6167,3400.0
202201031131,378.6167,378.6167,378.6167,378.6167,0.0
202201031132,378.9933,379.16,379.2467,378.9933,11300.0
202201031133,379.0467,379.0067,379.0467,379.0067,1800.0
202201031134,379.0067,379.0067,379.0067,379.0067,0.0
202201031135,379.0,379.2667,379.2667,379.0,6900.0
202201031136,379.2667,379.2667,379.2667,379.2667,0.0
202201031137,379.2667,379.2667,379.2667,379.2667,0.0
202201031138,379.11,379.11,379.11,379.11,700.0
202201031139,379.11,379.11,379.11,379.11,0.0
202201031140,379.0133,378.9167,379.0133,378.8333,17200.0
202201031141,378.92,378.95,379.0,378.92,3700.0
202201031142,378.9167,378.6667,378.9167,378.6667,40500.0
202201031143,378.5,378.19,378.5,378.0333,12800.0
202201031144,378.0,378.3167,378.3167,378.0,15300.0
202201031145,378.3167,378.3167,378.3167,378.3167,0.0
202201031146,378.2267,378.1167,378.2267,378.1167,1600.0
202201031147,378.3333,378.5733,378.5733,378.3333,2000.0
202201031148,378.5733,378.5733,378.5733,378.5733,0.0
202201031149,378.4967,378.4967,378.4967,378.4967,700.0
202201031150,378.4967,378.4967,378.4967,378.4967,0.0
202201031151,378.4967,378.4967,378.4967,378.4967,0.0
202201031152,378.4967,378.4967,378.4967,378.4967,0.0
202201031153,378.14,378.0,378.14,378.0,8000.0
202201031154,377.86,377.72,377.8667,377.72,3500.0
202201031155,378.0,378.0,378.0,378.0,1000.0
202201031156,378.2633,378.3333,378.3333,378.2633,7200.0
202201031157,377.9767,377.6833,377.9767,377.6833,1700.0
202201031158,378.1667,378.1667,378.1667,378.1667,2500.0
202201031159,378.0,378.0033,378.0033,378.0,3900.0
202201031200,378.1667,377.0,378.3333,376.85,127000.0
202201031201,377.0,377.3333,377.5,377.0,50000.0
202201031202,377.2967,377.02,377.5,377.02,16000.0
202201031203,377.16,377.66,377.6667,377.0,45500.0
202201031204,377.6,377.6667,377.6667,377.3333,32800.0
202201031205,377.8933,378.12,378.1567,377.6667,41200.0
202201031206,378.0033,377.8367,378.1267,377.8333,29400.0
202201031207,377.8333,377.8333,377.8333,377.6667,22900.0
202201031208,377.79,377.6867,377.9633,377.6667,27700.0
202201031209,377.7033,377.5267,377.7033,377.5267,13500.0
202201031210,377.4333,377.6267,377.6267,377.33,14300.0
202201031211,377.61,377.4933,377.6467,377.4933,5200.0
202201031212,377.3,377.4167,377.4167,377.3,3300.0
202201031213,377.5,377.67,377.7967,377.5,19100.0
202201031214,377.6633,377.78,377.8333,377.6633,12300.0
