datetime,open,close,high,low,volume,status
20230103,15.07,14.314,15.1,14.096,337165600.0,1
20230104,14.415,14.747,14.853,14.241,364079400.0,1
20230105,14.646,14.273,14.879,14.147,320587200.0,1
20230106,14.315,14.846,15.01,14.034,346439900.0,1
20230109,14.859,15.61,16.056,14.859,417090000.0,1
20230110,15.599,15.941,15.962,15.411,327556300.0,1
20230111,15.948,16.02,16.041,15.563,297342900.0,1
20230112,16.0,16.468,16.637,15.492,469025500.0,1
20230113,16.4,16.904,16.922,16.161,378687500.0,1
20230117,16.906,17.665,17.728,16.749,421534800.0,1
20230118,17.678,17.36,17.873,17.282,371650400.0,1
20230119,17.279,16.825,17.377,16.731,388411000.0,1
20230120,16.857,17.886,17.886,16.814,456238600.0,1
20230123,17.874,19.218,19.245,17.817,548408800.0,1
20230124,19.145,19.134,19.535,18.764,426133300.0,1
20230125,19.211,19.46,19.48,18.58,386819200.0,1
20230126,19.49,19.381,20.166,19.278,403813600.0,1
20230127,19.299,20.327,20.628,19.299,455499900.0,1
20230130,20.085,19.181,20.315,19.131,400087000.0,1
20230131,19.05,19.29,19.778,18.765,417894900.0,1
20230201,19.404,21.023,21.192,19.398,554993000.0,1
20230202,20.95,21.142,21.949,20.66,454595800.0,1
20230203,21.057,21.091,21.745,20.789,350042600.0,1
20230206,20.973,21.175,21.57,20.6,376062300.0,1
20230207,21.193,22.25,22.35,21.036,548428800.0,1
20230208,22.25,22.195,22.878,22.008,448223500.0,1
20230209,22.525,22.3,23.02,22.12,427206500.0,1
20230210,22.226,21.27,22.285,20.811,450264400.0,1
20230213,21.374,21.82,22.048,20.962,398997200.0,1
20230214,21.798,22.85,23.049,21.366,557994200.0,1
20230215,22.79,22.763,22.915,22.106,346142700.0,1
20230216,22.7,21.68,22.98,21.675,337188200.0,1
20230217,21.591,21.525,21.835,20.975,378892400.0,1
20230221,21.383,20.59,21.494,20.53,334611600.0,1
20230222,20.649,22.575,22.652,20.421,405984600.0,1
20230223,22.58,23.61,23.888,22.34,891504700.0,1
20230224,23.43,23.284,23.566,22.947,472253300.0,1
20230227,23.396,23.52,23.88,23.225,354245800.0,1
20230228,23.519,22.87,23.825,22.759,365997700.0,1
20230301,22.913,22.731,23.274,22.508,349422200.0,1
20230302,22.308,23.239,23.381,22.295,310838600.0,1
20230303,23.3,23.862,23.9,23.13,329521400.0,1
20230306,23.95,23.565,24.248,23.487,355228900.0,1
20230307,23.64,23.263,24.125,23.241,417403700.0,1
20230308,23.35,24.245,24.288,23.196,427270100.0,1
20230309,24.1,23.34,24.454,23.284,410870300.0,1
20230310,23.301,22.975,23.722,22.726,379815000.0,1
20230313,23.208,23.06,23.673,22.297,330760600.0,1
20230314,23.037,24.103,24.219,22.8,385582800.0,1
20230315,24.126,24.35,24.4,23.36,409644300.0,1
20230316,24.38,25.8,25.813,23.894,454573600.0,1
20230317,25.757,25.64,26.399,25.5,689620400.0,1
20230320,25.513,25.96,26.024,25.129,340132000.0,1
20230321,26.0,26.189,26.392,25.381,439558000.0,1
20230322,26.191,26.68,27.589,26.061,636464700.0,1
20230323,26.684,27.315,27.499,26.68,441270100.0,1
20230324,27.32,26.77,27.37,26.355,351587000.0,1
20230327,26.74,26.568,27.049,26.365,292655800.0,1
20230328,26.48,26.47,26.598,25.85,281611100.0,1
20230329,26.702,26.928,27.078,26.466,308536500.0,1
20230330,27.05,27.331,27.499,26.861,282843500.0,1
20230331,27.376,27.8,27.835,27.105,350487500.0,1
20230403,27.732,27.93,28.0,27.336,312724700.0,1
20230404,27.922,27.4,28.135,27.307,290974600.0,1
20230405,27.342,26.72,27.4,26.395,394627600.0,1
20230406,26.765,27.056,27.08,26.427,300780200.0,1
20230410,26.979,27.662,27.675,26.65,302198800.0,1
20230411,27.6,27.145,27.79,27.125,240301900.0,1
20230412,27.101,26.334,27.513,26.32,354908600.0,1
20230413,26.33,26.45,26.887,26.29,280954800.0,1
20230414,26.45,26.722,26.883,26.22,317378400.0,1
20230417,26.701,27.155,27.284,26.433,255544300.0,1
20230418,27.31,27.715,28.11,27.062,493580700.0,1
20230419,27.662,27.809,28.0,27.232,288550000.0,1
20230420,27.681,27.198,28.03,27.0,335117100.0,1
20230421,27.105,27.144,27.183,26.722,268200900.0,1
20230424,26.985,27.03,27.366,26.671,251396300.0,1
20230425,26.841,26.89,27.247,26.223,305598000.0,1
20230426,26.89,27.163,27.33,26.7,325501600.0,1
20230427,27.259,27.135,27.495,26.625,297478400.0,1
20230428,27.154,27.794,27.794,27.008,228222400.0,1
20230501,27.734,28.76,29.059,27.709,458177100.0,1
20230502,28.9,27.853,28.901,27.735,316785000.0,1
20230503,27.91,27.675,28.367,27.472,301894800.0,1
20230504,27.794,27.68,27.96,27.24,247400900.0,1
20230505,27.65,28.652,28.755,27.586,269763300.0,1
20230508,28.7,29.085,29.22,28.35,276850100.0,1
20230509,29.0,28.562,29.09,28.45,232481400.0,1
20230510,28.45,28.915,29.113,28.442,286410900.0,1
20230511,28.999,28.644,29.072,28.246,249111500.0,1
20230512,28.66,28.27,28.8,28.046,209074800.0,1
20230515,28.356,28.942,28.975,28.152,230872400.0,1
20230516,28.964,29.373,29.87,28.815,359191800.0,1
20230517,29.34,30.31,30.349,29.258,336295200.0,1
20230518,30.269,31.85,31.908,30.234,594853900.0,1
20230519,31.79,31.192,31.85,30.916,369122600.0,1
20230522,31.488,31.295,31.52,30.68,293344900.0,1
20230523,31.207,30.72,31.35,30.619,274099000.0,1
20230524,30.451,38.06,39.5,29.806,544504200.0,1
20230525,37.222,37.795,39.95,36.635,1143533100.0,1
20230526,37.84,39.022,39.17,37.401,552355500.0,1
20230530,39.358,39.8,41.938,39.145,692130700.0,1
20230531,39.734,38.0,40.295,37.79,727421600.0,1
20230601,38.002,39.96,40.05,37.9,460329200.0,1
20230602,40.022,39.225,40.5,39.058,369823300.0,1
20230605,38.818,39.0,39.566,38.625,307252900.0,1
20230606,39.148,38.792,39.171,38.148,296606300.0,1
20230607,38.6,37.78,39.499,37.356,393253300.0,1
20230608,37.618,38.645,38.864,37.374,320716500.0,1
20230609,38.5,38.71,39.711,38.5,325659800.0,1
20230612,39.04,39.57,39.58,38.618,297318700.0,1
20230613,39.71,41.325,41.337,39.595,467626900.0,1
20230614,40.512,43.188,43.334,40.5,570113700.0,1
20230615,43.188,42.64,43.289,42.068,436363900.0,1
20230616,42.81,42.762,43.721,42.437,510556000.0,1
20230620,42.694,43.78,43.99,42.155,320600400.0,1
20230621,43.774,42.8,43.982,42.08,424341700.0,1
20230622,42.55,43.121,43.426,42.2,313579700.0,1
20230623,42.615,42.052,42.814,42.015,277360600.0,1
20230626,42.06,40.588,42.764,40.1,450940100.0,1
20230627,40.8,40.585,41.94,40.448,351818900.0,1
20230628,40.988,41.36,41.845,39.65,449387800.0,1
20230629,41.35,40.938,41.65,40.6,291441000.0,1
20230630,41.11,42.284,42.55,40.926,389787100.0,1
20230703,42.41,42.405,42.919,42.202,149616000.0,1
20230705,42.4,42.44,43.177,41.851,247274000.0,1
20230706,42.09,42.12,42.372,41.346,225489600.0,1
20230707,41.93,42.575,43.214,41.83,272032300.0,1
20230710,42.34,42.25,42.872,41.649,264187600.0,1
20230711,42.31,42.414,42.758,42.067,217946800.0,1
20230712,42.474,44.169,44.188,42.474,358226700.0,1
20230713,44.169,46.425,46.428,44.169,352905400.0,1
20230714,46.49,45.654,48.039,45.06,588574400.0,1
20230717,45.83,46.597,46.72,45.231,399453100.0,1
20230718,46.68,47.355,47.896,45.734,434090600.0,1
20230719,47.48,46.585,47.818,46.4,326384400.0,1
20230720,46.5,45.1,47.087,44.93,404861500.0,1
20230721,45.04,44.45,46.017,44.1,623181400.0,1
20230724,44.6,44.657,45.109,44.04,284496000.0,1
20230725,44.824,46.055,46.6,44.75,268765300.0,1
20230726,46.05,45.7,46.205,44.63,282232600.0,1
20230727,45.8,46.3,47.395,45.452,351689400.0,1
20230728,46.48,46.845,47.027,46.12,254983500.0,1
20230731,46.799,46.751,47.13,46.506,194309100.0,1
20230801,46.7,46.195,46.9,46.027,181924400.0,1
20230802,45.567,44.296,46.048,43.387,405914300.0,1
20230803,44.154,44.73,45.118,43.645,244857700.0,1
20230804,44.9,44.585,45.642,44.393,264883200.0,1
20230807,45.08,45.354,45.54,44.563,242885500.0,1
20230808,45.287,44.65,45.287,44.056,271772700.0,1
20230809,44.81,42.43,45.115,42.134,451454200.0,1
20230810,42.701,42.425,43.574,41.835,378843000.0,1
20230811,42.406,40.76,42.493,40.639,415251500.0,1
20230814,40.6,44.557,44.566,40.311,534782000.0,1
20230815,44.411,43.956,45.268,43.71,536435500.0,1
20230816,44.06,43.57,44.675,43.406,403182400.0,1
20230817,43.6,43.23,44.062,43.001,343784000.0,1
20230818,43.1,43.525,43.62,41.66,470495500.0,1
20230821,43.5,47.099,47.292,43.5,523547400.0,1
20230822,47.352,45.8,48.344,45.333,583317000.0,1
20230823,46.35,50.21,52.0,45.208,580032800.0,1
20230824,50.998,46.865,51.248,46.67,873738100.0,1
20230825,47.001,45.877,47.885,45.024,723771100.0,1
20230828,46.441,46.6,46.98,44.888,533090900.0,1
20230829,46.89,48.911,49.081,46.38,553742200.0,1
20230830,48.797,49.345,49.927,48.35,554669500.0,1
20230831,49.331,49.135,49.744,48.8,406386600.0,1
20230901,49.3,48.477,49.885,48.141,362254200.0,1
20230905,48.51,48.39,48.851,47.86,288281900.0,1
20230906,48.374,46.987,48.626,46.586,357951200.0,1
20230907,46.211,46.1,46.955,45.152,327625300.0,1
20230908,46.41,45.52,46.606,45.271,339195200.0,1
20230911,45.952,45.05,46.315,44.312,349504300.0,1
20230912,45.1,44.755,45.673,44.531,259245100.0,1
20230913,44.87,45.79,45.93,44.351,302729700.0,1
20230914,45.862,45.59,46.15,45.131,274398700.0,1
