date,ma200,ma150,ma50
20240102,128.06,135.5426,143.4862
20240103,128.3099,135.7201,143.963
20240104,128.5472,135.8829,144.3152
20240105,128.7717,136.0317,144.6808
20240108,129.0237,136.1983,145.283
20240109,129.2863,136.3737,145.7908
20240110,129.5645,136.5575,146.3174
20240111,129.8484,136.7809,146.7648
20240112,130.1334,136.9833,147.1924
20240116,130.3981,137.1828,147.5078
20240117,130.6465,137.3473,147.785
20240118,130.8979,137.5261,148.0886
20240119,131.1619,137.7194,148.4048
20240122,131.4151,137.9065,148.6432
20240123,131.6943,138.1146,148.945
20240124,131.9715,138.3247,149.2864
20240125,132.2473,138.5436,149.5688
20240126,132.5414,138.7281,149.8902
20240129,132.8611,138.9453,150.1976
20240130,133.1333,139.1354,150.4594
20240131,133.3981,139.3137,150.715
20240201,133.7369,139.5861,151.214
20240202,134.0809,139.8753,151.7142
20240205,134.4086,140.1375,152.2424
20240206,134.7312,140.3937,152.6846
20240207,135.0477,140.6611,153.1638
20240208,135.3667,140.9367,153.6002
20240209,135.7043,141.2333,154.1592
20240212,136.0299,141.5327,154.6726
20240213,136.3367,141.7994,155.1316
20240214,136.6671,142.0651,155.6114
20240215,137.0101,142.3001,156.1098
20240216,137.3372,142.5301,156.552
20240220,137.6642,142.7693,157.0444
20240221,137.9908,143.0147,157.5064
20240222,138.3355,143.2809,158.0436
20240223,138.6812,143.5731,158.6252
20240226,139.0185,143.8678,159.1506
20240227,139.3344,144.1655,159.6392
20240228,139.6326,144.4684,160.1246
20240229,139.9672,144.7909,160.6596
20240301,140.3018,145.1193,161.1428
20240304,140.622,145.4162,161.616
20240305,140.916,145.6849,162.05
20240306,141.1915,145.9661,162.4458
20240307,141.4927,146.2815,162.909
20240308,141.7926,146.5144,163.3438
20240311,142.079,146.7355,163.7314
20240312,142.369,146.9571,164.1678
20240313,142.6803,147.2052,164.6764
20240314,142.9712,147.4761,165.2572
20240315,143.233,147.7129,165.7718
20240318,143.5017,147.9529,166.3584
20240319,143.7657,148.1865,166.9678
20240320,144.0384,148.4595,167.5588
20240321,144.3065,148.7535,168.1048
20240322,144.5683,149.0552,168.6008
20240325,144.8611,149.3663,169.1016
20240326,145.1363,149.6637,169.5952
20240327,145.4209,149.9688,170.1352
20240328,145.685,150.2548,170.6982
20240401,145.9556,150.5813,171.244
20240402,146.229,150.9002,171.7578
20240403,146.5118,151.2336,172.3276
20240404,146.7852,151.5352,172.7972
20240405,147.0823,151.8689,173.355
20240408,147.387,152.1825,173.9172
20240409,147.6588,152.5007,174.4508
20240410,147.9392,152.8244,174.9206
20240411,148.244,153.1788,175.5696
20240412,148.5263,153.4968,176.164
20240415,148.7969,153.7985,176.429
20240416,149.0765,154.0741,176.6802
20240417,149.3316,154.3399,176.9138
20240418,149.5717,154.5583,177.1056
20240419,149.7892,154.7565,177.1736
20240422,150.0324,155.0011,177.3194
20240423,150.2802,155.2651,177.4208
