datetime,open,close,high,low,volume
202501020900,220.44,220.89,221.41,220.25,1300.0
202501020901,220.89,220.89,220.89,220.89,0.0
202501020902,220.89,220.89,220.89,220.89,0.0
202501020903,220.97,220.8,220.97,220.79,1300.0
202501020904,220.63,220.66,220.73,220.63,800.0
202501020905,220.66,221.0,221.0,220.66,1100.0
202501020906,221.1,221.1,221.1,221.1,1000.0
202501020907,221.21,221.21,221.21,221.21,300.0
202501020908,221.21,221.21,221.21,221.21,0.0
202501020909,221.21,221.21,221.21,221.21,0.0
202501020910,221.21,221.21,221.21,221.21,0.0
202501020911,221.2,221.2,221.2,221.2,200.0
202501020912,221.34,221.34,221.34,221.34,200.0
202501020913,221.29,221.29,221.29,221.29,1000.0
202501020914,221.38,221.38,221.38,221.38,200.0
202501020915,221.38,221.38,221.38,221.38,0.0
202501020916,221.38,221.38,221.38,221.38,0.0
202501020917,221.38,221.38,221.38,221.38,0.0
202501020918,221.56,221.56,221.56,221.56,100.0
202501020919,221.55,221.5,221.55,221.5,800.0
202501020920,221.36,221.35,221.37,221.35,1200.0
202501020921,221.35,221.35,221.35,221.35,0.0
202501020922,221.35,221.35,221.35,221.35,0.0
202501020923,221.35,221.35,221.35,221.35,0.0
202501020924,221.35,221.35,221.35,221.35,0.0
202501020925,221.35,221.35,221.35,221.35,400.0
202501020926,221.35,221.35,221.35,221.35,100.0
202501020927,221.29,221.05,221.29,221.05,5300.0
202501020928,221.05,221.05,221.05,221.05,0.0
202501020929,221.05,221.05,221.05,221.05,0.0
202501020930,221.05,221.05,221.05,221.05,0.0
202501020931,221.05,221.05,221.05,221.05,0.0
202501020932,221.05,221.05,221.05,221.05,0.0
202501020933,221.05,221.05,221.05,221.05,0.0
202501020934,221.05,221.05,221.05,221.05,0.0
202501020935,221.05,221.05,221.05,221.05,0.0
202501020936,221.1,221.1,221.1,221.1,100.0
202501020937,221.1,221.1,221.1,221.1,0.0
202501020938,221.09,221.09,221.09,221.09,100.0
202501020939,221.01,221.0,221.01,221.0,3500.0
