date,ma200,ma150,ma50
20250101,248.2669,273.5441,370.7706
20250102,249.3061,274.9496,373.4108
20250103,250.534,276.5088,376.7834
20250104,251.7481,278.0429,379.9622
20250106,252.945,279.5995,382.4496
20250107,254.0615,280.9782,384.394
20250108,255.1655,282.3722,385.7926
20250109,256.2432,283.7814,387.1952
20250110,257.358,285.1866,387.9622
20250111,258.4542,286.5927,389.3488
20250113,259.654,288.0888,390.9644
20250114,260.8269,289.4204,392.7192
20250115,262.1747,290.9534,394.8626
20250116,263.4637,292.3847,396.6978
20250117,264.8621,293.8365,398.475
20250118,266.2704,295.1523,400.154
20250121,267.6726,296.3083,401.7402
20250122,268.9312,297.406,403.2524
20250123,270.1895,298.4693,404.4266
20250124,271.3544,299.4185,405.4802
20250125,272.5372,300.3775,406.8416
20250127,273.5577,301.4485,408.011
20250128,274.6336,302.4318,409.2824
20250129,275.7475,303.4253,410.6704
20250130,276.854,304.3981,411.8006
20250131,277.9647,305.4243,412.8114
20250201,279.0525,306.4374,413.8166
20250203,280.1173,307.4345,414.4724
20250204,281.1917,308.3519,414.8814
20250205,282.2112,309.347,414.5776
20250206,283.2287,310.3781,414.1038
20250207,284.1567,311.2981,413.414
20250208,285.052,312.2088,412.4854
20250210,285.921,312.9803,410.8612
20250211,286.6832,313.66,409.0252
20250212,287.5097,314.3945,407.1724
20250213,288.413,315.3185,405.5668
20250214,289.2599,316.2927,403.1878
20250215,290.1312,317.2846,400.7892
20250218,291.0308,318.3471,399.0126
20250219,291.9373,319.4843,397.4826
20250220,292.8211,320.5007,396.026
20250221,293.6339,321.42,394.3206
20250222,294.4276,322.3507,392.4066
20250224,295.1749,323.1509,389.6418
20250225,295.822,323.8506,386.687
20250226,296.3913,324.3441,383.8486
20250227,296.932,324.7895,380.8724
20250228,297.5076,325.2613,378.4576
20250301,298.0924,325.7612,376.2956
20250303,298.64,326.1607,373.9278
20250304,299.1772,326.6009,371.8602
20250305,299.6782,326.9836,369.1866
20250306,300.0791,327.3142,366.1876
20250307,300.501,327.674,363.2054
20250308,300.8744,328.0745,360.563
20250310,301.026,328.1256,356.9876
20250311,301.2933,328.2678,353.8288
20250312,301.644,328.5605,351.0162
20250313,301.9386,328.7086,347.9762
20250314,302.252,328.8431,344.7414
20250317,302.457,329.0071,341.5666
20250318,302.6076,329.0772,337.57
20250319,302.8182,329.1661,334.1184
20250320,302.9438,329.2183,330.2656
20250321,303.0351,329.3513,326.6836
20250324,303.2044,329.6998,323.8928
20250325,303.3856,330.1076,321.3244
20250326,303.4641,330.3801,318.4484
20250327,303.5093,330.6694,315.7814
20250328,303.5013,330.7754,312.8724
20250331,303.598,330.8874,310.0464
20250401,303.695,331.0119,307.4846
20250402,303.7217,331.0491,304.611
20250403,303.7821,331.1252,301.9342
20250404,303.7113,331.0002,298.5724
20250407,303.6585,330.8562,295.322
20250408,303.5515,330.5683,291.9026
20250409,303.6404,330.6551,289.5058
20250410,303.7428,330.6519,286.9302
20250411,303.9258,330.7305,284.569
20250414,304.0696,330.7235,282.3842
20250415,304.2174,330.7808,280.243
20250416,304.2674,330.7708,278.1288
20250417,304.3471,330.7663,276.4086
20250421,304.3231,330.6875,274.1088
20250422,304.4915,330.9064,272.0108
20250423,304.7112,331.1266,269.9668
20250424,305.0016,331.4217,268.1526
20250425,305.4517,331.8493,266.7654
20250428,305.9316,332.2781,265.2734
20250429,306.3691,332.7311,263.9742
20250430,306.7812,333.158,262.8646
20250501,307.1803,333.5583,261.6694
20250502,307.5861,333.8821,260.8916
20250505,307.9733,334.0206,260.3414
20250506,308.2926,334.0988,260.1378
20250507,308.5917,334.2058,259.9982
20250508,308.9067,334.3738,259.843
20250509,309.3061,334.6619,259.9408
20250512,309.7771,335.1082,260.6262
20250513,310.3987,335.6877,261.7922
20250514,311.0236,336.3712,263.1436
20250515,311.6683,336.9602,264.7308
20250516,312.3286,337.3158,266.2924
20250519,313.0345,337.6239,267.9148
20250520,313.7172,337.7574,270.492
20250521,314.3074,337.8167,272.4262
20250522,314.9731,337.7297,274.2108
20250523,315.5779,337.837,276.186
20250527,316.267,338.0815,278.5386
20250528,317.0324,338.4647,281.1084
20250529,317.7212,338.6953,283.6534
20250530,318.3159,338.8605,285.7654
20250602,318.8883,338.8796,287.8982
20250603,319.463,338.8786,289.7982
20250604,319.9567,338.7867,290.7272
20250605,320.2608,338.4323,290.7202
20250606,320.6115,338.0602,291.3056
20250609,321.0354,337.7984,292.1336
20250610,321.4404,337.7164,293.4352
20250611,321.8639,337.617,294.7936
20250612,322.2002,337.5106,295.7648
20250613,322.562,337.4607,297.1008
20250616,322.9035,337.3245,298.2386
20250617,323.2065,337.0697,299.8254
20250618,323.5135,336.8747,301.4854
20250620,323.8171,336.6462,303.5636
20250623,324.3049,336.5471,305.2542
20250624,324.7549,336.1905,307.0638
20250625,325.181,335.7352,308.5328
20250626,325.5632,335.2935,310.0822
20250627,325.9682,334.7529,311.5304
20250630,326.3049,333.9658,312.9074
20250701,326.599,333.1769,314.0968
20250702,326.9821,332.3824,315.866
20250703,327.4558,331.5605,317.104
20250707,327.8393,330.3773,317.9774
20250708,328.2323,329.202,318.6642
20250709,328.6086,328.2215,318.8864
20250710,329.0599,327.3871,319.4054
20250711,329.5229,326.6329,319.8984
20250714,330.0106,325.9178,320.5682
20250715,330.4675,325.0905,321.1954
20250716,330.8759,324.1301,321.857
20250717,331.1859,323.2368,322.682
20250718,331.4986,322.5614,323.6978
20250721,331.8369,321.8669,324.7302
