datetime,open,close,high,low,volume,status
20260515,264.8,262.64,266.2,260.89,30307800.0,1
20260518,262.13,264.84,268.85,260.14,23453800.0,1
20260519,264.65,259.32,265.0,255.19,27828800.0,1
20260520,259.5,264.19,265.79,258.53,23498300.0,1
20260521,265.01,269.29,269.49,261.37,26924100.0,1
20260522,269.0,265.4,269.79,265.3,19615000.0,1
20260526,268.84,264.95,269.3,262.07,26985500.0,1
20260527,264.89,272.35,273.33,263.88,27882500.0,1
20260528,271.33,272.91,274.5,267.44,28910000.0,1
20260529,271.55,270.48,274.75,269.64,37056300.0,1
20260601,270.5,259.55,270.5,258.25,38140000.0,1
20260602,259.1,256.27,261.21,254.37,29439900.0,1
20260603,256.65,251.25,257.09,247.71,34281300.0,1
20260604,251.76,253.2,255.83,250.02,25424200.0,1
20260605,252.5,245.73,256.38,245.26,37459100.0,1
20260608,247.7,244.98,250.0,243.36,23908900.0,1
20260609,245.98,243.81,250.43,240.4,29115100.0,1
20260610,243.84,236.18,244.35,235.44,27339100.0,1
20260611,240.5,242.25,242.25,235.18,28803100.0,1
20260612,242.35,238.67,245.24,233.59,35865700.0,1
20260615,241.0,248.24,248.55,240.85,29338900.0,1
20260616,248.42,245.77,249.51,245.4,24446500.0,1
20260617,247.09,239.35,247.55,236.0,32633600.0,1
20260618,240.01,243.15,245.73,236.02,51170400.0,1
20260622,243.99,233.03,244.0,232.24,45364400.0,1
20260623,230.17,233.62,236.87,229.36,38225100.0,1
20260624,233.5,233.15,242.42,232.64,46312400.0,1
20260625,233.51,227.01,234.6,225.25,50996900.0,1
20260626,228.0,231.9,233.9,225.27,148461700.0,1
20260629,235.0,240.36,249.71,232.1,53542600.0,1
20260630,240.46,239.3,241.54,236.47,44483000.0,1
20260701,238.62,242.57,244.9,234.9,38713500.0,1
20260702,242.56,243.0,246.72,240.89,30801000.0,1
20260706,244.66,244.78,246.3,240.88,27094100.0,1
