datetime,open,close,high,low,volume,status
20260101,312.89,312.8,312.92,312.71,10500.0,1
20260102,316.45,315.11,322.5,310.33,51472800.0,1
20260103,315.11,315.08,315.11,314.95,16600.0,1
20260105,315.88,316.7,319.02,314.63,45836700.0,1
20260106,316.35,314.18,320.94,311.78,50456000.0,1
20260107,313.4,322.21,326.15,312.78,56604400.0,1
20260108,322.82,325.51,330.32,320.11,48002000.0,1
20260109,326.14,328.77,330.83,325.7,39986200.0,1
20260110,328.77,329.2,329.45,328.77,16000.0,1
20260112,325.01,331.96,334.04,324.51,50703400.0,1
20260113,333.6,337.1,340.49,332.57,55484800.0,1
20260114,337.15,335.0,337.99,330.48,47830700.0,1
20260115,337.15,332.75,338.35,330.74,45430200.0,1
20260116,334.12,329.69,336.48,327.7,58865100.0,1
20260117,329.69,329.55,329.75,329.5,16600.0,1
20260120,321.42,320.13,330.83,316.58,55026100.0,1
20260121,321.94,329.81,332.48,318.2,51646600.0,1
20260122,331.3,330.66,335.6,328.75,39990600.0,1
20260123,330.65,327.65,333.69,327.3,42513200.0,1
20260124,327.65,327.5,327.85,327.5,19700.0,1
20260126,327.73,333.95,335.84,325.49,42450500.0,1
20260127,335.1,334.63,338.29,333.48,29096200.0,1
20260128,335.7,341.55,347.0,331.94,42604000.0,1
20260129,342.12,337.7,343.27,326.54,59285400.0,1
20260130,334.75,337.74,340.0,330.41,47654700.0,1
20260131,337.74,337.8,337.8,337.1,31400.0,1
20260202,334.5,346.92,346.92,330.0,53404900.0,1
20260203,347.68,342.62,349.75,337.47,58475400.0,1
20260204,341.78,328.68,348.9,308.0,110748800.0,1
20260205,328.95,323.8,334.09,306.46,137609500.0,1
20260206,326.74,323.72,330.93,319.92,85821200.0,1
20260207,323.72,323.78,323.85,323.43,67800.0,1
20260209,323.74,324.2,327.7,317.26,60681600.0,1
20260210,324.24,318.71,324.71,314.61,62518900.0,1
20260211,319.13,311.87,321.22,309.66,67284900.0,1
20260212,313.0,308.99,316.24,307.2,79178000.0,1
20260213,308.1,305.72,310.5,303.71,60791100.0,1
20260214,305.8,305.72,305.81,305.44,17100.0,1
20260217,303.58,300.55,304.44,296.25,58576700.0,1
20260218,303.0,303.96,305.38,301.25,47106900.0,1
20260219,304.65,304.44,305.47,300.04,39419600.0,1
20260220,306.99,315.58,316.5,303.89,78304100.0,1
20260221,315.53,315.45,315.58,315.33,20500.0,1
20260223,314.2,312.71,319.52,309.86,45993200.0,1
20260224,311.5,310.96,312.9,305.93,36820300.0,1
20260225,311.72,311.75,313.64,309.44,44083000.0,1
20260226,312.18,308.22,314.48,302.34,53879500.0,1
20260227,308.17,309.01,312.37,303.78,67067900.0,1
20260228,309.12,309.2,309.7,309.01,18500.0,1
20260302,303.23,305.26,308.49,301.3,45419600.0,1
20260303,300.8,302.28,303.94,296.0,52680000.0,1
20260304,302.0,303.43,305.47,298.41,46027100.0,1
20260305,301.78,300.88,305.41,298.0,57130600.0,1
20260306,301.51,297.97,301.92,293.74,38024000.0,1
20260307,297.97,297.13,297.97,297.13,28100.0,1
20260309,292.25,304.66,307.05,289.79,47210500.0,1
20260310,306.99,308.0,309.51,304.05,33867100.0,1
20260311,306.85,305.9,311.42,305.11,38109700.0,1
20260312,306.5,304.0,308.94,301.03,35822500.0,1
20260313,302.65,301.51,308.0,300.44,37035000.0,1
20260316,302.58,304.54,306.49,301.52,37582100.0,1
20260317,304.25,310.39,311.42,302.96,33368200.0,1
20260318,311.54,307.5,313.1,306.21,30728400.0,1
20260319,306.44,307.33,308.4,302.35,32345200.0,1
20260320,306.86,302.58,307.11,298.27,72434300.0,1
20260323,297.92,301.7,307.57,292.0,44592800.0,1
20260324,302.42,293.36,302.96,290.11,56582200.0,1
20260325,293.31,290.09,296.0,289.24,46895100.0,1
20260326,289.83,281.5,291.0,278.58,59640600.0,1
20260327,282.17,272.62,283.99,272.58,53792600.0,1
20260330,274.0,272.18,277.09,272.0,53713800.0,1
20260331,275.2,289.63,289.64,274.33,68339300.0,1
20260401,290.8,297.71,300.52,287.56,60335200.0,1
20260402,292.41,295.85,298.08,288.06,31357400.0,1
20260406,297.16,299.6,301.28,295.18,26444700.0,1
20260407,299.32,314.76,315.95,297.72,36040500.0,1
20260408,316.93,316.79,322.08,315.02,56754700.0,1
20260409,315.52,318.29,319.54,311.06,36484400.0,1
20260410,318.02,317.48,321.83,316.32,29200900.0,1
20260413,314.0,321.08,321.63,313.07,30097500.0,1
20260414,322.55,333.5,333.5,321.1,42306000.0,1
20260415,332.3,337.3,337.5,330.9,39507700.0,1
20260416,337.28,336.69,339.88,334.52,30690200.0,1
20260417,335.75,340.65,342.32,335.3,41342800.0,1
20260420,338.0,338.01,341.4,336.26,28751600.0,1
20260421,338.85,335.1,339.34,331.02,33207600.0,1
20260422,335.3,338.5,339.82,334.0,31463200.0,1
20260423,338.0,339.66,341.96,335.2,29561800.0,1
20260424,339.66,343.59,345.27,335.39,43842900.0,1
20260427,345.0,352.28,353.18,342.73,46753600.0,1
20260428,350.25,350.17,352.68,345.98,42814200.0,1
20260429,350.3,375.29,376.6,344.21,56131900.0,1
20260430,373.0,384.85,386.29,365.82,122154300.0,1
20260501,387.18,385.34,391.39,379.05,59385700.0,1
20260504,387.6,382.86,388.3,379.79,49386000.0,1
20260505,383.91,394.7,399.16,383.27,47742300.0,1
20260506,394.8,397.32,399.85,392.7,57694900.0,1
20260507,399.7,396.95,403.63,392.68,44757500.0,1
20260508,399.65,399.5,402.0,396.36,40793400.0,1
20260511,398.0,389.39,399.0,387.1,54608900.0,1
20260512,387.18,389.68,390.84,382.77,45451500.0,1
20260513,389.77,403.7,403.84,384.91,54440100.0,1
20260514,403.6,400.39,404.39,395.84,41655000.0,1
20260515,395.24,395.25,399.83,392.56,38759900.0,1
20260518,394.0,398.8,408.61,392.5,51458300.0,1
20260519,401.59,387.8,401.7,386.11,65911800.0,1
20260520,389.16,387.39,393.86,382.9,58053200.0,1
20260521,387.41,389.26,392.5,383.02,43506400.0,1
20260522,389.7,382.26,390.8,381.77,34758500.0,1
20260526,385.8,388.79,389.26,382.6,45828700.0,1
20260527,388.89,389.06,393.88,384.9,41953900.0,1
20260528,387.94,389.3,394.81,385.16,37550500.0,1
20260529,388.6,380.57,389.5,378.46,78167600.0,1
20260601,380.0,373.66,381.8,366.3,43671200.0,1
20260602,369.18,362.99,373.54,358.44,95883000.0,1
20260603,363.62,357.94,366.45,355.88,92826400.0,1
20260604,360.68,370.83,373.25,357.29,78024300.0,1
20260605,369.4,364.34,372.19,363.77,69376100.0,1
20260608,364.5,363.03,369.61,360.53,49292100.0,1
20260609,364.86,364.0,372.08,357.3,53894600.0,1
20260610,361.94,354.62,368.56,353.71,56057400.0,1
20260611,359.0,360.17,361.28,346.36,63181700.0,1
20260612,359.98,360.88,366.57,354.94,44534600.0,1
20260615,365.65,369.21,372.99,364.2,50164600.0,1
20260616,369.02,371.94,376.0,367.06,47530800.0,1
20260617,373.1,365.64,373.46,362.02,46761500.0,1
20260618,364.4,366.4,369.48,358.67,78335600.0,1
20260622,363.95,346.2,365.47,341.72,82239600.0,1
20260623,340.7,348.17,351.99,338.0,59777300.0,1
20260624,348.15,342.13,353.48,341.8,82602100.0,1
20260625,341.7,343.0,346.0,335.85,75424300.0,1
20260626,341.19,338.12,346.36,330.2,180697700.0,1
20260629,339.46,353.15,354.35,339.35,63645600.0,1
20260630,353.4,357.18,358.62,350.4,64183100.0,1
20260701,355.87,360.22,362.97,354.32,49653700.0,1
20260702,358.04,359.25,364.21,353.42,48434600.0,1
20260706,359.91,366.34,367.93,357.38,49676200.0,1
20260707,364.92,366.75,373.16,362.8,45417300.0,1
20260708,367.39,359.02,368.8,358.82,18222600.0,1
20260709,362.06,357.16,362.89,351.08,47711900.0,1
20260710,357.3,357.17,360.96,352.75,35142800.0,1
20260713,355.68,353.1,358.13,351.75,30919900.0,1
20260714,352.26,358.67,360.16,349.5,35749800.0,1
20260715,359.79,372.1,373.65,356.85,54854400.0,1
20260716,372.2,357.51,379.5,352.3,79708000.0,1
20260717,350.5,346.45,352.05,341.36,50472200.0,1
20260720,348.0,353.43,359.68,347.2,46787500.0,1
20260721,356.3,348.88,356.75,347.0,44250500.0,1
20260722,348.48,330.76,353.78,325.0,76784500.0,1
20260723,332.29,319.17,333.97,314.93,137471500.0,1
20260724,319.28,318.85,324.18,316.77,60704400.0,1
20260727,324.0,326.82,330.42,320.53,54117200.0,1
20260728,325.71,335.88,335.9,323.61,57282400.0,1
20260729,335.11,335.8,342.5,329.14,55930000.0,1
20260730,334.57,335.66,338.27,330.34,58876200.0,1
20260731,339.31,354.2,358.58,337.21,95120700.0,1
20260803,361.0,370.86,376.7,357.53,73715200.0,1
20260804,373.22,379.39,380.6,366.0,66444100.0,1
20260805,379.62,381.78,384.48,377.93,12348100.0,1
