date,ma200,ma150,ma50
20260101,224.1892,245.1761,304.49
20260102,224.9952,246.0969,305.1212
20260103,225.7824,247.0307,305.8766
20260105,226.6087,247.9783,306.4938
20260106,227.4254,248.9034,307.0784
20260107,228.3128,249.883,307.9202
20260108,229.1958,250.8939,308.8158
20260109,230.1228,251.9747,309.5776
20260110,230.9737,253.0575,310.3354
20260112,231.8712,254.1567,311.2606
20260113,232.7713,255.2621,312.4278
20260114,233.6524,256.3394,313.4178
20260115,234.5404,257.3702,314.3204
20260116,235.42,258.3928,315.2072
20260117,236.3128,259.4185,316.1092
20260120,237.1695,260.3627,316.5152
20260121,238.0447,261.3647,317.347
20260122,238.9189,262.3918,317.9266
20260123,239.7224,263.4135,318.4296
20260124,240.5515,264.4205,318.4488
20260126,241.4189,265.4625,318.6338
20260127,242.2946,266.4929,318.9134
20260128,243.2028,267.5617,319.333
20260129,244.0821,268.5997,319.6892
20260130,244.9518,269.6303,320.1292
20260131,245.8204,270.6545,320.553
20260202,246.7303,271.7303,321.08
20260203,247.6832,272.7433,321.5796
20260204,248.5546,273.6555,321.7432
20260205,249.4103,274.5229,321.8092
20260206,250.2364,275.398,321.9962
20260207,251.0568,276.2691,322.1348
20260209,251.8535,277.1481,322.228
20260210,252.6238,277.9713,322.3312
20260211,253.3658,278.7445,322.3986
20260212,254.0753,279.5344,322.4026
20260213,254.7826,280.3178,322.3688
20260214,255.4676,281.0586,322.3728
20260217,256.1119,281.7687,322.4538
20260218,256.7911,282.4884,322.4896
20260219,257.4479,283.2087,322.4244
20260220,258.151,283.9676,322.5806
20260221,258.8739,284.7323,322.6926
20260223,259.5815,285.4612,322.6484
20260224,260.2922,286.1889,322.5888
20260225,261.0179,286.9147,322.556
20260226,261.7181,287.6099,322.4564
20260227,262.4226,288.3123,322.3762
20260228,263.1001,289.0348,322.2836
20260302,263.745,289.7435,322.131
20260303,264.3622,290.4214,321.9206
20260304,264.9944,291.0661,321.687
20260305,265.6238,291.6833,321.403
20260306,266.2408,292.2878,321.0284
20260307,266.8494,292.8889,320.6874
20260309,267.4964,293.5102,320.3364
20260310,268.167,294.1453,319.9862
20260311,268.8632,294.6759,319.5288
20260312,269.5493,295.1596,319.0248
20260313,270.2215,295.6216,318.4158
20260316,270.8877,296.0872,317.7646
20260317,271.5727,296.5938,317.2724
20260318,272.2195,297.0448,316.7674
20260319,272.8746,297.4953,316.3202
20260320,273.5091,297.9147,315.7808
20260323,274.125,298.3234,315.4122
20260324,274.6943,298.5936,314.6832
20260325,275.2618,298.8522,313.8718
20260326,275.7973,299.0519,312.9488
20260327,276.2782,299.1835,311.8512
20260330,276.7509,299.2958,310.6158
20260331,277.2987,299.5387,309.7158
20260401,277.8811,299.8427,308.839
20260402,278.4503,300.1655,308.002
20260406,279.0326,300.5099,307.2392
20260407,279.6855,300.9635,306.7784
20260408,280.3417,301.4507,306.1758
20260409,280.9798,301.9558,305.6892
20260410,281.6079,302.4423,305.4652
20260413,282.2448,302.9416,305.4108
20260414,282.9501,303.5302,305.6064
20260415,283.671,304.1135,305.8768
20260416,284.3928,304.7212,306.1266
20260417,285.1198,305.3595,306.5654
20260420,285.8304,306.0041,307.0882
20260421,286.5534,306.6671,307.6104
20260422,287.3048,307.2971,308.266
20260423,288.0301,307.9251,308.9448
20260424,288.7779,308.5456,309.8056
20260427,289.5593,309.2241,310.772
20260428,290.3282,309.8659,311.6866
20260429,291.1959,310.6554,312.8808
20260430,292.1164,311.5188,314.2688
20260501,293.0263,312.4092,315.7214
20260504,293.9316,313.2611,317.1594
20260505,294.8906,314.1591,318.8184
20260506,295.8576,315.0047,320.6004
20260507,296.824,315.8631,322.3592
20260508,297.8174,316.5731,324.1652
20260511,298.7696,317.2757,325.8478
20260512,299.715,318.0021,327.5958
20260513,300.6999,318.8031,329.6012
20260514,301.6603,319.6237,331.5914
20260515,302.6001,320.3531,333.537
20260518,303.5593,321.1121,335.5704
20260519,304.4409,321.8299,337.2332
20260520,305.3142,322.541,338.821
20260521,306.129,323.1982,340.4882
20260522,306.8831,323.8045,342.0534
20260526,307.666,324.4918,343.799
20260527,308.4377,325.2273,345.4894
20260528,309.2122,325.9193,347.0676
20260529,309.9158,326.5389,348.529
20260601,310.5854,327.1277,349.8556
20260602,311.202,327.6513,351.0638
20260603,311.7897,328.0387,352.1886
20260604,312.3797,328.5894,353.738
20260605,312.9449,329.0071,355.223
20260608,313.5023,329.4107,356.8536
20260609,314.058,329.6604,358.6812
20260610,314.5543,329.8599,360.33
20260611,315.0892,330.1233,361.7408
20260612,315.6331,330.3921,363.0042
20260615,316.242,330.7209,364.4714
20260616,316.862,331.0955,365.9182
20260617,317.4565,331.4224,366.9358
20260618,318.0701,331.7279,367.928
20260622,318.5884,331.9183,368.4862
20260623,319.1067,332.1028,369.1
20260624,319.5865,332.247,369.521
20260625,320.0754,332.4379,369.711
20260626,320.517,332.5797,369.7274
20260629,321.055,332.8037,370.0566
20260630,321.6164,333.0946,370.3872
20260701,322.2109,333.4394,370.8314
20260702,322.8289,333.7758,371.3144
20260706,323.4406,334.1687,371.8712
20260707,324.0471,334.5769,372.413
20260708,324.5896,334.9937,372.7216
20260709,325.1229,335.3603,372.8192
20260710,325.6393,335.6901,372.9592
20260713,326.1204,335.9923,372.5154
20260714,326.6371,336.3177,371.9918
20260715,327.2387,336.6989,371.727
20260716,327.7508,336.9894,371.22
20260717,328.183,337.2098,370.255
20260720,328.5979,337.478,369.3772
20260721,329.0013,337.7171,368.4158
20260722,329.19,337.8299,367.041
20260723,329.3659,337.8718,365.6366
20260724,329.5566,337.9121,364.22
20260727,329.7729,337.9902,362.6824
20260728,330.0658,338.1289,361.3922
20260729,330.3156,338.2562,360.2032
20260730,330.5692,338.3994,358.9404
20260731,330.9395,338.6127,358.2684
20260803,331.3902,338.915,357.9378
20260804,331.8338,339.2525,357.7404
20260805,332.2861,339.603,357.7308
