datetime,ma200,ma150,ma50
202607020800,-1,-1,371.2984
202607020801,-1,-1,371.299
202607020802,-1,-1,371.2944
202607020803,-1,-1,371.336
202607020804,-1,-1,371.2996
202607020805,-1,-1,371.2972
202607020806,-1,-1,371.3018
202607020807,-1,-1,371.2862
202607020808,-1,-1,371.2862
202607020809,-1,-1,371.287
202607020810,-1,-1,371.284
202607020811,-1,-1,371.2792
202607020812,-1,-1,371.2786
202607020813,-1,-1,371.277
202607020814,-1,-1,371.2764
202607020815,-1,-1,371.267
202607020816,-1,-1,371.2772
202607020817,-1,-1,371.279
202607020818,-1,-1,371.279
202607020819,-1,-1,371.2784
202607020820,-1,-1,371.2748
202607020821,-1,-1,371.276
202607020822,-1,-1,371.2734
202607020823,-1,-1,371.2786
202607020824,-1,-1,371.2776
202607020825,-1,-1,371.281
202607020826,-1,-1,371.2824
202607020827,-1,-1,371.2822
202607020828,-1,-1,371.2768
202607020829,-1,-1,371.273
202607020830,-1,-1,371.2674
202607020831,-1,-1,371.281
202607020832,-1,-1,371.277
202607020833,-1,-1,371.2806
202607020834,-1,-1,371.284
202607020835,-1,-1,371.2794
202607020836,-1,-1,371.2814
202607020837,-1,-1,371.2814
202607020838,-1,-1,371.2818
202607020839,-1,-1,371.284
202607020840,-1,-1,371.284
202607020841,-1,-1,371.284
202607020842,-1,-1,371.2788
202607020843,-1,-1,371.2782
202607020844,-1,-1,371.2818
202607020845,-1,-1,371.2794
202607020846,-1,-1,371.283
202607020847,-1,-1,371.283
202607020848,-1,-1,371.2794
202607020849,-1,-1,371.281
202607020850,-1,-1,371.2774
202607020851,-1,-1,371.2786
202607020852,-1,-1,371.2752
202607020853,-1,-1,371.2706
202607020854,-1,-1,371.2674
202607020855,-1,-1,371.266
202607020856,-1,-1,371.265
202607020857,-1,-1,371.257
202607020858,-1,-1,371.2618
202607020859,-1,-1,371.2566
202607020900,-1,-1,371.2502
202607020901,-1,-1,371.2498
202607020902,-1,-1,371.25
202607020903,-1,-1,371.2504
202607020904,-1,-1,371.2532
202607020905,-1,-1,371.2532
202607020906,-1,-1,371.257
202607020907,-1,-1,371.2652
202607020908,-1,-1,371.262
202607020909,-1,-1,371.2602
202607020910,-1,-1,371.2634
202607020911,-1,-1,371.265
202607020912,-1,-1,371.2656
202607020913,-1,-1,371.2656
202607020914,-1,-1,371.2656
202607020915,-1,-1,371.2636
202607020916,-1,-1,371.2654
202607020917,-1,-1,371.2656
202607020918,-1,-1,371.2638
202607020919,-1,-1,371.261
202607020920,-1,-1,371.2602
202607020921,-1,-1,371.2602
202607020922,-1,-1,371.2602
202607020923,-1,-1,371.2576
202607020924,-1,-1,371.2568
202607020925,-1,-1,371.2526
202607020926,-1,-1,371.2526
202607020927,-1,-1,371.252
202607020928,-1,-1,371.2528
202607020929,-1,-1,371.251
202607020930,-1,-1,371.2492
202607020931,-1,-1,371.2494
202607020932,-1,-1,371.2514
202607020933,-1,-1,371.255
202607020934,-1,-1,371.252
202607020935,-1,-1,371.252
202607020936,-1,-1,371.252
202607020937,-1,-1,371.257
202607020938,-1,-1,371.275
202607020939,-1,-1,371.2732
202607020940,-1,-1,371.2724
202607020941,-1,-1,371.2724
202607020942,-1,-1,371.2732
202607020943,-1,-1,371.2732
202607020944,-1,-1,371.264
202607020945,-1,-1,371.2666
202607020946,-1,-1,371.255
202607020947,-1,-1,371.262
202607020948,-1,-1,371.262
202607020949,-1,-1,371.2672
202607020950,-1,-1,371.2652
202607020951,-1,-1,371.2674
202607020952,-1,-1,371.277
202607020953,-1,-1,371.277
202607020954,-1,-1,371.277
202607020955,-1,-1,371.2788
202607020956,-1,-1,371.2664
202607020957,-1,-1,371.277
202607020958,-1,-1,371.28
202607020959,-1,-1,371.277
202607021000,-1,-1,371.2702
202607021001,-1,-1,371.2764
202607021002,-1,-1,371.2764
202607021003,-1,-1,371.2704
202607021004,-1,-1,371.2704
202607021005,-1,-1,371.2826
202607021006,-1,-1,371.2834
202607021007,-1,-1,371.277
202607021008,-1,-1,371.277
202607021009,-1,-1,371.284
202607021010,-1,-1,371.2856
202607021011,-1,-1,371.2868
202607021012,-1,-1,371.2868
202607021013,-1,-1,371.2782
202607021014,-1,-1,371.286
202607021015,-1,-1,371.2896
202607021016,-1,-1,371.2866
202607021017,-1,-1,371.2866
202607021018,-1,-1,371.2908
202607021019,-1,-1,371.293
202607021020,-1,-1,371.296
202607021021,-1,-1,371.296
202607021022,-1,-1,371.296
202607021023,-1,-1,371.293
202607021024,-1,-1,371.2904
202607021025,-1,-1,371.2994
202607021026,-1,-1,371.3
202607021027,-1,-1,371.2932
202607021028,-1,-1,371.2896
