datetime,open,close,high,low,volume
202601010000,312.89,312.89,312.89,312.89,0.0
202601010001,312.91,312.91,312.91,312.91,2.0
202601010002,312.91,312.91,312.91,312.91,0.0
202601010003,312.91,312.91,312.91,312.91,0.0
202601010004,312.91,312.91,312.91,312.91,0.0
202601010005,312.91,312.91,312.91,312.91,0.0
202601010006,312.91,312.91,312.91,312.91,0.0
202601010007,312.91,312.91,312.91,312.91,0.0
202601010008,312.72,312.72,312.72,312.72,2.0
202601010009,312.72,312.72,312.72,312.72,0.0
202601010010,312.72,312.72,312.72,312.72,0.0
202601010011,312.72,312.72,312.72,312.72,0.0
202601010012,312.72,312.72,312.72,312.72,0.0
202601010013,312.72,312.72,312.72,312.72,0.0
202601010014,312.72,312.72,312.72,312.72,0.0
202601010015,312.72,312.72,312.72,312.72,0.0
202601010016,312.72,312.72,312.72,312.72,0.0
202601010017,312.72,312.72,312.72,312.72,0.0
202601010018,312.72,312.72,312.72,312.72,0.0
202601010019,312.72,312.72,312.72,312.72,0.0
202601010020,312.72,312.72,312.72,312.72,0.0
202601010021,312.72,312.72,312.72,312.72,0.0
202601010022,312.72,312.72,312.72,312.72,0.0
202601010023,312.72,312.72,312.72,312.72,0.0
202601010024,312.72,312.72,312.72,312.72,0.0
202601010025,312.72,312.72,312.72,312.72,0.0
202601010026,312.71,312.79,312.8,312.71,32.0
202601010027,312.79,312.79,312.79,312.79,0.0
202601010028,312.9,312.9,312.9,312.9,2.0
202601010029,312.9,312.9,312.9,312.9,0.0
202601010030,312.92,312.92,312.92,312.92,2.0
202601010031,312.92,312.92,312.92,312.92,0.0
202601010032,312.92,312.92,312.92,312.92,0.0
202601010033,312.87,312.87,312.87,312.87,2.0
202601010034,312.89,312.89,312.89,312.88,12.0
202601010035,312.89,312.89,312.89,312.89,0.0
202601010036,312.89,312.89,312.89,312.89,0.0
202601010037,312.81,312.81,312.81,312.81,2.0
202601010038,312.81,312.81,312.81,312.81,0.0
202601010039,312.81,312.81,312.81,312.81,0.0
202601010040,312.81,312.81,312.81,312.81,0.0
202601010041,312.76,312.76,312.77,312.76,2.0
202601010042,312.76,312.76,312.76,312.76,0.0
202601010043,312.76,312.76,312.76,312.76,0.0
202601010044,312.85,312.85,312.85,312.85,4.0
202601010045,312.85,312.85,312.85,312.85,0.0
202601010046,312.85,312.85,312.85,312.85,0.0
202601010047,312.85,312.85,312.85,312.85,0.0
202601010048,312.71,312.71,312.71,312.71,25.0
202601010049,312.71,312.71,312.71,312.71,0.0
202601010050,312.73,312.73,312.74,312.73,5.0
202601010051,312.73,312.73,312.73,312.73,0.0
202601010052,312.86,312.86,312.86,312.86,5.0
202601010053,312.86,312.86,312.86,312.86,0.0
202601010054,312.86,312.86,312.86,312.86,0.0
202601010055,312.86,312.86,312.86,312.86,0.0
202601010056,312.8,312.8,312.8,312.8,8.0
202601010057,312.8,312.8,312.8,312.8,0.0
202601010058,312.8,312.8,312.8,312.8,0.0
202601010059,312.8,312.8,312.8,312.8,0.0
202601020900,316.45,316.45,316.45,315.75,17.0
202601020901,316.45,316.69,316.69,316.45,18.0
202601020902,316.74,316.69,316.9,316.6,43.0
202601020903,316.6,316.6,316.6,316.6,2.0
202601020904,316.6,316.6,316.6,316.6,0.0
202601020905,316.9,316.9,316.9,316.9,19.0
202601020906,317.0,317.0,317.0,317.0,5.0
202601020907,317.0,317.0,317.0,317.0,0.0
202601020908,317.0,317.23,317.24,317.0,16.0
202601020909,317.23,317.23,317.23,317.23,0.0
202601020910,317.23,317.23,317.23,317.23,0.0
202601020911,317.23,317.23,317.23,317.23,0.0
202601020912,317.5,317.6,318.0,317.48,42.0
202601020913,317.6,317.6,317.6,317.6,0.0
202601020914,317.6,317.6,317.6,317.6,0.0
202601020915,317.6,317.6,317.6,317.6,0.0
202601020916,317.49,317.5,317.5,317.49,15.0
202601020917,317.5,317.5,317.5,317.5,0.0
202601020918,317.5,317.5,317.5,317.5,0.0
202601020919,317.46,317.5,317.5,317.46,5.0
202601020920,317.5,317.52,317.52,317.5,6.0
202601020921,317.3,317.21,317.3,317.21,7.0
202601020922,317.21,317.21,317.21,317.21,0.0
202601020923,317.07,317.07,317.07,317.07,2.0
202601020924,317.07,317.3,317.5,317.07,13.0
202601020925,317.3,317.3,317.3,317.3,0.0
202601020926,317.3,317.3,317.3,317.3,0.0
202601020927,317.04,317.29,317.31,317.04,7.0
202601020928,317.29,317.29,317.29,317.29,0.0
202601020929,317.29,317.29,317.29,317.29,0.0
202601020930,317.2,317.2,317.2,317.2,4.0
202601020931,317.18,317.18,317.18,317.18,21.0
202601020932,317.18,317.18,317.18,317.18,0.0
202601020933,317.18,317.18,317.18,317.18,0.0
202601020934,317.18,317.18,317.18,317.18,182.0
202601020935,317.18,317.18,317.18,317.18,0.0
202601020936,317.15,317.15,317.15,317.15,2.0
202601020937,317.18,317.5,317.5,317.17,43.0
202601020938,317.25,317.25,317.25,317.25,2.0
202601020939,317.28,317.28,317.28,317.28,2.0
202601020940,317.28,317.28,317.28,317.28,0.0
202601020941,317.28,317.28,317.28,317.28,0.0
202601020942,317.28,317.28,317.28,317.28,2.0
202601020943,317.25,317.15,317.3,317.15,201.0
202601020944,317.25,317.39,317.39,317.25,27.0
202601020945,317.45,317.45,317.45,317.45,7.0
202601020946,317.47,317.5,317.5,317.47,35.0
202601020947,317.5,317.5,317.5,317.5,0.0
202601020948,317.47,317.52,317.52,317.47,10.0
202601020949,317.5,317.43,317.5,317.38,30.0
202601020950,317.46,317.53,317.53,317.45,62.0
202601020951,317.53,317.53,317.53,317.53,0.0
202601020952,317.53,317.53,317.53,317.53,0.0
202601020953,317.53,317.53,317.53,317.53,0.0
202601020954,317.58,317.64,317.64,317.58,6.0
202601020955,317.65,317.65,317.65,317.65,8.0
202601020956,317.61,317.55,317.61,317.55,18.0
202601020957,317.6,317.6,317.6,317.6,5.0
202601020958,317.56,317.5,317.56,317.5,15.0
202601020959,317.5,317.5,317.5,317.5,0.0
202601021000,317.54,317.6,317.6,317.54,58.0
202601021001,317.6,317.6,317.6,317.6,0.0
202601021002,317.6,317.6,317.6,317.6,0.0
202601021003,317.5,317.5,317.5,317.5,2.0
202601021004,317.5,317.4,317.5,317.4,20.0
202601021005,317.4,317.4,317.4,317.4,0.0
202601021006,317.4,317.4,317.4,317.4,0.0
202601021007,317.4,317.4,317.4,317.4,0.0
202601021008,317.47,317.47,317.47,317.47,5.0
202601021009,317.51,317.44,317.51,317.44,27.0
202601021010,317.41,317.58,317.58,317.24,16.0
202601021011,317.5,317.5,317.5,317.5,2.0
202601021012,317.5,317.5,317.5,317.5,0.0
202601021013,317.5,317.5,317.5,317.5,0.0
202601021014,317.42,317.41,317.42,317.41,5.0
202601021015,317.41,317.41,317.41,317.41,5.0
202601021016,317.41,317.41,317.41,317.41,0.0
202601021017,317.42,317.42,317.42,317.42,2.0
202601021018,317.42,317.42,317.42,317.42,2.0
202601021019,317.42,317.42,317.42,317.42,0.0
202601021020,317.42,317.36,317.42,317.36,18.0
202601021021,317.26,317.26,317.26,317.26,13.0
202601021022,317.26,317.26,317.26,317.26,0.0
202601021023,317.26,317.26,317.26,317.26,0.0
202601021024,317.26,317.26,317.26,317.26,0.0
202601021025,317.26,317.26,317.26,317.26,0.0
202601021026,317.26,317.26,317.26,317.26,0.0
202601021027,317.26,317.26,317.26,317.26,0.0
202601021028,317.26,317.26,317.26,317.26,0.0
202601021029,317.26,317.26,317.26,317.26,0.0
202601021030,317.26,317.26,317.26,317.26,0.0
202601021031,317.26,317.26,317.26,317.26,0.0
202601021032,317.26,317.26,317.26,317.26,0.0
202601021033,317.26,317.26,317.26,317.26,0.0
202601021034,317.07,317.07,317.07,317.07,2.0
202601021035,317.07,317.07,317.07,317.07,0.0
202601021036,317.07,317.07,317.07,317.07,0.0
202601021037,317.07,317.07,317.07,317.07,0.0
202601021038,317.07,317.07,317.07,317.07,0.0
202601021039,317.07,317.07,317.07,317.07,0.0
202601021040,317.07,317.07,317.07,317.07,0.0
202601021041,317.07,317.07,317.07,317.07,0.0
202601021042,317.11,317.08,317.11,317.08,10.0
202601021043,317.08,317.08,317.08,317.08,0.0
202601021044,317.08,317.08,317.08,317.08,0.0
202601021045,317.14,317.14,317.14,317.14,3.0
202601021046,317.14,317.14,317.14,317.14,0.0
202601021047,317.14,317.14,317.14,317.14,0.0
202601021048,317.14,317.14,317.14,317.14,0.0
202601021049,317.14,317.14,317.14,317.14,0.0
202601021050,317.25,317.25,317.25,317.25,4.0
202601021051,317.2,317.2,317.2,317.2,2.0
202601021052,317.2,317.2,317.2,317.2,0.0
202601021053,317.2,317.2,317.2,317.2,0.0
202601021054,317.2,317.2,317.2,317.2,0.0
202601021055,317.2,317.2,317.2,317.2,0.0
202601021056,317.2,317.2,317.2,317.2,0.0
202601021057,317.2,317.2,317.2,317.2,0.0
202601021058,317.26,317.26,317.26,317.26,2.0
202601021059,317.26,317.26,317.26,317.26,0.0
202601021100,317.24,317.24,317.24,317.24,2.0
202601021101,317.24,317.24,317.24,317.24,0.0
202601021102,317.24,317.24,317.24,317.24,0.0
202601021103,317.24,317.24,317.24,317.24,0.0
202601021104,317.23,317.19,317.23,317.19,22.0
202601021105,317.19,317.19,317.19,317.19,0.0
202601021106,317.19,317.19,317.19,317.19,0.0
202601021107,317.19,317.19,317.19,317.19,0.0
202601021108,317.23,317.23,317.23,317.23,10.0
202601021109,317.12,317.11,317.12,317.11,5.0
202601021110,317.12,317.06,317.12,317.06,30.0
202601021111,317.06,317.06,317.06,317.06,0.0
202601021112,317.06,317.06,317.06,317.06,0.0
202601021113,317.06,317.06,317.06,317.06,0.0
202601021114,317.06,317.06,317.06,317.06,0.0
202601021115,317.06,317.06,317.06,317.06,0.0
202601021116,317.06,317.06,317.06,317.06,0.0
202601021117,317.06,317.06,317.06,317.06,0.0
202601021118,316.89,316.89,316.89,316.89,2.0
202601021119,316.89,316.89,316.89,316.89,0.0
202601021120,316.89,316.89,316.89,316.89,0.0
202601021121,316.86,316.9,316.9,316.86,5.0
202601021122,316.9,316.9,316.9,316.9,0.0
202601021123,316.9,316.9,316.9,316.9,0.0
202601021124,316.84,316.73,316.84,316.73,38.0
202601021125,316.6,316.6,316.6,316.6,10.0
202601021126,316.6,316.6,316.6,316.6,7.0
202601021127,316.6,316.6,316.6,316.6,0.0
202601021128,316.6,316.6,316.6,316.6,0.0
202601021129,316.61,316.61,316.61,316.61,2.0
202601021130,316.61,316.61,316.61,316.61,0.0
202601021131,316.61,316.61,316.61,316.61,0.0
202601021132,316.61,316.61,316.61,316.61,0.0
202601021133,316.61,316.61,316.61,316.61,0.0
202601021134,316.61,316.61,316.61,316.61,0.0
202601021135,316.65,316.65,316.65,316.65,2.0
202601021136,316.65,316.65,316.65,316.65,0.0
202601021137,316.65,316.65,316.65,316.65,0.0
202601021138,316.65,316.65,316.65,316.65,0.0
202601021139,316.65,316.65,316.65,316.65,0.0
202601021140,316.77,316.77,316.77,316.77,2.0
202601021141,316.77,316.77,316.77,316.77,0.0
202601021142,316.77,316.77,316.77,316.77,0.0
202601021143,316.77,316.77,316.77,316.77,0.0
202601021144,316.77,316.77,316.77,316.77,0.0
202601021145,316.9,316.9,316.9,316.9,2.0
202601021146,316.9,316.9,316.9,316.9,0.0
202601021147,316.9,316.9,316.9,316.9,0.0
202601021148,316.9,316.9,316.9,316.9,0.0
202601021149,316.84,316.82,316.85,316.82,7.0
202601021150,316.82,316.82,316.82,316.82,0.0
202601021151,316.82,316.82,316.82,316.82,0.0
202601021152,316.82,316.82,316.82,316.82,0.0
202601021153,316.82,316.82,316.82,316.82,9.0
202601021154,316.78,316.66,316.78,316.66,32.0
202601021155,316.59,316.51,316.59,316.51,5.0
202601021156,316.51,316.51,316.51,316.51,0.0
202601021157,316.51,316.51,316.51,316.51,0.0
202601021158,316.65,316.65,316.65,316.65,12.0
202601021159,316.65,316.65,316.65,316.65,0.0
202601021200,316.67,316.76,316.78,316.5,64.0
202601021201,316.75,316.75,316.75,316.75,2.0
202601021202,316.75,316.75,316.75,316.75,0.0
202601021203,316.75,316.75,316.75,316.75,0.0
202601021204,316.45,316.45,316.45,316.45,5.0
202601021205,316.42,316.36,316.42,316.36,7.0
202601021206,316.47,316.44,316.47,316.44,15.0
202601021207,316.44,316.44,316.44,316.44,0.0
202601021208,316.44,316.44,316.44,316.44,0.0
202601021209,316.32,316.32,316.32,316.32,2.0
202601021210,316.32,316.3,316.32,316.3,5.0
202601021211,316.3,316.3,316.3,316.3,0.0
202601021212,316.26,316.26,316.26,316.26,2.0
202601021213,316.26,316.34,316.34,316.26,16.0
202601021214,316.24,316.24,316.24,316.24,3.0
202601021215,316.34,316.34,316.34,316.34,12.0
202601021216,316.33,316.33,316.33,316.33,2.0
202601021217,316.33,316.33,316.33,316.33,0.0
202601021218,316.33,316.33,316.33,316.33,0.0
202601021219,316.33,316.33,316.33,316.33,0.0
202601021220,316.33,316.33,316.33,316.33,0.0
202601021221,316.33,316.33,316.33,316.33,0.0
202601021222,316.47,316.5,316.5,316.47,18.0
