datetime,open,close,high,low,volume,status
20260101,659.25,658.53,659.36,658.19,210.0,final
20260102,664.5,649.95,666.3,643.5,245168.0,final
20260103,649.95,649.94,649.95,649.51,272.0,final
20260105,650.44,658.78,664.54,647.0,214965.0,final
20260106,658.0,659.7,665.52,651.9,198866.0,final
20260107,658.0,648.9,659.15,644.81,238102.0,final
20260108,647.5,644.7,647.5,635.72,207721.0,final
20260109,644.0,653.78,654.95,642.85,217475.0,final
20260110,653.5,653.1,653.8,652.52,94.0,final
20260112,648.75,642.41,657.0,641.22,267466.0,final
20260113,643.0,630.0,645.0,624.1,333154.0,final
20260114,630.0,614.95,630.0,614.62,276765.0,final
20260115,616.87,620.52,624.17,614.23,232902.0,final
20260116,623.0,620.2,629.08,619.8,261871.0,final
20260117,620.2,620.25,621.5,620.0,231.0,final
20260120,605.0,603.83,618.7,600.0,283292.0,final
20260121,606.9,615.76,618.27,600.08,268179.0,final
20260122,618.14,647.6,660.57,615.0,414319.0,final
20260123,645.16,657.9,666.49,641.42,403294.0,final
20260124,657.7,657.97,658.1,657.44,290.0,final
20260126,662.0,673.42,675.28,653.6,295971.0,final
20260127,674.83,673.15,676.9,664.66,250032.0,final
20260128,673.9,722.0,742.99,637.0,498356.0,final
20260129,718.47,731.61,744.0,712.55,1107445.0,final
20260130,724.63,714.5,732.17,713.59,429568.0,final
20260131,714.5,714.6,714.96,713.6,625.0,final
20260202,703.08,707.08,721.3,693.24,269330.0,final
20260203,709.0,691.66,717.0,686.41,251286.0,final
20260204,691.47,670.92,693.61,664.0,318344.0,final
20260205,669.9,651.25,681.5,648.65,328119.0,final
20260206,659.71,663.8,673.5,646.5,318342.0,final
20260207,663.84,663.98,663.99,663.26,249.0,final
20260209,662.9,677.08,683.31,656.61,290080.0,final
20260210,676.66,672.5,680.65,669.79,187732.0,final
20260211,671.0,667.77,679.27,657.1,281556.0,final
20260212,671.0,649.0,676.0,645.28,295476.0,final
20260213,647.84,639.77,651.43,634.57,226498.0,final
20260214,639.13,638.64,639.5,638.55,177.0,final
20260217,636.85,643.0,657.0,628.8,225086.0,final
20260218,646.0,641.34,647.0,628.14,287930.0,final
20260219,643.24,645.16,647.19,636.72,181415.0,final
20260220,646.27,654.93,663.35,638.78,215143.0,final
20260221,654.93,655.24,655.55,654.82,205.0,final
20260223,650.0,638.5,657.7,636.0,166904.0,final
20260224,639.8,638.6,641.69,628.98,180968.0,final
20260225,639.53,647.63,655.0,638.91,209685.0,final
20260226,649.19,651.53,661.0,647.5,182452.0,final
20260227,654.95,644.05,657.0,638.12,298891.0,final
20260228,644.82,645.21,645.59,644.33,142.0,final
20260302,633.6,652.6,659.94,632.05,168996.0,final
20260303,646.65,653.35,659.04,637.0,199052.0,final
20260304,655.16,667.57,672.77,647.53,193557.0,final
20260305,662.0,660.9,670.7,650.31,229930.0,final
20260306,660.22,643.0,663.02,636.11,221492.0,final
20260307,643.0,641.33,643.0,641.1,453.0,final
20260309,636.6,643.5,648.6,626.78,241820.0,final
20260310,644.3,654.8,660.3,643.1,184853.0,final
20260311,655.24,648.41,659.12,647.56,164607.0,final
20260312,650.16,637.0,653.5,636.51,185448.0,final
20260313,633.0,610.96,637.8,609.72,360211.0,final
20260316,624.05,623.4,634.75,611.65,281335.0,final
20260317,622.99,622.7,636.55,621.5,175780.0,final
20260318,627.0,615.0,627.0,614.04,184256.0,final
20260319,615.0,608.4,616.65,602.26,226327.0,final
20260320,606.0,597.89,608.5,587.25,362243.0,final
20260323,584.99,605.4,610.0,583.48,233849.0,final
20260324,606.29,597.55,607.37,591.0,183615.0,final
20260325,601.0,592.11,603.67,591.11,248132.0,final
20260326,592.0,550.0,594.16,543.35,681825.0,final
20260327,551.98,520.07,553.24,520.0,562236.0,final
20260330,529.52,533.85,539.55,527.06,428012.0,final
20260331,543.7,577.07,577.16,539.67,635505.0,final
20260401,578.5,577.87,592.55,572.13,448895.0,final
20260402,571.81,574.78,579.23,559.7,269632.0,final
20260406,576.0,572.5,583.8,572.0,185893.0,final
20260407,569.88,596.75,599.56,564.76,175717.0,final
20260408,600.02,616.0,629.95,591.83,663871.0,final
20260409,612.6,629.01,637.5,611.5,360270.0,final
20260410,630.57,630.85,638.58,624.33,254824.0,final
20260413,624.85,638.23,638.5,620.0,181004.0,final
20260414,638.23,665.8,668.0,636.23,321973.0,final
20260415,662.49,674.01,678.5,659.15,282415.0,final
20260416,675.11,677.46,677.79,667.75,171282.0,final
20260417,677.0,686.97,691.52,675.13,269987.0,final
20260420,684.85,672.4,685.0,668.0,229207.0,final
20260421,673.04,672.55,676.47,667.33,149449.0,final
20260422,675.27,672.74,678.38,669.75,172848.0,final
20260423,670.0,660.7,671.28,653.05,222746.0,final
20260424,661.44,675.18,680.67,653.84,252387.0,final
20260427,675.3,678.65,682.5,669.91,235273.0,final
20260428,675.13,671.77,683.0,665.62,179645.0,final
20260429,672.5,622.2,675.0,621.51,351260.0,final
20260430,623.0,613.51,628.41,600.0,1009861.0,final
20260501,615.7,608.8,618.88,606.11,417281.0,final
20260504,612.9,609.7,614.0,602.75,302327.0,final
20260505,612.5,602.95,615.0,600.36,322383.0,final
20260506,601.0,611.75,619.95,598.1,354062.0,final
20260507,613.99,615.7,624.98,611.33,225924.0,final
20260508,619.84,609.7,619.84,606.06,250307.0,final
20260511,606.89,599.39,608.0,598.08,290736.0,final
20260512,597.88,601.93,603.75,592.6,217534.0,final
20260513,603.8,615.91,619.9,596.66,283431.0,final
