date,ma200,ma150,ma50
20260102,673.7101,704.4893,651.3838
20260105,674.0632,704.5697,649.9192
20260106,674.4321,704.4907,648.4108
20260107,674.6913,704.3669,646.6158
20260108,674.8223,704.0759,644.4368
20260109,674.9518,703.8705,642.4244
20260112,675.1369,703.4946,641.3466
20260113,675.2804,703.0546,640.4576
20260114,675.4773,702.4716,639.7338
20260115,675.7154,702.0007,639.3758
20260116,675.8838,701.5228,639.2758
20260120,676.1245,700.998,638.5796
20260121,676.5432,700.4611,638.496
20260122,677.2805,700.1478,638.9446
20260123,677.945,699.8982,639.4346
20260126,678.8379,699.8291,640.3672
20260127,679.2656,699.6174,641.6742
20260128,680.1705,699.6831,643.9332
20260129,681.1155,699.8351,646.3704
20260130,682.046,699.7534,648.6324
20260202,683.019,699.5889,650.86
20260203,683.9628,699.28,652.6932
20260204,684.8049,698.9724,654.3738
20260205,685.6337,698.5547,655.4784
20260206,686.3477,698.1973,656.4506
20260209,687.1185,697.9215,657.2842
20260210,687.7061,697.5983,658.06
20260211,688.3049,697.1627,658.4714
20260212,688.8024,696.6395,658.6136
20260213,689.2561,696.1279,658.484
20260217,689.5791,695.6089,658.5284
20260218,689.9445,695.1453,658.115
20260219,690.1855,694.7515,657.6056
20260220,690.4747,694.4333,657.3846
20260223,690.7047,693.9956,657.048
20260224,690.9096,693.4971,656.923
20260225,691.1581,693.1037,656.8182
20260226,691.4576,692.6819,657.0018
20260227,691.4804,692.1996,656.9558
20260302,691.4556,691.7916,656.8706
20260303,691.434,691.3599,656.9456
20260304,691.5651,691.1033,657.045
20260305,691.7283,690.3419,657.0186
20260306,691.7413,689.5033,656.6498
20260309,691.7812,688.8066,656.2256
20260310,691.8825,687.9893,655.9954
20260311,691.941,687.2269,655.7136
20260312,691.9962,686.3441,655.3072
20260313,691.8449,685.3273,654.2114
20260316,691.6934,684.3526,653.4944
20260317,691.6043,683.3939,652.9494
20260318,691.4457,682.2206,652.0738
20260319,691.13,681.074,651.0478
20260320,690.7821,679.8519,650.0276
20260323,690.3673,678.6493,649.2416
20260324,689.9321,677.5196,648.117
20260325,689.3987,676.4903,647.111
20260326,688.6687,675.177,645.511
20260327,687.7571,673.7235,643.6134
20260330,686.9705,672.2444,641.88
20260331,686.3965,671.0749,641.0174
20260401,685.873,669.8992,640.4982
20260402,685.2654,668.7611,639.6786
20260406,684.655,667.5817,638.1766
20260407,684.1621,666.6415,636.9536
20260408,683.8231,665.8238,635.8052
20260409,683.4437,665.1046,634.9224
20260410,683.0371,664.3169,633.0994
20260413,682.6843,663.5735,631.2318
20260414,682.3795,662.9905,630.2578
20260415,682.0908,662.3881,629.5964
20260416,681.7881,661.8778,629.3124
20260417,681.6377,661.4453,629.6334
20260420,681.4302,660.8946,630.0564
20260421,681.2059,660.2809,630.2314
20260422,680.9773,659.5665,630.1446
20260423,680.6759,658.7737,629.9086
20260424,680.3863,658.0649,630.0568
20260427,680.1421,657.4128,630.6498
20260428,679.9184,656.7807,631.2898
20260429,679.4252,655.8887,630.8738
20260430,678.9382,654.9111,630.3172
20260501,678.4611,653.9831,629.59
20260504,677.9963,653.0911,628.6854
20260505,677.4903,652.1515,627.9744
20260506,676.9821,651.3409,627.4374
20260507,676.5275,650.6526,626.7988
20260508,676.002,649.8706,625.9622
20260511,675.417,649.1205,625.069
20260512,674.8576,648.3667,624.0556
20260513,674.3466,647.7313,623.3068
20260514,673.9024,647.0543,622.3
20260515,673.0772,646.2314,621.283
20260518,672.2867,645.6007,620.637
20260519,671.5597,644.8511,619.819
20260520,670.6907,644.1434,618.795
20260521,669.9194,643.4168,617.9968
20260522,669.1091,642.7358,617.4038
20260526,668.3428,642.0279,617.3892
20260527,667.6444,641.3447,617.5198
20260528,666.9767,640.6861,617.725
20260529,666.1838,640.0222,618.0736
20260601,665.2849,639.1255,617.9178
20260602,664.3795,638.2018,617.962
20260603,663.5467,637.3058,618.239
20260604,662.8324,636.4375,618.771
20260605,662.0488,635.7272,618.724
20260608,661.2459,635.1404,619.4526
20260609,660.4918,634.7146,620.7966
20260610,659.5538,634.2459,621.4818
20260611,658.6556,633.897,621.3978
20260612,657.7298,633.4331,621.2216
20260615,656.9674,633.2535,621.586
20260616,656.2109,633.0731,622.0982
20260617,655.3947,632.6809,621.6544
20260618,654.5759,632.3349,620.8322
20260622,653.705,632.0342,619.506
20260623,652.7725,631.7239,618.139
20260624,651.8158,631.3817,616.5428
20260625,650.7746,631.0057,614.1268
20260626,649.7082,630.7083,611.6684
20260629,648.7555,630.4648,609.3888
20260630,647.8066,630.2992,606.8904
20260701,647.092,630.4064,605.6844
20260702,646.1934,630.2043,603.931
20260706,645.3002,629.9767,602.5012
20260707,644.4866,629.8646,601.6252
20260708,643.5981,629.5753,600.1976
20260709,642.9126,629.5584,599.4118
20260710,642.4197,629.7035,599.3368
20260713,641.9155,629.7994,599.996
20260714,641.4207,629.7939,600.9494
20260715,641.0804,629.8559,602.3722
20260716,640.696,629.8602,603.5106
20260717,640.1778,629.7597,604.2566
20260720,639.7293,629.7517,604.8946
20260721,639.3438,629.6782,605.4176
20260722,638.807,629.5267,605.6162
20260723,638.2818,629.2635,605.7656
20260724,637.6773,628.8451,605.609
20260727,637.0999,628.486,605.2056
20260728,636.4929,628.0511,604.8084
20260729,635.5354,627.2497,603.4474
20260730,634.7227,626.4584,602.0884
20260731,633.9135,625.7151,601.1008
20260803,633.3108,625.2012,600.8132
20260804,632.6729,624.7172,600.4412
20260805,632.0692,624.2601,600.0694
