datetime,ma200,ma150,ma50
202607020800,-1,-1,604.4202
202607020801,-1,-1,604.4352
202607020802,-1,-1,604.4218
202607020803,-1,-1,604.4548
202607020804,-1,-1,604.4414
202607020805,-1,-1,604.4552
202607020806,-1,-1,604.4328
202607020807,-1,-1,604.4176
202607020808,-1,-1,604.4194
202607020809,-1,-1,604.4408
202607020810,-1,-1,604.4258
202607020811,-1,-1,604.4346
202607020812,-1,-1,604.4234
202607020813,-1,-1,604.4234
202607020814,-1,-1,604.4398
202607020815,-1,-1,604.4396
202607020816,-1,-1,604.4552
202607020817,-1,-1,604.476
202607020818,-1,-1,604.4952
202607020819,-1,-1,604.5132
202607020820,-1,-1,604.5132
202607020821,-1,-1,604.4952
202607020822,-1,-1,604.5074
202607020823,-1,-1,604.5052
202607020824,-1,-1,604.5312
202607020825,-1,-1,604.5312
202607020826,-1,-1,604.5526
202607020827,-1,-1,604.5552
202607020828,-1,-1,604.5332
202607020829,-1,-1,604.5552
202607020830,-1,-1,604.5652
202607020831,-1,-1,604.5792
202607020832,-1,-1,604.5732
202607020833,-1,-1,604.5552
202607020834,-1,-1,604.5502
202607020835,-1,-1,604.5518
202607020836,-1,-1,604.5372
202607020837,-1,-1,604.5278
202607020838,-1,-1,604.5152
202607020839,-1,-1,604.5288
202607020840,-1,-1,604.5052
202607020841,-1,-1,604.506
202607020842,-1,-1,604.5062
202607020843,-1,-1,604.503
202607020844,-1,-1,604.5114
202607020845,-1,-1,604.5114
202607020846,-1,-1,604.5114
202607020847,-1,-1,604.5144
202607020848,-1,-1,604.4954
202607020849,-1,-1,604.4954
202607020850,-1,-1,604.4972
202607020851,-1,-1,604.4972
202607020852,-1,-1,604.505
202607020853,-1,-1,604.5152
202607020854,-1,-1,604.5152
202607020855,-1,-1,604.5152
202607020856,-1,-1,604.5064
202607020857,-1,-1,604.4856
202607020858,-1,-1,604.504
202607020859,-1,-1,604.5034
202607020900,-1,-1,604.4846
202607020901,-1,-1,604.4846
202607020902,-1,-1,604.4846
202607020903,-1,-1,604.4702
202607020904,-1,-1,604.4552
202607020905,-1,-1,604.4512
202607020906,-1,-1,604.4552
202607020907,-1,-1,604.4528
202607020908,-1,-1,604.46
202607020909,-1,-1,604.46
202607020910,-1,-1,604.4648
202607020911,-1,-1,604.4764
202607020912,-1,-1,604.4852
202607020913,-1,-1,604.4792
202607020914,-1,-1,604.4792
202607020915,-1,-1,604.4804
202607020916,-1,-1,604.487
202607020917,-1,-1,604.487
202607020918,-1,-1,604.487
202607020919,-1,-1,604.4804
202607020920,-1,-1,604.4804
202607020921,-1,-1,604.4804
202607020922,-1,-1,604.4794
202607020923,-1,-1,604.4932
202607020924,-1,-1,604.4932
202607020925,-1,-1,604.4932
202607020926,-1,-1,604.494
202607020927,-1,-1,604.4952
202607020928,-1,-1,604.503
202607020929,-1,-1,604.5124
202607020930,-1,-1,604.5034
202607020931,-1,-1,604.5044
202607020932,-1,-1,604.5152
202607020933,-1,-1,604.517
202607020934,-1,-1,604.5206
202607020935,-1,-1,604.525
202607020936,-1,-1,604.525
202607020937,-1,-1,604.5154
202607020938,-1,-1,604.5152
202607020939,-1,-1,604.5152
202607020940,-1,-1,604.5136
202607020941,-1,-1,604.5112
202607020942,-1,-1,604.513
202607020943,-1,-1,604.513
202607020944,-1,-1,604.5122
202607020945,-1,-1,604.499
202607020946,-1,-1,604.4952
202607020947,-1,-1,604.4992
202607020948,-1,-1,604.4992
202607020949,-1,-1,604.4992
202607020950,-1,-1,604.4992
202607020951,-1,-1,604.5016
202607020952,-1,-1,604.5152
202607020953,-1,-1,604.5032
202607020954,-1,-1,604.4914
202607020955,-1,-1,604.491
202607020956,-1,-1,604.492
202607020957,-1,-1,604.492
202607020958,-1,-1,604.492
202607020959,-1,-1,604.5056
202607021000,-1,-1,604.5056
202607021001,-1,-1,604.4968
202607021002,-1,-1,604.4968
202607021003,-1,-1,604.4894
202607021004,-1,-1,604.4906
202607021005,-1,-1,604.4906
202607021006,-1,-1,604.4906
202607021007,-1,-1,604.4964
202607021008,-1,-1,604.4976
202607021009,-1,-1,604.4976
202607021010,-1,-1,604.4976
202607021011,-1,-1,604.4976
202607021012,-1,-1,604.5036
202607021013,-1,-1,604.4928
202607021014,-1,-1,604.4916
202607021015,-1,-1,604.505
202607021016,-1,-1,604.513
202607021017,-1,-1,604.5204
202607021018,-1,-1,604.5204
202607021019,-1,-1,604.5344
202607021020,-1,-1,604.5344
202607021021,-1,-1,604.5176
202607021022,-1,-1,604.5152
202607021023,-1,-1,604.5252
202607021024,-1,-1,604.5352
202607021025,-1,-1,604.5352
202607021026,-1,-1,604.5352
202607021027,-1,-1,604.5176
202607021028,-1,-1,604.5238
202607021029,-1,-1,604.5338
202607021030,-1,-1,604.526
202607021031,-1,-1,604.5288
202607021032,-1,-1,604.5278
202607021033,-1,-1,604.525
202607021034,-1,-1,604.525
202607021035,-1,-1,604.5412
202607021036,-1,-1,604.55
202607021037,-1,-1,604.5452
202607021038,-1,-1,604.5552
202607021039,-1,-1,604.5578
202607021040,-1,-1,604.5518
202607021041,-1,-1,604.5528
202607021042,-1,-1,604.5612
202607021043,-1,-1,604.5576
202607021044,-1,-1,604.5452
202607021045,-1,-1,604.5452
202607021046,-1,-1,604.551
202607021047,-1,-1,604.551
202607021048,-1,-1,604.5474
202607021049,-1,-1,604.551
202607021050,-1,-1,604.5552
202607021051,-1,-1,604.5536
202607021052,-1,-1,604.5354
202607021053,-1,-1,604.5452
202607021054,-1,-1,604.5538
202607021055,-1,-1,604.5548
202607021056,-1,-1,604.5568
202607021057,-1,-1,604.561
202607021058,-1,-1,604.557
202607021059,-1,-1,604.5528
202607021100,-1,-1,604.5536
202607021101,-1,-1,604.5452
202607021102,-1,-1,604.5352
202607021103,-1,-1,604.5346
202607021104,-1,-1,604.542
202607021105,-1,-1,604.5356
202607021106,-1,-1,604.5354
202607021107,-1,-1,604.5412
202607021108,-1,-1,604.5452
202607021109,-1,-1,604.541
202607021110,-1,-1,604.5398
202607021111,-1,-1,604.5478
202607021112,-1,-1,604.5498
202607021113,-1,-1,604.5498
202607021114,-1,-1,604.5392
202607021115,-1,-1,604.5438
202607021116,-1,-1,604.5368
202607021117,-1,-1,604.5352
202607021118,-1,-1,604.5302
202607021119,-1,-1,604.5286
202607021120,-1,-1,604.5348
202607021121,-1,-1,604.5392
202607021122,-1,-1,604.5462
202607021123,-1,-1,604.5492
202607021124,-1,-1,604.5474
202607021125,-1,-1,604.5486
202607021126,-1,-1,604.5492
202607021127,-1,-1,604.5506
202607021128,-1,-1,604.554
202607021129,-1,-1,604.548
202607021130,-1,-1,604.5412
202607021131,-1,-1,604.5512
202607021132,-1,-1,604.5492
202607021133,-1,-1,604.5486
202607021134,-1,-1,604.5468
202607021135,-1,-1,604.5488
202607021136,-1,-1,604.5542
202607021137,-1,-1,604.5472
