datetime,open,close,high,low,volume
202601020900,664.5,665.0,665.0,664.0,1200.0
202601020901,665.4,665.5,665.5,665.4,200.0
202601020902,665.3,665.33,665.5,665.3,600.0
202601020903,665.33,665.33,665.33,665.33,0.0
202601020904,665.33,665.33,665.33,665.33,0.0
202601020905,665.2,665.5,665.5,665.2,1000.0
202601020906,665.5,665.5,665.5,665.5,0.0
202601020907,665.52,665.52,665.52,665.52,100.0
202601020908,665.52,665.52,665.52,665.52,0.0
202601020909,665.9,665.91,665.91,665.9,300.0
202601020910,665.9,666.0,666.0,665.9,1300.0
202601020911,666.06,666.13,666.13,666.02,1000.0
202601020912,666.13,666.13,666.13,666.13,0.0
202601020913,666.13,666.13,666.13,666.13,0.0
202601020914,666.13,666.13,666.13,666.13,0.0
202601020915,665.79,665.83,665.83,665.79,300.0
202601020916,665.83,665.83,665.83,665.83,0.0
202601020917,665.83,665.83,665.83,665.83,0.0
202601020918,665.83,665.83,665.83,665.83,0.0
202601020919,665.92,666.0,666.0,665.92,600.0
202601020920,666.0,666.0,666.0,666.0,0.0
202601020921,666.0,666.0,666.0,666.0,0.0
202601020922,665.85,665.85,665.85,665.85,100.0
202601020923,665.4,665.4,665.4,665.4,100.0
202601020924,665.4,665.4,665.4,665.4,0.0
202601020925,665.4,665.4,665.4,665.4,0.0
202601020926,665.4,665.4,665.4,665.4,0.0
202601020927,665.17,665.17,665.17,665.17,100.0
202601020928,665.17,665.17,665.17,665.17,0.0
202601020929,665.17,665.17,665.17,665.17,0.0
202601020930,665.17,665.17,665.17,665.17,0.0
202601020931,665.17,665.17,665.17,665.17,0.0
202601020932,665.17,665.17,665.17,665.17,0.0
202601020933,665.17,665.17,665.17,665.17,0.0
202601020934,665.4,665.13,665.4,665.13,200.0
202601020935,665.13,665.13,665.13,665.13,0.0
202601020936,665.13,665.13,665.13,665.13,0.0
202601020937,665.13,665.13,665.13,665.13,0.0
202601020938,665.13,665.13,665.13,665.13,0.0
202601020939,665.13,665.13,665.13,665.13,0.0
202601020940,665.13,665.13,665.13,665.13,0.0
202601020941,665.13,665.13,665.13,665.13,0.0
202601020942,665.13,665.13,665.13,665.13,0.0
202601020943,665.79,665.8,665.8,665.79,400.0
202601020944,665.74,665.74,665.74,665.74,200.0
202601020945,665.74,665.74,665.74,665.74,0.0
202601020946,665.72,665.72,665.72,665.72,200.0
