datetime,ma200,ma150,ma50
202604010800,-1,-1,-1
202604010801,-1,-1,-1
202604010802,-1,-1,-1
202604010803,-1,-1,-1
202604010804,-1,-1,-1
202604010805,-1,-1,-1
202604010806,-1,-1,-1
202604010807,-1,-1,-1
202604010808,-1,-1,-1
202604010809,-1,-1,-1
202604010810,-1,-1,-1
202604010811,-1,-1,-1
202604010812,-1,-1,-1
202604010813,-1,-1,-1
202604010814,-1,-1,-1
202604010815,-1,-1,-1
202604010816,-1,-1,-1
202604010817,-1,-1,-1
202604010818,-1,-1,-1
202604010819,-1,-1,-1
202604010820,-1,-1,-1
202604010821,-1,-1,-1
202604010822,-1,-1,-1
202604010823,-1,-1,-1
202604010824,-1,-1,-1
202604010825,-1,-1,-1
202604010826,-1,-1,-1
202604010827,-1,-1,-1
202604010828,-1,-1,-1
202604010829,-1,-1,-1
202604010830,-1,-1,-1
202604010831,-1,-1,-1
202604010832,-1,-1,-1
202604010833,-1,-1,-1
202604010834,-1,-1,-1
202604010835,-1,-1,-1
202604010836,-1,-1,-1
202604010837,-1,-1,-1
202604010838,-1,-1,-1
202604010839,-1,-1,-1
202604010840,-1,-1,-1
202604010841,-1,-1,-1
202604010842,-1,-1,-1
202604010843,-1,-1,-1
202604010844,-1,-1,-1
202604010845,-1,-1,-1
202604010846,-1,-1,-1
202604010847,-1,-1,-1
202604010848,-1,-1,-1
202604010849,-1,-1,-1
202604010850,-1,-1,-1
202604010851,-1,-1,-1
202604010852,-1,-1,-1
202604010853,-1,-1,-1
202604010854,-1,-1,-1
202604010855,-1,-1,-1
202604010856,-1,-1,-1
202604010857,-1,-1,-1
202604010858,-1,-1,-1
202604010859,-1,-1,-1
202604010900,-1,-1,-1
202604010901,-1,-1,-1
202604010902,-1,-1,-1
202604010903,-1,-1,-1
202604010904,-1,-1,-1
202604010905,-1,-1,-1
202604010906,-1,-1,-1
202604010907,-1,-1,-1
202604010908,-1,-1,-1
202604010909,-1,-1,-1
202604010910,-1,-1,-1
202604010911,-1,-1,-1
202604010912,-1,-1,-1
202604010913,-1,-1,-1
202604010914,-1,-1,-1
202604010915,-1,-1,-1
202604010916,-1,-1,-1
202604010917,-1,-1,-1
202604010918,-1,-1,-1
202604010919,-1,-1,-1
202604010920,-1,-1,-1
202604010921,-1,-1,-1
202604010922,-1,-1,-1
202604010923,-1,-1,-1
