datetime,open,close,high,low,volume,status
20260101,449.79,449.58,449.79,449.2,2691.0,final
20260102,458.63,440.74,462.5,435.3,1758704.0,final
20260103,440.74,441.49,441.61,440.74,3676.0,final
20260105,445.05,451.6,457.55,439.16,1411476.0,final
20260106,450.79,434.92,454.71,428.78,1851342.0,final
20260107,435.72,432.06,438.37,430.7,1284364.0,final
20260108,430.96,435.44,436.89,424.36,1198075.0,final
20260109,436.14,445.29,449.05,430.39,1455963.0,final
20260110,445.29,445.61,446.0,445.1,1968.0,final
20260112,441.74,448.22,454.3,438.0,1298785.0,final
20260113,448.96,446.84,452.5,443.95,1153201.0,final
20260114,446.6,438.25,447.0,434.22,1220382.0,final
20260115,440.2,439.13,445.36,437.48,1061438.0,final
20260116,441.76,437.45,447.25,435.26,1198602.0,final
20260117,437.52,437.44,437.65,437.15,1784.0,final
20260120,425.13,419.0,437.5,417.44,1278722.0,final
20260121,422.0,433.3,438.2,417.53,1439812.0,final
20260122,436.0,448.98,451.4,432.6,1523602.0,final
20260123,450.5,447.74,454.0,444.04,1182464.0,final
20260124,447.79,447.4,447.9,447.14,1788.0,final
20260126,445.9,435.93,447.18,434.28,1028652.0,final
20260127,438.16,431.68,438.49,430.5,791417.0,final
20260128,432.16,436.78,450.45,425.0,1142743.0,final
20260129,442.5,430.17,445.1,414.88,1697225.0,final
20260130,424.25,429.45,439.88,420.47,1748121.0,final
20260131,429.4,429.63,429.63,429.01,1732.0,final
20260202,422.0,424.69,427.15,414.5,1215538.0,final
20260203,427.72,420.75,428.56,413.69,1200087.0,final
20260204,420.69,407.9,423.9,399.18,1480862.0,final
20260205,406.42,390.04,408.75,387.53,1499165.0,final
20260206,395.0,411.4,414.55,390.78,1285910.0,final
20260207,411.26,411.78,412.0,411.14,1756.0,final
20260209,414.74,417.68,421.25,407.29,1115721.0,final
20260210,417.25,425.21,427.5,416.16,1379060.0,final
20260211,424.68,427.1,436.35,420.03,1239760.0,final
20260212,428.83,416.01,436.12,414.0,1245121.0,final
20260213,416.5,417.44,424.06,410.88,1084324.0,final
20260214,416.91,417.44,417.48,416.85,980.0,final
20260217,414.47,409.12,418.49,400.51,1274400.0,final
20260218,414.0,410.82,416.9,409.58,990646.0,final
20260219,410.95,411.33,415.25,404.11,1086822.0,final
20260220,412.81,411.35,414.7,405.5,1227537.0,final
20260221,411.36,411.25,411.37,411.1,937.0,final
20260223,407.16,399.3,409.48,394.04,1336898.0,final
20260224,398.62,409.1,410.82,396.68,1248844.0,final
20260225,409.98,415.3,420.34,408.49,1156140.0,final
20260226,415.05,406.54,416.81,403.66,1158782.0,final
20260227,408.5,401.7,409.44,398.11,1187490.0,final
20260228,401.64,401.8,401.87,401.6,1124.0,final
20260302,389.8,403.0,404.54,388.0,1145897.0,final
20260303,393.55,390.6,399.54,385.39,1266531.0,final
20260304,390.4,405.51,408.33,386.08,1400593.0,final
20260305,404.15,404.91,408.62,399.42,1105904.0,final
20260306,405.71,396.07,406.98,394.21,1329308.0,final
20260307,396.08,394.69,396.1,394.54,2884.0,final
20260309,389.66,396.8,401.59,381.4,1375813.0,final
20260310,399.22,399.75,406.59,396.5,1272634.0,final
20260311,398.2,404.81,416.38,397.9,1309167.0,final
20260312,406.03,395.7,409.29,394.54,1303777.0,final
20260313,394.77,389.8,400.49,389.7,1224038.0,final
20260316,394.11,395.45,403.73,391.2,1233522.0,final
20260317,393.71,398.98,400.11,393.0,996876.0,final
20260318,401.88,393.22,403.06,392.15,1082348.0,final
20260319,392.34,382.58,393.77,378.73,1361619.0,final
20260320,383.35,372.25,384.56,364.46,1495839.0,final
20260323,359.12,381.99,385.33,356.82,1519427.0,final
20260324,382.62,386.73,387.48,376.0,1255074.0,final
20260325,388.5,385.35,396.23,385.0,1173067.0,final
20260326,383.8,374.25,386.27,371.2,1152182.0,final
20260327,375.3,360.5,377.78,359.47,1283360.0,final
20260330,363.88,352.12,367.29,352.02,1305560.0,final
20260331,359.3,375.0,375.0,355.75,1519568.0,final
20260401,378.1,380.9,383.14,371.75,1236982.0,final
20260402,373.03,361.26,376.0,359.03,1704779.0,final
20260406,364.95,349.88,367.72,346.64,1658233.0,final
20260407,350.01,361.65,361.89,337.24,1543180.0,final
20260408,364.58,341.17,365.49,339.67,1649843.0,final
20260409,342.4,344.94,348.88,337.25,1300373.0,final
20260410,346.0,351.3,352.4,342.74,1091185.0,final
20260413,347.46,353.33,356.35,345.35,1152309.0,final
20260414,358.0,366.0,367.63,354.02,1269975.0,final
20260415,366.02,393.57,394.65,362.5,2452752.0,final
20260416,397.35,388.18,398.33,381.8,1365385.0,final
20260417,389.08,401.09,409.28,385.27,1855907.0,final
20260420,397.7,392.4,406.8,388.33,1374523.0,final
20260421,393.6,388.99,396.62,385.22,1094025.0,final
20260422,390.15,386.3,406.77,377.52,1334183.0,final
20260423,380.0,373.18,386.0,368.39,1988560.0,final
20260424,375.01,375.26,382.76,370.73,1256589.0,final
20260427,375.6,377.87,380.78,364.02,1404921.0,final
20260428,376.0,377.88,382.29,372.05,1076681.0,final
20260429,377.12,372.8,378.1,370.04,958751.0,final
20260430,371.49,381.4,384.75,368.17,1071150.0,final
20260501,381.3,391.34,397.83,378.8,1395926.0,final
20260504,392.28,391.89,394.64,384.98,1050268.0,final
20260505,392.6,387.26,402.12,385.5,1000514.0,final
20260506,387.66,396.85,401.68,384.02,1117559.0,final
20260507,399.5,409.08,415.83,397.34,1344654.0,final
20260508,414.3,428.0,431.2,411.78,1340183.0,final
20260511,426.33,444.2,449.16,416.8,1633962.0,final
20260512,437.84,430.31,447.8,422.26,1287221.0,final
20260513,436.0,448.2,453.4,430.21,1403430.0,final
20260514,449.0,442.4,452.08,441.16,968332.0,final
20260515,434.7,418.57,439.33,417.88,1105050.0,final
20260518,416.0,409.47,421.13,405.33,1097258.0,final
20260519,409.68,404.68,409.9,393.63,958945.0,final
20260520,405.2,414.75,418.48,401.67,936582.0,final
20260521,421.47,418.4,426.95,412.9,881653.0,final
20260522,420.4,423.67,431.51,415.98,991977.0,final
20260526,428.01,435.35,437.95,426.12,973444.0,final
20260527,434.3,438.13,445.6,433.08,930843.0,final
20260528,434.24,440.3,443.96,427.81,683538.0,final
20260529,441.54,434.35,441.68,428.14,940022.0,final
20260601,430.88,413.57,436.88,413.25,931874.0,final
20260602,416.5,421.84,424.42,411.81,781946.0,final
20260603,421.26,420.16,433.6,416.0,963468.0,final
20260604,421.77,416.32,426.35,416.0,736728.0,final
20260605,416.22,391.32,424.68,388.59,1297593.0,final
20260608,394.5,408.78,412.94,389.79,1017077.0,final
20260609,410.25,395.82,418.5,384.24,1244617.0,final
20260610,392.9,378.78,397.09,378.08,1036686.0,final
20260611,386.79,398.8,400.0,380.66,936657.0,final
20260612,397.04,406.1,407.54,386.76,1330828.0,final
20260615,411.3,408.98,416.0,407.1,950508.0,final
20260616,405.0,402.85,412.42,400.54,852685.0,final
20260617,404.15,397.67,405.94,393.76,892411.0,final
20260618,399.09,398.5,402.52,384.7,1134289.0,final
20260622,395.15,403.4,414.75,390.84,988156.0,final
20260623,396.51,382.4,399.85,379.06,992389.0,final
20260624,385.0,377.8,385.0,373.05,722879.0,final
20260625,377.53,374.4,379.59,371.22,580531.0,final
20260626,370.0,377.91,387.8,367.5,1052446.0,final
20260629,383.3,409.0,413.27,379.3,1216523.0,final
20260630,409.6,415.95,424.54,403.51,897298.0,final
20260701,420.6,424.49,432.86,415.39,838117.0,final
20260702,423.48,393.42,438.14,389.3,1528996.0,final
