datetime,ma200,ma150,ma50
202607020800,-1,-1,406.0006
202607020801,-1,-1,405.9954
202607020802,-1,-1,406.0004
202607020803,-1,-1,406.0198
202607020804,-1,-1,406.0012
202607020805,-1,-1,405.9856
202607020806,-1,-1,406.0046
202607020807,-1,-1,405.9982
202607020808,-1,-1,405.9946
202607020809,-1,-1,405.9946
202607020810,-1,-1,405.9936
202607020811,-1,-1,405.9892
202607020812,-1,-1,405.9884
202607020813,-1,-1,405.9858
202607020814,-1,-1,405.9878
202607020815,-1,-1,405.9884
202607020816,-1,-1,405.9916
202607020817,-1,-1,405.991
202607020818,-1,-1,405.9874
202607020819,-1,-1,405.9946
202607020820,-1,-1,405.9946
202607020821,-1,-1,405.9896
202607020822,-1,-1,405.9906
202607020823,-1,-1,405.9892
202607020824,-1,-1,405.9932
202607020825,-1,-1,405.9946
202607020826,-1,-1,405.994
202607020827,-1,-1,405.9942
202607020828,-1,-1,405.9938
202607020829,-1,-1,405.991
202607020830,-1,-1,405.991
202607020831,-1,-1,405.9946
202607020832,-1,-1,405.9932
202607020833,-1,-1,405.9986
202607020834,-1,-1,405.9966
202607020835,-1,-1,405.9966
202607020836,-1,-1,406.0006
202607020837,-1,-1,406.0066
202607020838,-1,-1,406.0046
202607020839,-1,-1,406.0046
202607020840,-1,-1,405.9986
202607020841,-1,-1,406.0028
202607020842,-1,-1,406.0052
202607020843,-1,-1,406.0052
202607020844,-1,-1,406.0052
202607020845,-1,-1,406.002
202607020846,-1,-1,406.0012
202607020847,-1,-1,406.0056
202607020848,-1,-1,406.0042
202607020849,-1,-1,406.005
202607020850,-1,-1,406.002
202607020851,-1,-1,406.008
202607020852,-1,-1,406.0084
202607020853,-1,-1,406.0106
202607020854,-1,-1,406.0126
202607020855,-1,-1,406.0056
202607020856,-1,-1,406.0068
202607020857,-1,-1,406.0052
202607020858,-1,-1,406.0126
202607020859,-1,-1,406.0126
202607020900,-1,-1,406.0126
202607020901,-1,-1,406.0118
202607020902,-1,-1,406.0106
202607020903,-1,-1,406.0126
202607020904,-1,-1,406.0092
202607020905,-1,-1,406.0126
202607020906,-1,-1,406.0104
202607020907,-1,-1,406.0118
202607020908,-1,-1,406.0146
202607020909,-1,-1,406.0146
202607020910,-1,-1,406.0196
202607020911,-1,-1,406.0168
202607020912,-1,-1,406.0192
202607020913,-1,-1,406.0196
202607020914,-1,-1,406.0268
202607020915,-1,-1,406.0236
202607020916,-1,-1,406.0236
202607020917,-1,-1,406.0278
202607020918,-1,-1,406.0278
202607020919,-1,-1,406.0304
202607020920,-1,-1,406.0304
202607020921,-1,-1,406.0304
202607020922,-1,-1,406.0296
202607020923,-1,-1,406.0302
202607020924,-1,-1,406.026
202607020925,-1,-1,406.0288
202607020926,-1,-1,406.0406
202607020927,-1,-1,406.0586
202607020928,-1,-1,406.0746
202607020929,-1,-1,406.0826
202607020930,-1,-1,406.0864
202607020931,-1,-1,406.0846
202607020932,-1,-1,406.0786
202607020933,-1,-1,406.0864
202607020934,-1,-1,406.0884
202607020935,-1,-1,406.0814
202607020936,-1,-1,406.0862
202607020937,-1,-1,406.0816
202607020938,-1,-1,406.0894
202607020939,-1,-1,406.0918
202607020940,-1,-1,406.0886
202607020941,-1,-1,406.0986
202607020942,-1,-1,406.1056
202607020943,-1,-1,406.1144
202607020944,-1,-1,406.1186
202607020945,-1,-1,406.1264
202607020946,-1,-1,406.1198
202607020947,-1,-1,406.1332
202607020948,-1,-1,406.1286
202607020949,-1,-1,406.134
202607020950,-1,-1,406.1318
202607020951,-1,-1,406.1246
202607020952,-1,-1,406.1214
202607020953,-1,-1,406.1148
202607020954,-1,-1,406.1166
202607020955,-1,-1,406.1192
202607020956,-1,-1,406.1074
202607020957,-1,-1,406.1104
202607020958,-1,-1,406.1
202607020959,-1,-1,406.1012
202607021000,-1,-1,406.0878
202607021001,-1,-1,406.079
202607021002,-1,-1,406.0796
202607021003,-1,-1,406.0764
202607021004,-1,-1,406.084
202607021005,-1,-1,406.0842
202607021006,-1,-1,406.0792
202607021007,-1,-1,406.0786
202607021008,-1,-1,406.0786
202607021009,-1,-1,406.0786
202607021010,-1,-1,406.0784
202607021011,-1,-1,406.083
202607021012,-1,-1,406.08
202607021013,-1,-1,406.0818
202607021014,-1,-1,406.081
202607021015,-1,-1,406.081
202607021016,-1,-1,406.0656
202607021017,-1,-1,406.0578
202607021018,-1,-1,406.0566
202607021019,-1,-1,406.0644
202607021020,-1,-1,406.0646
202607021021,-1,-1,406.0746
202607021022,-1,-1,406.0752
202607021023,-1,-1,406.0832
202607021024,-1,-1,406.0776
202607021025,-1,-1,406.0826
202607021026,-1,-1,406.0846
202607021027,-1,-1,406.0828
202607021028,-1,-1,406.0846
202607021029,-1,-1,406.1012
202607021030,-1,-1,406.112
202607021031,-1,-1,406.1134
202607021032,-1,-1,406.1152
202607021033,-1,-1,406.1146
202607021034,-1,-1,406.1146
202607021035,-1,-1,406.1196
202607021036,-1,-1,406.1198
202607021037,-1,-1,406.1182
202607021038,-1,-1,406.1138
202607021039,-1,-1,406.102
202607021040,-1,-1,406.1002
202607021041,-1,-1,406.1004
202607021042,-1,-1,406.1024
202607021043,-1,-1,406.1006
202607021044,-1,-1,406.0946
202607021045,-1,-1,406.1026
202607021046,-1,-1,406.1056
202607021047,-1,-1,406.1106
202607021048,-1,-1,406.1032
202607021049,-1,-1,406.0966
202607021050,-1,-1,406.0984
202607021051,-1,-1,406.0946
202607021052,-1,-1,406.0946
202607021053,-1,-1,406.095
202607021054,-1,-1,406.0998
202607021055,-1,-1,406.1034
202607021056,-1,-1,406.102
202607021057,-1,-1,406.0956
202607021058,-1,-1,406.105
202607021059,-1,-1,406.1054
202607021100,-1,-1,406.1076
202607021101,-1,-1,406.0988
202607021102,-1,-1,406.1046
202607021103,-1,-1,406.0956
202607021104,-1,-1,406.0846
202607021105,-1,-1,406.0768
202607021106,-1,-1,406.0796
202607021107,-1,-1,406.0806
202607021108,-1,-1,406.0898
202607021109,-1,-1,406.0858
202607021110,-1,-1,406.0886
202607021111,-1,-1,406.0896
202607021112,-1,-1,406.0936
202607021113,-1,-1,406.0884
202607021114,-1,-1,406.0906
202607021115,-1,-1,406.0926
202607021116,-1,-1,406.0886
202607021117,-1,-1,406.0856
202607021118,-1,-1,406.0838
202607021119,-1,-1,406.0854
202607021120,-1,-1,406.0826
202607021121,-1,-1,406.0842
202607021122,-1,-1,406.0856
202607021123,-1,-1,406.0856
202607021124,-1,-1,406.0854
202607021125,-1,-1,406.0886
202607021126,-1,-1,406.0886
202607021127,-1,-1,406.0866
202607021128,-1,-1,406.0846
202607021129,-1,-1,406.0846
202607021130,-1,-1,406.0804
202607021131,-1,-1,406.0746
202607021132,-1,-1,406.078
202607021133,-1,-1,406.0784
202607021134,-1,-1,406.0708
202607021135,-1,-1,406.0686
202607021136,-1,-1,406.0722
202607021137,-1,-1,406.0746
202607021138,-1,-1,406.08
202607021139,-1,-1,406.0804
202607021140,-1,-1,406.0752
202607021141,-1,-1,406.079
202607021142,-1,-1,406.0786
202607021143,-1,-1,406.0796
202607021144,-1,-1,406.0746
202607021145,-1,-1,406.071
202607021146,-1,-1,406.0786
202607021147,-1,-1,406.0746
202607021148,-1,-1,406.0746
202607021149,-1,-1,406.0706
202607021150,-1,-1,406.0746
202607021151,-1,-1,406.0716
202607021152,-1,-1,406.0742
202607021153,-1,-1,406.0752
202607021154,-1,-1,406.0758
202607021155,-1,-1,406.0778
202607021156,-1,-1,406.074
202607021157,-1,-1,406.0778
202607021158,-1,-1,406.0786
202607021159,-1,-1,406.0784
202607021200,-1,-1,406.076
202607021201,-1,-1,406.0786
202607021202,-1,-1,406.0826
202607021203,-1,-1,406.0946
202607021204,-1,-1,406.0946
202607021205,-1,-1,406.0912
202607021206,-1,-1,406.0922
202607021207,-1,-1,406.0878
