datetime,ma200,ma150,ma50
202606220800,-1,-1,-1
202606220801,-1,-1,-1
202606220802,-1,-1,-1
202606220803,-1,-1,-1
202606220804,-1,-1,-1
202606220805,-1,-1,-1
202606220806,-1,-1,-1
202606220807,-1,-1,-1
202606220808,-1,-1,-1
202606220809,-1,-1,-1
202606220810,-1,-1,-1
202606220811,-1,-1,-1
202606220812,-1,-1,-1
202606220813,-1,-1,-1
202606220814,-1,-1,-1
202606220815,-1,-1,-1
202606220816,-1,-1,-1
202606220817,-1,-1,-1
202606220818,-1,-1,-1
202606220819,-1,-1,-1
202606220820,-1,-1,-1
202606220821,-1,-1,-1
202606220822,-1,-1,-1
202606220823,-1,-1,-1
202606220824,-1,-1,-1
202606220825,-1,-1,-1
202606220826,-1,-1,-1
202606220827,-1,-1,-1
202606220828,-1,-1,-1
202606220829,-1,-1,-1
202606220830,-1,-1,-1
202606220831,-1,-1,-1
202606220832,-1,-1,-1
202606220833,-1,-1,-1
202606220834,-1,-1,-1
202606220835,-1,-1,-1
202606220836,-1,-1,-1
202606220837,-1,-1,-1
202606220838,-1,-1,-1
202606220839,-1,-1,-1
202606220840,-1,-1,-1
202606220841,-1,-1,-1
202606220842,-1,-1,-1
202606220843,-1,-1,-1
202606220844,-1,-1,-1
202606220845,-1,-1,-1
202606220846,-1,-1,-1
202606220847,-1,-1,-1
202606220848,-1,-1,-1
202606220849,-1,-1,242.274
202606220850,-1,-1,242.2622
202606220851,-1,-1,242.2544
202606220852,-1,-1,242.2464
202606220853,-1,-1,242.2428
202606220854,-1,-1,242.2588
202606220855,-1,-1,242.2734
202606220856,-1,-1,242.2616
202606220857,-1,-1,242.2486
202606220858,-1,-1,242.2474
202606220859,-1,-1,242.2526
202606220900,-1,-1,242.2578
202606220901,-1,-1,242.2548
202606220902,-1,-1,242.2508
202606220903,-1,-1,242.2508
202606220904,-1,-1,242.2504
202606220905,-1,-1,242.251
202606220906,-1,-1,242.247
202606220907,-1,-1,242.243
202606220908,-1,-1,242.2468
202606220909,-1,-1,242.2506
202606220910,-1,-1,242.2522
202606220911,-1,-1,242.255
202606220912,-1,-1,242.2566
202606220913,-1,-1,242.2582
202606220914,-1,-1,242.2598
202606220915,-1,-1,242.2614
202606220916,-1,-1,242.2628
202606220917,-1,-1,242.2614
202606220918,-1,-1,242.265
202606220919,-1,-1,242.2686
202606220920,-1,-1,242.2722
202606220921,-1,-1,242.2758
202606220922,-1,-1,242.278
202606220923,-1,-1,242.2802
202606220924,-1,-1,242.2896
202606220925,-1,-1,242.297
202606220926,-1,-1,242.3054
202606220927,-1,-1,242.3144
202606220928,-1,-1,242.3234
202606220929,-1,-1,242.3324
202606220930,-1,-1,242.3454
202606220931,-1,-1,242.3534
202606220932,-1,-1,242.3614
202606220933,-1,-1,242.3694
202606220934,-1,-1,242.3774
202606220935,-1,-1,242.3854
202606220936,-1,-1,242.3934
202606220937,-1,-1,242.4014
202606220938,-1,-1,242.4094
202606220939,-1,-1,242.411
202606220940,-1,-1,242.4126
202606220941,-1,-1,242.4184
202606220942,-1,-1,242.42
202606220943,-1,-1,242.4216
202606220944,-1,-1,242.4236
202606220945,-1,-1,242.4232
202606220946,-1,-1,242.4264
202606220947,-1,-1,242.4296
202606220948,-1,-1,242.4328
202606220949,-1,-1,242.436
202606220950,-1,-1,242.4392
202606220951,-1,-1,242.4412
202606220952,-1,-1,242.4394
202606220953,-1,-1,242.4376
202606220954,-1,-1,242.4362
202606220955,-1,-1,242.4336
202606220956,-1,-1,242.4298
202606220957,-1,-1,242.426
202606220958,-1,-1,242.4222
202606220959,-1,-1,242.4184
202606221000,-1,-1,242.4136
202606221001,-1,-1,242.4076
202606221002,-1,-1,242.4054
202606221003,-1,-1,242.4032
202606221004,-1,-1,242.4038
202606221005,-1,-1,242.4044
202606221006,-1,-1,242.4062
202606221007,-1,-1,242.4108
202606221008,-1,-1,242.4154
202606221009,-1,-1,242.42
202606221010,-1,-1,242.4246
202606221011,-1,-1,242.4292
202606221012,-1,-1,242.4332
202606221013,-1,-1,242.4332
202606221014,-1,-1,242.4318
202606221015,-1,-1,242.4304
202606221016,-1,-1,242.4298
202606221017,-1,-1,242.4286
202606221018,-1,-1,242.4274
202606221019,-1,-1,242.4262
202606221020,-1,-1,242.4262
202606221021,-1,-1,242.4312
202606221022,-1,-1,242.4362
202606221023,-1,-1,242.4412
202606221024,-1,-1,242.4438
202606221025,-1,-1,242.4442
202606221026,-1,-1,242.4438
202606221027,-1,-1,242.4418
202606221028,-1,-1,242.4398
202606221029,-1,242.3743,242.4378
202606221030,-1,242.3702,242.4358
202606221031,-1,242.3689,242.4338
202606221032,-1,242.3661,242.4318
202606221033,-1,242.3637,242.4266
202606221034,-1,242.3679,242.4214
202606221035,-1,242.3709,242.4162
202606221036,-1,242.3663,242.411
