datetime,ma200,ma150,ma50
202606220800,-1,-1,-1
202606220801,-1,-1,-1
202606220802,-1,-1,-1
202606220803,-1,-1,-1
202606220804,-1,-1,-1
202606220805,-1,-1,-1
202606220806,-1,-1,-1
202606220807,-1,-1,-1
202606220808,-1,-1,-1
202606220809,-1,-1,-1
202606220810,-1,-1,-1
202606220811,-1,-1,-1
202606220812,-1,-1,-1
202606220813,-1,-1,-1
202606220814,-1,-1,-1
202606220815,-1,-1,-1
202606220816,-1,-1,-1
202606220817,-1,-1,-1
202606220818,-1,-1,-1
202606220819,-1,-1,-1
202606220820,-1,-1,-1
202606220821,-1,-1,-1
202606220822,-1,-1,-1
202606220823,-1,-1,-1
202606220824,-1,-1,-1
202606220825,-1,-1,-1
202606220826,-1,-1,-1
202606220827,-1,-1,-1
202606220828,-1,-1,-1
202606220829,-1,-1,-1
202606220830,-1,-1,-1
202606220831,-1,-1,-1
202606220832,-1,-1,-1
202606220833,-1,-1,-1
202606220834,-1,-1,-1
202606220835,-1,-1,-1
202606220836,-1,-1,-1
202606220837,-1,-1,-1
202606220838,-1,-1,-1
202606220839,-1,-1,-1
202606220840,-1,-1,-1
202606220841,-1,-1,-1
202606220842,-1,-1,-1
202606220843,-1,-1,-1
202606220844,-1,-1,-1
202606220845,-1,-1,-1
202606220846,-1,-1,-1
202606220847,-1,-1,-1
202606220848,-1,-1,-1
202606220849,-1,-1,362.581
202606220850,-1,-1,362.5396
202606220851,-1,-1,362.4958
202606220852,-1,-1,362.4572
202606220853,-1,-1,362.419
202606220854,-1,-1,362.4396
202606220855,-1,-1,362.4198
202606220856,-1,-1,362.3826
202606220857,-1,-1,362.351
202606220858,-1,-1,362.3282
202606220859,-1,-1,362.3032
202606220900,-1,-1,362.2812
202606220901,-1,-1,362.2692
202606220902,-1,-1,362.2572
202606220903,-1,-1,362.2506
202606220904,-1,-1,362.2472
202606220905,-1,-1,362.2418
202606220906,-1,-1,362.2478
202606220907,-1,-1,362.252
202606220908,-1,-1,362.2572
202606220909,-1,-1,362.2678
202606220910,-1,-1,362.281
202606220911,-1,-1,362.296
202606220912,-1,-1,362.3166
202606220913,-1,-1,362.3394
202606220914,-1,-1,362.3496
202606220915,-1,-1,362.3542
202606220916,-1,-1,362.3518
202606220917,-1,-1,362.3492
202606220918,-1,-1,362.348
202606220919,-1,-1,362.355
202606220920,-1,-1,362.365
202606220921,-1,-1,362.3706
202606220922,-1,-1,362.3748
202606220923,-1,-1,362.379
202606220924,-1,-1,362.383
202606220925,-1,-1,362.3942
202606220926,-1,-1,362.4042
202606220927,-1,-1,362.4102
202606220928,-1,-1,362.4174
202606220929,-1,-1,362.4238
202606220930,-1,-1,362.425
202606220931,-1,-1,362.4288
202606220932,-1,-1,362.4336
202606220933,-1,-1,362.4394
202606220934,-1,-1,362.4472
202606220935,-1,-1,362.457
202606220936,-1,-1,362.4648
202606220937,-1,-1,362.4728
202606220938,-1,-1,362.4808
202606220939,-1,-1,362.4894
202606220940,-1,-1,362.498
202606220941,-1,-1,362.5026
202606220942,-1,-1,362.5076
202606220943,-1,-1,362.5114
202606220944,-1,-1,362.517
202606220945,-1,-1,362.5246
202606220946,-1,-1,362.525
202606220947,-1,-1,362.5286
202606220948,-1,-1,362.5304
202606220949,-1,-1,362.5272
202606220950,-1,-1,362.524
202606220951,-1,-1,362.5208
202606220952,-1,-1,362.5148
202606220953,-1,-1,362.5074
202606220954,-1,-1,362.497
202606220955,-1,-1,362.4902
202606220956,-1,-1,362.4762
202606220957,-1,-1,362.4624
202606220958,-1,-1,362.449
202606220959,-1,-1,362.4356
202606221000,-1,-1,362.4222
202606221001,-1,-1,362.4138
202606221002,-1,-1,362.4006
202606221003,-1,-1,362.3874
202606221004,-1,-1,362.3832
202606221005,-1,-1,362.3808
202606221006,-1,-1,362.3854
202606221007,-1,-1,362.3918
202606221008,-1,-1,362.4026
202606221009,-1,-1,362.4126
202606221010,-1,-1,362.4162
202606221011,-1,-1,362.4062
202606221012,-1,-1,362.3966
202606221013,-1,-1,362.3786
202606221014,-1,-1,362.3716
202606221015,-1,-1,362.352
202606221016,-1,-1,362.3382
202606221017,-1,-1,362.3276
202606221018,-1,-1,362.3174
202606221019,-1,-1,362.307
202606221020,-1,-1,362.299
202606221021,-1,-1,362.291
202606221022,-1,-1,362.28
202606221023,-1,-1,362.268
202606221024,-1,-1,362.2538
202606221025,-1,-1,362.2328
202606221026,-1,-1,362.2176
202606221027,-1,-1,362.1986
202606221028,-1,-1,362.1798
202606221029,-1,362.4118,362.165
202606221030,-1,362.3949,362.147
202606221031,-1,362.3769,362.1324
202606221032,-1,362.3623,362.1222
202606221033,-1,362.3456,362.1064
202606221034,-1,362.3481,362.0876
202606221035,-1,362.3377,362.0688
202606221036,-1,362.3169,362.043
202606221037,-1,362.3007,362.0226
