datetime,open,close,high,low,volume
202606220800,363.95,364.27,365.47,361.12,451
202606220801,364.1,364.39,364.56,361.1,105
202606220802,364.22,364.02,364.22,364.02,8
202606220803,364.22,363.99,364.22,363.93,13
202606220804,364.0,361.05,364.0,361.05,85
202606220805,361.1,363.07,363.82,361.04,301
202606220806,363.32,364.3,364.35,361.05,345
202606220807,364.0,363.86,364.3,362.74,114
202606220808,363.69,363.51,364.06,363.5,31
202606220809,363.75,363.7,363.78,363.61,12
202606220810,363.52,363.5,363.52,363.5,16
202606220811,363.52,363.0,363.52,362.99,86
202606220812,363.0,363.0,363.0,362.9,42
202606220813,363.0,362.8,363.0,362.8,12
202606220814,362.88,362.79,363.0,362.79,36
202606220815,362.9,362.71,363.0,362.71,19
202606220816,362.71,362.48,362.86,362.48,11
202606220817,362.56,362.56,362.56,362.55,2
202606220818,362.57,362.5,362.57,362.5,2
202606220819,362.78,362.23,362.78,362.23,30
202606220820,362.25,362.1,362.3,362.0,54
202606220821,362.0,362.01,362.1,361.99,30
202606220822,362.14,361.96,362.14,361.86,33
202606220823,361.85,361.85,361.85,361.85,1
202606220824,361.96,362.17,362.17,361.82,73
202606220825,362.3,362.35,362.55,362.22,17
202606220826,362.35,362.35,362.35,362.35,0
202606220827,362.44,362.36,362.44,362.36,3
202606220828,362.19,362.2,362.2,362.17,9
202606220829,362.05,361.85,362.12,361.85,17
202606220830,361.88,361.82,361.88,361.82,8
202606220831,362.16,362.22,362.22,362.16,12
202606220832,362.13,362.19,362.19,361.99,10
202606220833,362.19,362.19,362.19,362.19,0
202606220834,362.2,362.2,362.2,362.2,2
202606220835,362.2,362.0,362.2,361.8,70
202606220836,361.98,361.99,361.99,361.98,14
202606220837,362.19,362.2,362.2,362.19,15
202606220838,362.2,362.12,362.2,362.12,14
202606220839,362.2,362.2,362.2,362.16,12
202606220840,362.2,362.46,362.46,362.2,17
202606220841,362.47,362.33,362.48,362.33,6
202606220842,362.47,362.3,362.47,362.15,12
202606220843,362.3,362.3,362.3,362.3,0
202606220844,362.2,362.3,362.3,362.2,4
202606220845,362.3,362.3,362.3,362.3,2
202606220846,362.3,362.3,362.3,362.3,0
202606220847,362.16,362.25,362.25,362.15,11
202606220848,362.25,362.25,362.25,362.25,0
202606220849,362.2,362.2,362.2,362.2,2
202606220850,362.2,362.2,362.24,362.2,13
202606220851,362.2,362.2,362.2,362.2,0
202606220852,362.2,362.09,362.2,362.08,50
202606220853,362.08,362.08,362.08,362.08,1
202606220854,362.08,362.08,362.08,362.08,0
202606220855,362.08,362.08,362.08,362.08,0
202606220856,362.29,362.44,362.44,362.29,4
202606220857,362.3,362.28,362.33,362.27,8
202606220858,362.37,362.37,362.37,362.37,5
202606220859,362.45,362.45,362.45,362.45,1
202606220900,362.53,362.4,362.53,362.4,19
202606220901,362.4,362.4,362.4,362.4,0
202606220902,362.4,362.4,362.4,362.4,1
202606220903,362.47,362.47,362.47,362.47,1
202606220904,362.62,362.62,362.62,362.62,1
202606220905,362.73,362.44,362.73,362.3,26
202606220906,362.59,362.78,362.78,362.59,6
202606220907,362.68,362.77,362.77,362.68,3
202606220908,362.77,362.76,362.78,362.76,11
202606220909,362.76,362.76,362.76,362.76,0
202606220910,362.76,362.76,362.76,362.76,0
202606220911,362.76,362.76,362.76,362.76,0
202606220912,363.0,362.99,363.0,362.99,9
202606220913,362.99,362.99,362.99,362.99,0
202606220914,362.68,362.68,362.69,362.68,2
202606220915,362.82,362.58,362.82,362.58,6
202606220916,362.45,362.23,362.53,362.2,33
202606220917,362.3,362.23,362.31,362.17,23
202606220918,362.2,362.14,362.2,362.13,12
202606220919,362.25,362.2,362.25,362.2,2
202606220920,362.39,362.32,362.49,362.32,16
202606220921,362.5,362.5,362.5,362.5,10
202606220922,362.32,362.4,362.4,362.32,2
202606220923,362.4,362.4,362.4,362.4,0
202606220924,362.4,362.4,362.4,362.4,2
202606220925,362.56,362.56,362.56,362.49,4
202606220926,362.49,362.49,362.49,362.49,1
202606220927,362.5,362.5,362.5,362.5,2
202606220928,362.48,362.48,362.49,362.48,2
202606220929,362.52,362.52,362.52,362.52,1
202606220930,362.52,362.52,362.52,362.52,1
202606220931,362.52,362.52,362.52,362.51,25
202606220932,362.43,362.54,362.54,362.43,8
202606220933,362.57,362.59,362.63,362.57,6
202606220934,362.67,362.69,362.69,362.67,2
202606220935,362.71,362.79,362.79,362.71,7
202606220936,362.72,362.69,362.75,362.69,4
202606220937,362.62,362.65,362.65,362.61,3
202606220938,362.69,362.65,362.69,362.65,5
202606220939,362.66,362.63,362.66,362.63,3
202606220940,362.63,362.63,362.63,362.63,1
202606220941,362.58,362.43,362.58,362.43,9
202606220942,362.7,362.34,362.71,362.34,8
202606220943,362.3,362.27,362.5,362.2,11
202606220944,362.36,362.36,362.36,362.36,1
202606220945,362.46,362.46,362.46,362.46,2
202606220946,362.46,362.46,362.46,362.46,0
202606220947,362.46,362.46,362.46,362.46,0
202606220948,362.46,362.46,362.46,362.46,0
202606220949,362.32,362.29,362.32,362.29,6
202606220950,362.3,362.24,362.3,362.1,5
202606220951,362.24,362.24,362.24,362.24,0
202606220952,362.28,362.1,362.28,362.1,3
202606220953,362.1,362.1,362.1,362.1,0
202606220954,362.1,362.1,362.1,362.1,0
202606220955,362.1,362.1,362.1,362.1,0
202606220956,362.08,362.08,362.08,362.08,1
202606220957,362.08,362.08,362.08,362.08,0
202606220958,362.08,362.09,362.29,362.08,8
202606220959,362.09,362.09,362.09,362.09,1
202606221000,362.09,362.09,362.09,362.09,0
202606221001,362.34,362.34,362.35,362.34,2
202606221002,362.1,362.33,362.33,362.1,4
202606221003,362.33,362.33,362.33,362.33,0
202606221004,362.38,362.47,362.47,362.3,17
202606221005,362.4,362.46,362.46,362.4,5
202606221006,362.46,362.46,362.46,362.46,0
202606221007,362.55,362.55,362.55,362.55,1
202606221008,362.51,362.68,362.69,362.51,14
202606221009,362.7,362.7,362.7,362.56,15
202606221010,362.5,362.5,362.52,362.5,18
202606221011,362.69,362.0,362.7,362.0,83
202606221012,362.45,361.92,362.45,361.59,72
202606221013,361.92,361.5,362.06,361.5,62
202606221014,361.84,362.05,362.05,361.55,13
202606221015,361.58,361.58,361.58,361.58,2
202606221016,361.98,361.8,362.0,361.5,38
202606221017,362.01,361.97,362.01,361.97,2
202606221018,361.97,361.97,361.97,361.97,0
202606221019,362.0,362.0,362.0,362.0,1
202606221020,361.92,362.12,362.19,361.92,10
202606221021,362.12,362.12,362.12,362.12,0
202606221022,361.99,361.99,361.99,361.99,2
202606221023,361.99,361.99,361.99,361.99,0
202606221024,362.0,361.98,362.0,361.98,2
202606221025,361.84,361.74,361.84,361.73,6
202606221026,361.99,361.93,362.0,361.84,14
202606221027,361.93,361.7,361.93,361.7,6
202606221028,361.7,361.71,361.71,361.7,8
202606221029,361.78,361.89,361.9,361.7,22
202606221030,361.72,361.73,361.73,361.61,57
202606221031,361.73,361.7,361.73,361.5,27
202606221032,361.58,361.83,361.84,361.39,35
202606221033,361.69,361.48,361.7,361.48,16
202606221034,361.62,361.42,361.76,361.41,12
202606221035,361.79,361.52,361.8,361.52,7
202606221036,361.52,361.17,361.52,361.01,36
202606221037,361.21,361.44,361.44,361.18,26
202606221038,361.25,361.39,361.42,361.24,40
202606221039,361.31,361.38,361.38,361.31,3
202606221040,361.29,361.38,361.38,361.26,20
202606221041,361.32,361.26,361.37,361.22,20
202606221042,361.31,361.31,361.31,361.31,1
202606221043,361.2,361.27,361.27,361.11,9
202606221044,361.3,361.45,361.45,361.3,2
202606221045,361.45,361.41,361.6,361.41,28
202606221046,361.4,361.3,361.4,361.3,3
202606221047,361.5,361.3,361.5,361.3,5
202606221048,361.3,361.3,361.3,361.3,0
202606221049,361.3,361.3,361.3,361.3,3
202606221050,361.3,361.3,361.3,361.3,0
202606221051,361.35,361.5,361.5,361.34,12
202606221052,361.45,361.68,361.73,361.45,23
202606221053,361.68,361.7,361.7,361.68,6
202606221054,361.7,361.7,361.7,361.7,2
202606221055,361.7,361.71,361.71,361.7,15
202606221056,361.68,361.72,361.72,361.68,9
202606221057,361.65,361.8,361.89,361.65,31
202606221058,361.79,361.89,361.89,361.79,8
202606221059,361.89,361.92,361.92,361.89,10
202606221100,361.98,361.8,362.0,361.8,54
202606221101,361.88,361.8,361.88,361.8,2
202606221102,361.97,362.2,362.2,361.88,13
202606221103,362.2,361.88,362.24,361.88,44
202606221104,361.88,361.98,362.0,361.88,230
202606221105,362.0,362.29,362.29,362.0,81
202606221106,362.12,362.37,362.37,362.11,10
202606221107,362.21,361.82,362.21,361.82,86
202606221108,361.85,361.95,362.0,361.82,10
202606221109,361.8,361.8,361.98,361.8,181
202606221110,361.73,361.47,361.88,361.4,59
202606221111,361.23,361.18,361.23,361.18,5
202606221112,361.17,361.1,361.3,361.09,89
202606221113,361.23,361.14,361.23,360.93,75
202606221114,360.92,360.92,361.19,360.9,39
202606221115,361.05,361.13,361.13,361.0,11
202606221116,361.0,361.02,361.04,360.94,23
202606221117,361.0,361.07,361.07,361.0,6
202606221118,361.14,361.15,361.16,361.1,11
202606221119,361.2,361.21,361.25,361.2,44
202606221120,361.22,361.5,361.58,361.2,90
202606221121,361.31,361.5,361.5,361.31,22
202606221122,361.45,361.4,361.45,361.4,8
202606221123,361.5,361.42,361.5,361.4,53
202606221124,361.45,361.45,361.45,361.44,2
202606221125,361.5,361.5,361.5,361.5,2
202606221126,361.49,361.6,361.6,361.41,35
202606221127,361.49,361.49,361.49,361.49,1
202606221128,361.41,361.42,361.5,361.4,32
202606221129,361.41,361.3,361.41,361.3,18
202606221130,361.3,361.3,361.3,361.3,6
202606221131,361.3,361.3,361.41,361.3,12
202606221132,361.33,361.27,361.33,361.16,13
202606221133,361.33,361.3,361.35,361.3,4
202606221134,361.4,361.19,361.4,361.19,25
202606221135,361.2,361.2,361.2,361.19,1
202606221136,361.31,361.34,361.39,361.29,140
202606221137,361.57,361.57,361.57,361.57,5
202606221138,361.54,361.53,361.54,361.43,34
202606221139,361.54,361.39,361.54,361.36,71
202606221140,361.4,361.39,361.49,361.39,30
202606221141,361.45,361.55,361.58,361.44,50
202606221142,361.64,361.64,361.64,361.64,1
202606221143,361.67,361.78,361.78,361.62,28
202606221144,361.78,361.74,361.88,361.73,12
202606221145,361.82,361.61,361.82,361.61,45
202606221146,361.55,361.66,361.67,361.54,12
202606221147,361.68,361.69,361.69,361.68,3
202606221148,361.65,361.63,361.65,361.4,76
202606221149,361.55,361.55,361.65,361.55,22
202606221150,361.57,361.65,361.65,361.57,23
202606221151,361.57,361.5,361.67,361.5,27
202606221152,361.62,361.37,361.62,361.36,48
202606221153,361.37,361.34,361.37,361.28,24
202606221154,361.35,361.35,361.35,361.35,1
202606221155,361.38,361.58,361.58,361.36,23
202606221156,361.44,361.22,361.44,361.22,27
202606221157,361.32,361.18,361.35,361.17,24
202606221158,361.35,361.34,361.35,361.34,2
