datetime,ma200,ma150,ma50
202606220800,-1,-1,-1
202606220801,-1,-1,-1
202606220802,-1,-1,-1
202606220803,-1,-1,-1
202606220804,-1,-1,-1
202606220805,-1,-1,-1
202606220806,-1,-1,-1
202606220807,-1,-1,-1
202606220808,-1,-1,-1
202606220809,-1,-1,-1
202606220810,-1,-1,-1
202606220811,-1,-1,-1
202606220812,-1,-1,-1
202606220813,-1,-1,-1
202606220814,-1,-1,-1
202606220815,-1,-1,-1
202606220816,-1,-1,-1
202606220817,-1,-1,-1
202606220818,-1,-1,-1
202606220819,-1,-1,-1
202606220820,-1,-1,-1
202606220821,-1,-1,-1
202606220822,-1,-1,-1
202606220823,-1,-1,-1
202606220824,-1,-1,-1
202606220825,-1,-1,-1
202606220826,-1,-1,-1
202606220827,-1,-1,-1
202606220828,-1,-1,-1
202606220829,-1,-1,-1
202606220830,-1,-1,-1
202606220831,-1,-1,-1
202606220832,-1,-1,-1
202606220833,-1,-1,-1
202606220834,-1,-1,-1
202606220835,-1,-1,-1
202606220836,-1,-1,-1
202606220837,-1,-1,-1
202606220838,-1,-1,-1
202606220839,-1,-1,-1
202606220840,-1,-1,-1
202606220841,-1,-1,-1
202606220842,-1,-1,-1
202606220843,-1,-1,-1
202606220844,-1,-1,-1
202606220845,-1,-1,-1
202606220846,-1,-1,-1
202606220847,-1,-1,-1
202606220848,-1,-1,-1
202606220849,-1,-1,575.2386
202606220850,-1,-1,575.2074
202606220851,-1,-1,575.2566
202606220852,-1,-1,575.2482
202606220853,-1,-1,575.2446
202606220854,-1,-1,575.2872
202606220855,-1,-1,575.2926
202606220856,-1,-1,575.2706
202606220857,-1,-1,575.2702
202606220858,-1,-1,575.2506
202606220859,-1,-1,575.2358
202606220900,-1,-1,575.2206
202606220901,-1,-1,575.2054
202606220902,-1,-1,575.1908
202606220903,-1,-1,575.1762
202606220904,-1,-1,575.1616
202606220905,-1,-1,575.1568
202606220906,-1,-1,575.152
202606220907,-1,-1,575.1472
202606220908,-1,-1,575.148
202606220909,-1,-1,575.1488
202606220910,-1,-1,575.1496
202606220911,-1,-1,575.1498
202606220912,-1,-1,575.1504
202606220913,-1,-1,575.1564
202606220914,-1,-1,575.1702
202606220915,-1,-1,575.177
202606220916,-1,-1,575.1838
202606220917,-1,-1,575.1884
202606220918,-1,-1,575.1766
202606220919,-1,-1,575.1648
202606220920,-1,-1,575.153
202606220921,-1,-1,575.1558
202606220922,-1,-1,575.1522
202606220923,-1,-1,575.163
202606220924,-1,-1,575.1738
202606220925,-1,-1,575.1808
202606220926,-1,-1,575.1878
202606220927,-1,-1,575.1782
202606220928,-1,-1,575.164
202606220929,-1,-1,575.154
202606220930,-1,-1,575.144
202606220931,-1,-1,575.1274
202606220932,-1,-1,575.1134
202606220933,-1,-1,575.0994
202606220934,-1,-1,575.0854
202606220935,-1,-1,575.0714
202606220936,-1,-1,575.053
202606220937,-1,-1,575.0358
202606220938,-1,-1,575.0186
202606220939,-1,-1,575.0014
202606220940,-1,-1,574.9926
202606220941,-1,-1,574.9838
202606220942,-1,-1,574.9776
202606220943,-1,-1,574.9714
202606220944,-1,-1,574.9686
202606220945,-1,-1,574.9598
202606220946,-1,-1,574.951
202606220947,-1,-1,574.9422
202606220948,-1,-1,574.9334
202606220949,-1,-1,574.9198
202606220950,-1,-1,574.9064
202606220951,-1,-1,574.893
202606220952,-1,-1,574.8796
202606220953,-1,-1,574.8662
202606220954,-1,-1,574.8556
202606220955,-1,-1,574.845
202606220956,-1,-1,574.8316
202606220957,-1,-1,574.8182
202606220958,-1,-1,574.804
202606220959,-1,-1,574.7898
202606221000,-1,-1,574.7756
202606221001,-1,-1,574.7614
202606221002,-1,-1,574.7472
202606221003,-1,-1,574.733
202606221004,-1,-1,574.7226
202606221005,-1,-1,574.7174
202606221006,-1,-1,574.7172
202606221007,-1,-1,574.735
202606221008,-1,-1,574.7528
202606221009,-1,-1,574.755
202606221010,-1,-1,574.7572
202606221011,-1,-1,574.7594
202606221012,-1,-1,574.7628
202606221013,-1,-1,574.7662
202606221014,-1,-1,574.7718
202606221015,-1,-1,574.769
202606221016,-1,-1,574.7688
202606221017,-1,-1,574.7686
202606221018,-1,-1,574.7706
202606221019,-1,-1,574.7726
202606221020,-1,-1,574.7794
202606221021,-1,-1,574.7928
202606221022,-1,-1,574.8036
202606221023,-1,-1,574.8144
202606221024,-1,-1,574.8252
202606221025,-1,-1,574.836
202606221026,-1,-1,574.8512
202606221027,-1,-1,574.8664
202606221028,-1,-1,574.8816
202606221029,-1,575.0456,574.8968
202606221030,-1,575.0373,574.912
202606221031,-1,575.0511,574.913
202606221032,-1,575.0457,574.9114
202606221033,-1,575.0419,574.9098
202606221034,-1,575.0535,574.9048
202606221035,-1,575.0527,574.9058
202606221036,-1,575.0319,574.8742
