datetime,open,close,high,low,volume
20240102,49.37,48.0,49.61,47.6,3104715.0
20240103,47.9,47.62,48.19,47.26,2443035.0
20240104,47.79,48.08,48.5,47.51,2357769.0
20240105,48.03,49.18,49.55,47.73,3213271.0
20240106,49.17,49.17,49.19,49.17,1248.0
20240108,49.0,52.58,52.6,48.68,4918347.0
20240109,52.49,53.23,54.33,51.69,6051981.0
20240110,53.41,54.53,54.63,53.07,4194438.0
20240111,54.71,54.7,55.35,53.56,4738311.0
20240112,54.73,54.68,54.97,54.23,2814519.0
20240113,54.68,54.71,54.73,54.66,2583.0
20240116,54.39,56.57,56.84,54.08,3387231.0
20240117,56.01,55.94,56.79,54.74,3666401.0
20240118,56.61,57.39,57.6,55.77,3760311.0
20240119,57.71,59.42,59.65,57.23,4143122.0
20240120,59.42,59.48,59.48,59.4,4385.0
20240122,60.01,59.73,60.52,59.07,3269043.0
20240123,59.85,60.19,60.19,58.59,2211781.0
20240124,60.41,61.4,62.85,59.94,4286120.0
20240125,61.89,60.63,62.72,60.12,3733432.0
20240126,60.43,61.01,61.78,60.15,2927138.0
20240127,61.01,61.03,61.04,60.99,2065.0
20240129,61.41,63.2,63.44,60.91,2592889.0
20240130,63.29,61.48,63.49,60.8,3152115.0
20240131,61.69,61.65,62.27,60.7,3463674.0
20240201,62.2,64.03,64.11,61.65,2834461.0
20240202,64.15,66.4,66.6,63.69,3566880.0
20240203,66.4,66.2,66.4,66.17,4744.0
20240205,66.67,69.88,69.99,66.42,5103589.0
20240206,70.72,67.45,71.22,66.3,5045009.0
20240207,67.8,70.44,70.97,67.48,3696349.0
20240208,70.6,69.75,70.79,69.35,2972002.0
20240209,69.9,72.13,72.3,69.75,3273347.0
20240210,72.13,72.1,72.2,72.1,4457.0
20240212,72.4,72.02,74.61,71.25,4525140.0
20240213,71.9,72.36,73.45,69.62,4438516.0
20240214,72.99,73.8,74.24,71.94,3762361.0
20240215,74.02,73.08,74.43,72.4,3083609.0
20240216,73.2,72.72,74.4,72.5,3650078.0
20240217,72.73,72.72,72.77,72.7,4621.0
20240220,72.79,68.48,72.79,67.73,4926213.0
20240221,68.13,73.06,74.6,64.5,4536710.0
20240222,74.92,79.9,79.97,74.2,5906915.0
20240223,80.22,78.63,82.39,77.57,5929878.0
20240224,78.63,78.69,78.8,78.46,7261.0
20240226,79.09,78.94,80.65,78.5,3616672.0
