date,ma200,ma150,ma50
20240102,-1,-1,-1
20240103,-1,-1,-1
20240104,-1,-1,-1
20240105,-1,-1,-1
20240106,-1,-1,-1
20240108,-1,-1,-1
20240109,-1,-1,-1
20240110,-1,-1,-1
20240111,-1,-1,-1
20240112,-1,-1,-1
20240113,-1,-1,-1
20240116,-1,-1,-1
20240117,-1,-1,-1
20240118,-1,-1,-1
20240119,-1,-1,-1
20240120,-1,-1,-1
20240122,-1,-1,-1
20240123,-1,-1,-1
20240124,-1,-1,-1
20240125,-1,-1,-1
20240126,-1,-1,-1
20240127,-1,-1,-1
20240129,-1,-1,-1
20240130,-1,-1,-1
20240131,-1,-1,-1
20240201,-1,-1,-1
20240202,-1,-1,-1
20240203,-1,-1,-1
20240205,-1,-1,-1
20240206,-1,-1,-1
20240207,-1,-1,-1
20240208,-1,-1,-1
20240209,-1,-1,-1
20240210,-1,-1,-1
20240212,-1,-1,-1
20240213,-1,-1,-1
20240214,-1,-1,-1
20240215,-1,-1,-1
20240216,-1,-1,-1
20240217,-1,-1,-1
20240220,-1,-1,-1
20240221,-1,-1,-1
20240222,-1,-1,-1
20240223,-1,-1,-1
20240224,-1,-1,-1
20240226,-1,-1,-1
20240227,-1,-1,-1
20240228,-1,-1,-1
20240229,-1,-1,-1
20240301,-1,-1,64.7226
20240302,-1,-1,65.4156
20240304,-1,-1,66.1814
20240305,-1,-1,66.9348
20240306,-1,-1,67.7298
20240307,-1,-1,68.6314
20240308,-1,-1,69.2938
20240309,-1,-1,69.9312
20240311,-1,-1,70.5802
20240312,-1,-1,71.3486
20240313,-1,-1,72.065
20240314,-1,-1,72.7168
20240315,-1,-1,73.3492
20240318,-1,-1,73.9682
20240319,-1,-1,74.6014
20240320,-1,-1,75.237
20240321,-1,-1,75.8772
20240322,-1,-1,76.563
20240325,-1,-1,77.2668
20240326,-1,-1,77.8918
20240327,-1,-1,78.477
20240328,-1,-1,79.0594
20240401,-1,-1,79.6418
20240402,-1,-1,80.1626
20240403,-1,-1,80.7228
20240404,-1,-1,81.214
20240405,-1,-1,81.6944
20240408,-1,-1,82.1068
20240409,-1,-1,82.4774
20240410,-1,-1,82.8188
20240411,-1,-1,83.2846
20240412,-1,-1,83.6264
20240415,-1,-1,83.9454
20240416,-1,-1,84.2626
20240417,-1,-1,84.5142
20240418,-1,-1,84.7578
20240419,-1,-1,84.8298
20240422,-1,-1,84.9406
20240423,-1,-1,85.156
20240424,-1,-1,85.2688
20240425,-1,-1,85.5064
20240426,-1,-1,85.8954
20240429,-1,-1,86.1934
20240430,-1,-1,86.2968
20240501,-1,-1,86.4014
20240502,-1,-1,86.5586
20240503,-1,-1,86.7522
20240506,-1,-1,87.0116
20240507,-1,-1,87.2734
20240508,-1,-1,87.4792
20240509,-1,-1,87.6102
20240510,-1,-1,87.7516
20240513,-1,-1,87.8386
20240514,-1,-1,87.9494
20240515,-1,-1,88.0742
20240516,-1,-1,88.0708
20240517,-1,-1,88.2084
20240520,-1,-1,88.4072
20240521,-1,-1,88.5744
20240522,-1,-1,88.726
20240523,-1,-1,88.9862
20240524,-1,-1,89.3782
20240528,-1,-1,89.9144
20240529,-1,-1,90.4486
20240530,-1,-1,90.855
20240531,-1,-1,91.2348
20240603,-1,-1,91.713
20240604,-1,-1,92.1592
20240605,-1,-1,92.7236
20240606,-1,-1,93.2778
20240607,-1,-1,93.8956
20240610,-1,-1,94.525
20240611,-1,-1,95.143
20240612,-1,-1,95.888
20240613,-1,-1,96.694
20240614,-1,-1,97.5948
20240617,-1,-1,98.4532
20240618,-1,-1,99.4408
20240620,-1,-1,100.3502
20240621,-1,-1,101.1512
20240624,-1,-1,101.6674
20240625,-1,-1,102.4616
20240626,-1,-1,103.2266
20240627,-1,-1,103.9566
20240628,-1,-1,104.738
20240701,-1,-1,105.5316
20240702,-1,-1,106.4542
20240703,-1,-1,107.417
20240705,-1,-1,108.2476
20240708,-1,-1,109.254
20240709,-1,-1,110.2062
20240710,-1,-1,111.1596
20240711,-1,-1,111.9246
20240712,-1,-1,112.821
20240715,-1,-1,113.7158
20240716,-1,-1,114.5028
20240717,-1,-1,115.1136
20240718,-1,-1,115.7224
20240719,-1,-1,116.274
20240722,-1,-1,116.9434
20240723,-1,89.9703,117.5782
20240724,-1,90.42,118.0928
20240725,-1,90.8508,118.5324
20240726,-1,91.2839,118.9674
20240729,-1,91.6945,119.2794
20240730,-1,92.0933,119.5778
20240731,-1,92.5516,120.1526
20240801,-1,92.9174,120.4138
20240802,-1,93.2654,120.6416
20240805,-1,93.5912,120.699
20240806,-1,93.9037,120.6598
20240807,-1,94.1899,120.4748
20240808,-1,94.5208,120.2988
20240809,-1,94.8463,120.1222
20240812,-1,95.1899,120.1132
20240813,-1,95.5722,120.2448
20240814,-1,95.9575,120.2824
20240815,-1,96.379,120.4148
20240816,-1,96.8059,120.4274
20240819,-1,97.2573,120.6024
20240820,-1,97.6924,120.7046
20240821,-1,98.1423,120.8426
20240822,-1,98.5657,120.9122
20240823,-1,99.0073,120.9714
20240826,-1,99.4413,120.9072
20240827,-1,99.8817,120.8364
20240828,-1,100.2345,120.556
20240829,-1,100.5818,120.1978
20240830,-1,100.9353,119.9784
20240903,-1,101.1721,119.5462
20240904,-1,101.4337,119.3492
20240905,-1,101.6731,118.9314
20240906,-1,101.8914,118.5022
