datetime,ma200,ma150,ma50
202606220800,-1,-1,-1
202606220801,-1,-1,-1
202606220802,-1,-1,-1
202606220803,-1,-1,-1
202606220804,-1,-1,-1
202606220805,-1,-1,-1
202606220806,-1,-1,-1
202606220807,-1,-1,-1
202606220808,-1,-1,-1
202606220809,-1,-1,-1
202606220810,-1,-1,-1
202606220811,-1,-1,-1
202606220812,-1,-1,-1
202606220813,-1,-1,-1
202606220814,-1,-1,-1
202606220815,-1,-1,-1
202606220816,-1,-1,-1
202606220817,-1,-1,-1
202606220818,-1,-1,-1
202606220819,-1,-1,-1
202606220820,-1,-1,-1
202606220821,-1,-1,-1
202606220822,-1,-1,-1
202606220823,-1,-1,-1
202606220824,-1,-1,-1
202606220825,-1,-1,-1
202606220826,-1,-1,-1
202606220827,-1,-1,-1
202606220828,-1,-1,-1
202606220829,-1,-1,-1
202606220830,-1,-1,-1
202606220831,-1,-1,-1
202606220832,-1,-1,-1
202606220833,-1,-1,-1
202606220834,-1,-1,-1
202606220835,-1,-1,-1
202606220836,-1,-1,-1
202606220837,-1,-1,-1
202606220838,-1,-1,-1
202606220839,-1,-1,-1
202606220840,-1,-1,-1
202606220841,-1,-1,-1
202606220842,-1,-1,-1
202606220843,-1,-1,-1
202606220844,-1,-1,-1
202606220845,-1,-1,-1
202606220846,-1,-1,-1
202606220847,-1,-1,-1
202606220848,-1,-1,-1
202606220849,-1,-1,209.4682
202606220850,-1,-1,209.4586
202606220851,-1,-1,209.4572
202606220852,-1,-1,209.4604
202606220853,-1,-1,209.4618
202606220854,-1,-1,209.4878
202606220855,-1,-1,209.4944
202606220856,-1,-1,209.4874
202606220857,-1,-1,209.4864
202606220858,-1,-1,209.492
202606220859,-1,-1,209.4992
202606220900,-1,-1,209.5042
202606220901,-1,-1,209.5128
202606220902,-1,-1,209.5182
202606220903,-1,-1,209.516
202606220904,-1,-1,209.5164
202606220905,-1,-1,209.5146
202606220906,-1,-1,209.5152
202606220907,-1,-1,209.5158
202606220908,-1,-1,209.518
202606220909,-1,-1,209.5236
202606220910,-1,-1,209.527
202606220911,-1,-1,209.5304
202606220912,-1,-1,209.5334
202606220913,-1,-1,209.5366
202606220914,-1,-1,209.536
202606220915,-1,-1,209.539
202606220916,-1,-1,209.5392
202606220917,-1,-1,209.54
202606220918,-1,-1,209.5462
202606220919,-1,-1,209.5492
202606220920,-1,-1,209.5534
202606220921,-1,-1,209.5578
202606220922,-1,-1,209.5594
202606220923,-1,-1,209.5618
202606220924,-1,-1,209.5616
202606220925,-1,-1,209.5594
202606220926,-1,-1,209.557
202606220927,-1,-1,209.5506
202606220928,-1,-1,209.5426
202606220929,-1,-1,209.5376
202606220930,-1,-1,209.5314
202606220931,-1,-1,209.5222
202606220932,-1,-1,209.5134
202606220933,-1,-1,209.5046
202606220934,-1,-1,209.4946
202606220935,-1,-1,209.4854
202606220936,-1,-1,209.4788
202606220937,-1,-1,209.4732
202606220938,-1,-1,209.4664
202606220939,-1,-1,209.4592
202606220940,-1,-1,209.4554
202606220941,-1,-1,209.4494
202606220942,-1,-1,209.4412
202606220943,-1,-1,209.4342
202606220944,-1,-1,209.4256
202606220945,-1,-1,209.4228
202606220946,-1,-1,209.4166
202606220947,-1,-1,209.4098
202606220948,-1,-1,209.4028
202606220949,-1,-1,209.3976
202606220950,-1,-1,209.3962
202606220951,-1,-1,209.3938
202606220952,-1,-1,209.3904
202606220953,-1,-1,209.3872
202606220954,-1,-1,209.3836
202606220955,-1,-1,209.3782
202606220956,-1,-1,209.3698
202606220957,-1,-1,209.363
202606220958,-1,-1,209.3564
202606220959,-1,-1,209.3488
202606221000,-1,-1,209.3452
202606221001,-1,-1,209.3392
202606221002,-1,-1,209.3366
202606221003,-1,-1,209.336
202606221004,-1,-1,209.3356
202606221005,-1,-1,209.3356
202606221006,-1,-1,209.3386
202606221007,-1,-1,209.3418
202606221008,-1,-1,209.3446
202606221009,-1,-1,209.3478
202606221010,-1,-1,209.3522
202606221011,-1,-1,209.3558
202606221012,-1,-1,209.357
202606221013,-1,-1,209.3602
202606221014,-1,-1,209.3638
202606221015,-1,-1,209.3636
202606221016,-1,-1,209.3688
202606221017,-1,-1,209.377
202606221018,-1,-1,209.3846
202606221019,-1,-1,209.3912
202606221020,-1,-1,209.4026
202606221021,-1,-1,209.4084
202606221022,-1,-1,209.4188
202606221023,-1,-1,209.428
202606221024,-1,-1,209.439
202606221025,-1,-1,209.449
202606221026,-1,-1,209.456
202606221027,-1,-1,209.4634
202606221028,-1,-1,209.4704
202606221029,-1,209.4685,209.478
202606221030,-1,209.4646,209.4798
202606221031,-1,209.4644,209.4866
202606221032,-1,209.4655,209.495
202606221033,-1,209.4659,209.5016
202606221034,-1,209.4738,209.508
202606221035,-1,209.4751,209.508
202606221036,-1,209.4719,209.5116
