datetime,ma200,ma150,ma50
202606220800,-1,-1,-1
202606220801,-1,-1,-1
202606220802,-1,-1,-1
202606220803,-1,-1,-1
202606220804,-1,-1,-1
202606220805,-1,-1,-1
202606220806,-1,-1,-1
202606220807,-1,-1,-1
202606220808,-1,-1,-1
202606220809,-1,-1,-1
202606220810,-1,-1,-1
202606220811,-1,-1,-1
202606220812,-1,-1,-1
202606220813,-1,-1,-1
202606220814,-1,-1,-1
202606220815,-1,-1,-1
202606220816,-1,-1,-1
202606220817,-1,-1,-1
202606220818,-1,-1,-1
202606220819,-1,-1,-1
202606220820,-1,-1,-1
202606220821,-1,-1,-1
202606220822,-1,-1,-1
202606220823,-1,-1,-1
202606220824,-1,-1,-1
202606220825,-1,-1,-1
202606220826,-1,-1,-1
202606220827,-1,-1,-1
202606220828,-1,-1,-1
202606220829,-1,-1,-1
202606220830,-1,-1,-1
202606220831,-1,-1,-1
202606220832,-1,-1,-1
202606220833,-1,-1,-1
202606220834,-1,-1,-1
202606220835,-1,-1,-1
202606220836,-1,-1,-1
202606220837,-1,-1,-1
202606220838,-1,-1,-1
202606220839,-1,-1,-1
202606220840,-1,-1,-1
202606220841,-1,-1,-1
202606220842,-1,-1,-1
202606220843,-1,-1,-1
202606220844,-1,-1,-1
202606220845,-1,-1,-1
202606220846,-1,-1,-1
202606220847,-1,-1,-1
202606220848,-1,-1,-1
202606220849,-1,-1,394.2516
202606220850,-1,-1,394.231
202606220851,-1,-1,394.2096
202606220852,-1,-1,394.1844
202606220853,-1,-1,394.1686
202606220854,-1,-1,394.226
202606220855,-1,-1,394.2318
202606220856,-1,-1,394.2086
202606220857,-1,-1,394.21
202606220858,-1,-1,394.2038
202606220859,-1,-1,394.2096
202606220900,-1,-1,394.21
202606220901,-1,-1,394.215
202606220902,-1,-1,394.2206
202606220903,-1,-1,394.215
202606220904,-1,-1,394.2164
202606220905,-1,-1,394.2264
202606220906,-1,-1,394.2536
202606220907,-1,-1,394.2808
202606220908,-1,-1,394.308
202606220909,-1,-1,394.3352
202606220910,-1,-1,394.356
202606220911,-1,-1,394.3692
202606220912,-1,-1,394.3918
202606220913,-1,-1,394.4212
202606220914,-1,-1,394.4454
202606220915,-1,-1,394.4658
202606220916,-1,-1,394.4842
202606220917,-1,-1,394.5006
202606220918,-1,-1,394.5246
202606220919,-1,-1,394.5496
202606220920,-1,-1,394.5784
202606220921,-1,-1,394.6072
202606220922,-1,-1,394.6254
202606220923,-1,-1,394.6478
202606220924,-1,-1,394.6646
202606220925,-1,-1,394.6838
202606220926,-1,-1,394.695
202606220927,-1,-1,394.7144
202606220928,-1,-1,394.734
202606220929,-1,-1,394.75
202606220930,-1,-1,394.768
202606220931,-1,-1,394.783
202606220932,-1,-1,394.798
202606220933,-1,-1,394.8098
202606220934,-1,-1,394.8218
202606220935,-1,-1,394.8392
202606220936,-1,-1,394.855
202606220937,-1,-1,394.8754
202606220938,-1,-1,394.8958
202606220939,-1,-1,394.9128
202606220940,-1,-1,394.9286
202606220941,-1,-1,394.9394
202606220942,-1,-1,394.95
202606220943,-1,-1,394.9594
202606220944,-1,-1,394.9734
202606220945,-1,-1,394.9848
202606220946,-1,-1,394.9994
202606220947,-1,-1,395.0086
202606220948,-1,-1,395.0128
202606220949,-1,-1,395.0136
202606220950,-1,-1,395.0212
202606220951,-1,-1,395.0288
202606220952,-1,-1,395.0364
202606220953,-1,-1,395.0364
202606220954,-1,-1,395.029
202606220955,-1,-1,395.0178
202606220956,-1,-1,395.005
202606220957,-1,-1,394.9898
202606220958,-1,-1,394.975
202606220959,-1,-1,394.959
202606221000,-1,-1,394.9492
202606221001,-1,-1,394.9362
202606221002,-1,-1,394.9228
202606221003,-1,-1,394.9138
202606221004,-1,-1,394.9038
202606221005,-1,-1,394.8958
202606221006,-1,-1,394.8932
202606221007,-1,-1,394.891
202606221008,-1,-1,394.89
202606221009,-1,-1,394.89
202606221010,-1,-1,394.8882
202606221011,-1,-1,394.8854
202606221012,-1,-1,394.8826
202606221013,-1,-1,394.876
202606221014,-1,-1,394.8732
202606221015,-1,-1,394.864
202606221016,-1,-1,394.8588
202606221017,-1,-1,394.8546
202606221018,-1,-1,394.8502
202606221019,-1,-1,394.8356
202606221020,-1,-1,394.8236
202606221021,-1,-1,394.8068
202606221022,-1,-1,394.789
202606221023,-1,-1,394.7706
202606221024,-1,-1,394.7502
202606221025,-1,-1,394.7298
202606221026,-1,-1,394.712
202606221027,-1,-1,394.6942
202606221028,-1,-1,394.6764
202606221029,-1,394.609,394.6626
202606221030,-1,394.5982,394.635
202606221031,-1,394.5883,394.6158
202606221032,-1,394.5753,394.5916
202606221033,-1,394.5666,394.5718
202606221034,-1,394.5823,394.5476
202606221035,-1,394.5798,394.5228
202606221036,-1,394.5697,394.501
202606221037,-1,394.5673,394.4834
