datetime,open,close,high,low,volume
202606220800,395.15,395.24,396.2,390.84,1039
202606220801,395.11,395.28,396.0,391.0,293
202606220802,395.5,395.48,395.6,395.38,36
202606220803,395.2,395.08,395.2,395.03,27
202606220804,395.0,391.42,395.02,391.0,466
202606220805,391.62,394.13,394.71,390.84,1178
202606220806,394.5,395.46,396.02,391.01,1311
202606220807,395.48,394.23,396.0,392.71,259
202606220808,394.82,394.8,396.0,394.26,122
202606220809,394.78,394.26,394.78,394.26,52
202606220810,394.57,394.3,394.57,394.3,2
202606220811,394.33,394.07,394.33,394.07,10
202606220812,394.23,394.04,394.5,394.0,33
202606220813,394.62,394.98,394.98,394.55,37
202606220814,394.92,395.0,395.0,394.88,15
202606220815,395.0,394.75,395.0,394.75,2
202606220816,394.95,393.98,395.0,393.98,176
202606220817,394.1,394.1,394.1,394.1,3
202606220818,394.0,394.1,394.1,394.0,7
202606220819,394.1,394.1,394.1,394.1,0
202606220820,394.1,394.1,394.1,394.1,0
202606220821,394.1,394.47,394.55,394.1,34
202606220822,393.86,394.02,394.32,393.86,41
202606220823,393.86,393.6,393.86,393.5,51
202606220824,393.6,393.86,393.86,393.58,19
202606220825,393.82,394.1,394.1,393.81,13
202606220826,394.1,394.1,394.1,394.1,4
202606220827,394.27,394.27,394.55,394.2,10
202606220828,394.27,393.8,394.4,393.8,48
202606220829,393.8,393.8,393.8,393.8,0
202606220830,393.83,393.7,393.83,393.6,7
202606220831,393.72,393.7,393.99,393.59,63
202606220832,394.0,394.23,394.23,393.99,4
202606220833,394.0,394.04,394.05,394.0,6
202606220834,393.61,394.19,394.19,393.61,8
202606220835,394.19,394.2,394.32,394.19,33
202606220836,394.32,394.55,394.55,394.2,64
202606220837,394.6,394.03,394.6,394.03,3
202606220838,394.03,394.03,394.03,394.03,0
202606220839,394.2,394.2,394.2,394.2,1
202606220840,394.2,394.2,394.2,394.2,0
202606220841,394.27,394.29,394.4,394.27,9
202606220842,394.29,394.29,394.29,394.29,0
202606220843,394.42,394.49,394.49,394.42,2
202606220844,394.38,394.6,394.6,394.38,23
202606220845,394.33,394.33,394.33,394.33,1
202606220846,394.32,394.3,394.32,394.3,3
202606220847,394.29,394.07,394.29,394.07,5
202606220848,394.07,394.07,394.07,394.07,0
202606220849,394.15,394.15,394.15,394.15,3
202606220850,394.2,394.21,394.21,394.2,3
202606220851,394.21,394.21,394.21,394.21,0
202606220852,394.27,394.22,394.27,394.22,9
202606220853,394.27,394.29,394.29,394.26,5
202606220854,394.29,394.29,394.29,394.29,0
202606220855,394.42,394.42,394.42,394.42,2
202606220856,394.3,394.3,394.5,394.3,4
202606220857,394.3,394.3,394.3,394.3,0
202606220858,394.49,394.49,394.49,394.49,3
202606220859,394.42,394.55,394.56,394.42,4
202606220900,394.32,394.32,394.32,394.32,6
202606220901,394.32,394.32,394.32,394.32,1
202606220902,394.32,394.32,394.32,394.32,0
202606220903,394.54,394.7,394.7,394.54,16
202606220904,394.85,395.07,395.07,394.83,21
202606220905,395.25,395.25,395.25,395.16,24
202606220906,395.28,395.34,395.49,395.28,4
