entry_date,entry_price,exit_date,exit_price,pnl_pct,bars_held,exit_reason
2023-01-03T21:01:00,85.7,2023-01-03T21:27:00,85.99,0.338,26,take_profit
2023-01-04T10:39:00,86.72,2023-01-04T10:42:00,86.61,-0.127,3,stop_loss
2023-01-04T10:43:00,86.53,2023-01-04T10:54:00,86.78,0.289,11,take_profit
2023-01-04T12:01:00,86.7,2023-01-04T12:03:00,86.6,-0.115,2,stop_loss
2023-01-04T12:04:00,86.62,2023-01-04T12:08:00,86.55,-0.081,4,stop_loss
2023-01-04T12:09:00,86.57,2023-01-04T12:47:00,86.4,-0.196,38,stop_loss
2023-01-05T12:00:00,87.11,2023-01-05T12:06:00,86.88,-0.264,6,stop_loss
2023-01-05T12:07:00,86.9,2023-01-05T12:09:00,86.73,-0.196,2,stop_loss
2023-01-05T12:10:00,86.8,2023-01-05T12:30:00,86.67,-0.15,20,stop_loss
2023-01-06T21:03:00,85.91,2023-01-06T22:51:00,86.05,0.163,108,take_profit
2023-01-09T12:00:00,86.45,2023-01-09T12:09:00,86.75,0.347,9,take_profit
2023-01-09T13:04:00,86.64,2023-01-09T13:26:00,86.92,0.323,22,take_profit
2023-01-09T17:15:00,88.89,2023-01-09T17:40:00,88.62,-0.304,25,stop_loss
2023-01-09T17:41:00,88.58,2023-01-09T18:16:00,89.16,0.655,35,take_profit
2023-01-09T18:45:00,88.42,2023-01-09T19:39:00,88.2,-0.249,54,stop_loss
2023-01-10T17:00:00,88.96,2023-01-10T17:37:00,89.61,0.731,37,take_profit
2023-01-10T18:55:00,89.6,2023-01-10T19:20:00,90.05,0.502,25,take_profit
2023-01-10T19:45:00,89.59,2023-01-10T20:06:00,89.27,-0.357,21,stop_loss
2023-01-10T20:07:00,89.32,2023-01-10T20:50:00,89.48,0.179,43,take_profit
2023-01-10T22:05:00,89.8,2023-01-10T23:35:00,89.9,0.111,90,take_profit
2023-01-11T10:57:00,90.26,2023-01-11T11:22:00,90.22,-0.044,25,stop_loss
2023-01-11T11:23:00,90.22,2023-01-11T11:31:00,90.38,0.177,8,take_profit
2023-01-11T18:55:00,93.81,2023-01-11T19:10:00,94.12,0.33,15,take_profit
2023-01-11T23:01:00,95.2,2023-01-12T09:00:00,95.09,-0.116,59,stop_loss
2023-01-12T09:01:00,95.03,2023-01-12T09:44:00,95.2,0.179,43,take_profit
2023-01-13T11:03:00,95.23,2023-01-13T11:06:00,95.19,-0.042,3,stop_loss
2023-01-13T16:14:00,96.08,2023-01-13T16:18:00,95.66,-0.437,4,stop_loss
2023-01-13T16:19:00,95.82,2023-01-13T16:44:00,96.59,0.804,25,take_profit
2023-01-13T20:07:00,97.81,2023-01-13T20:28:00,98.17,0.368,21,take_profit
2023-01-17T09:01:00,97.95,2023-01-17T09:22:00,97.79,-0.163,21,stop_loss
2023-01-17T14:30:00,98.37,2023-01-17T14:34:00,98.11,-0.264,4,stop_loss
2023-01-18T10:32:00,96.1,2023-01-18T10:42:00,96.27,0.177,10,take_profit
2023-01-18T12:00:00,96.35,2023-01-18T12:12:00,96.54,0.197,12,take_profit
2023-01-18T15:53:00,97.13,2023-01-18T16:24:00,96.64,-0.504,31,stop_loss
2023-01-19T22:42:00,93.76,2023-01-20T09:00:00,94.39,0.672,78,take_profit
2023-01-20T10:39:00,94.0,2023-01-20T11:09:00,93.96,-0.043,30,stop_loss
2023-01-20T17:32:00,95.42,2023-01-20T18:36:00,95.79,0.388,64,take_profit
2023-01-23T09:10:00,97.09,2023-01-23T09:49:00,97.28,0.196,39,take_profit
2023-01-23T13:48:00,97.81,2023-01-23T13:55:00,97.65,-0.164,7,stop_loss
2023-01-23T13:56:00,97.7,2023-01-23T14:30:00,96.7,-1.024,34,stop_loss
2023-01-23T22:31:00,97.35,2023-01-24T09:05:00,97.5,0.154,94,take_profit
2023-01-24T17:45:00,97.07,2023-01-24T19:14:00,96.83,-0.247,89,stop_loss
2023-01-24T22:33:00,99.16,2023-01-24T22:52:00,98.71,-0.454,19,stop_loss
2023-01-24T22:53:00,98.86,2023-01-24T23:06:00,98.17,-0.698,13,stop_loss
2023-01-24T23:08:00,97.85,2023-01-24T23:10:00,97.15,-0.715,2,stop_loss
2023-01-26T11:38:00,97.47,2023-01-26T11:39:00,97.4,-0.072,1,stop_loss
2023-01-26T11:40:00,97.39,2023-01-26T12:02:00,97.58,0.195,22,take_profit
2023-01-26T13:30:00,97.5,2023-01-26T14:30:00,99.06,1.6,60,take_profit
2023-01-26T22:20:00,98.75,2023-01-26T22:28:00,98.68,-0.071,8,stop_loss
2023-01-26T22:29:00,98.66,2023-01-26T23:42:00,98.55,-0.111,73,stop_loss
2023-01-26T23:44:00,98.56,2023-01-26T23:51:00,98.42,-0.142,7,stop_loss
2023-01-27T13:09:00,98.9,2023-01-27T13:29:00,99.2,0.303,20,take_profit
2023-01-27T18:11:00,101.8,2023-01-27T18:20:00,101.56,-0.236,9,stop_loss
2023-01-27T18:21:00,101.62,2023-01-27T18:36:00,102.04,0.413,15,take_profit
2023-01-27T20:51:00,102.34,2023-01-27T20:53:00,102.08,-0.254,2,stop_loss
2023-01-27T20:54:00,102.26,2023-01-27T22:28:00,102.24,-0.02,94,take_profit
2023-01-31T16:34:00,102.68,2023-01-31T17:01:00,102.4,-0.273,27,stop_loss
2023-01-31T17:02:00,102.31,2023-01-31T17:26:00,102.02,-0.283,24,stop_loss
2023-02-01T10:00:00,102.71,2023-02-01T10:17:00,102.53,-0.175,17,stop_loss
2023-02-01T13:41:00,102.98,2023-02-01T13:50:00,102.8,-0.175,9,stop_loss
2023-02-02T10:24:00,109.53,2023-02-02T10:47:00,109.38,-0.137,23,stop_loss
2023-02-02T10:49:00,109.32,2023-02-02T10:54:00,109.21,-0.101,5,stop_loss
2023-02-02T11:54:00,109.12,2023-02-02T12:02:00,109.5,0.348,8,take_profit
2023-02-02T13:15:00,109.21,2023-02-02T13:32:00,109.5,0.266,17,take_profit
2023-02-02T19:18:00,112.3,2023-02-02T19:36:00,111.95,-0.312,18,stop_loss
2023-02-07T10:11:00,102.29,2023-02-07T10:30:00,102.46,0.166,19,take_profit
2023-02-07T10:59:00,102.23,2023-02-07T12:01:00,102.39,0.157,62,take_profit
2023-02-08T09:21:00,101.52,2023-02-08T09:22:00,101.4,-0.118,1,stop_loss
