entry_date,entry_price,exit_date,exit_price,pnl_pct,bars_held,exit_reason
2022-01-03T19:13:00,145.3,2022-01-03T19:16:00,145.2175,-0.057,3,stop_loss
2022-01-03T19:17:00,145.209,2022-01-03T19:20:00,145.1,-0.075,3,stop_loss
2022-01-03T19:21:00,145.0925,2022-01-03T19:22:00,145.001,-0.063,1,stop_loss
2022-01-04T13:00:00,145.3505,2022-01-04T14:31:00,145.3225,-0.019,91,stop_loss
2022-01-06T16:25:00,138.8675,2022-01-06T17:44:00,139.1755,0.222,79,take_profit
2022-01-10T23:09:00,138.65,2022-01-10T23:10:00,138.65,0.0,1,take_profit
2022-01-10T23:11:00,138.65,2022-01-10T23:12:00,138.65,0.0,1,take_profit
2022-01-10T23:13:00,138.65,2022-01-10T23:14:00,138.65,0.0,1,take_profit
2022-01-10T23:15:00,138.65,2022-01-10T23:16:00,138.65,0.0,1,take_profit
2022-01-10T23:17:00,138.65,2022-01-10T23:18:00,138.65,0.0,1,take_profit
2022-01-10T23:19:00,138.65,2022-01-10T23:20:00,138.65,0.0,1,take_profit
2022-01-10T23:21:00,138.65,2022-01-10T23:22:00,138.65,0.0,1,take_profit
2022-01-10T23:23:00,138.65,2022-01-10T23:24:00,138.65,0.0,1,take_profit
2022-01-10T23:25:00,138.65,2022-01-10T23:26:00,138.65,0.0,1,take_profit
2022-01-10T23:27:00,138.65,2022-01-10T23:28:00,138.65,0.0,1,take_profit
2022-01-10T23:29:00,138.65,2022-01-10T23:30:00,138.65,0.0,1,take_profit
2022-01-10T23:31:00,138.65,2022-01-10T23:32:00,138.65,0.0,1,take_profit
2022-01-10T23:33:00,138.65,2022-01-10T23:34:00,138.65,0.0,1,take_profit
2022-01-10T23:35:00,138.65,2022-01-10T23:36:00,138.65,0.0,1,take_profit
2022-01-10T23:37:00,138.65,2022-01-10T23:38:00,138.65,0.0,1,take_profit
2022-01-10T23:39:00,138.65,2022-01-10T23:40:00,138.65,0.0,1,take_profit
2022-01-10T23:41:00,138.65,2022-01-10T23:42:00,138.65,0.0,1,take_profit
2022-01-10T23:43:00,138.65,2022-01-10T23:44:00,138.65,0.0,1,take_profit
2022-01-10T23:45:00,138.65,2022-01-10T23:46:00,138.65,0.0,1,take_profit
2022-01-10T23:47:00,138.65,2022-01-10T23:48:00,138.65,0.0,1,take_profit
2022-01-10T23:49:00,138.65,2022-01-10T23:50:00,138.65,0.0,1,take_profit
2022-01-10T23:51:00,138.65,2022-01-10T23:52:00,138.65,0.0,1,take_profit
2022-01-10T23:53:00,138.65,2022-01-10T23:54:00,138.65,0.0,1,take_profit
2022-01-10T23:55:00,138.65,2022-01-10T23:56:00,138.65,0.0,1,take_profit
2022-01-10T23:57:00,138.65,2022-01-10T23:58:00,138.65,0.0,1,take_profit
2022-01-10T23:59:00,138.65,2022-01-11T09:11:00,139.25,0.433,1,take_profit
2022-01-11T18:36:00,139.2975,2022-01-11T19:56:00,139.767,0.337,80,take_profit
2022-01-11T20:04:00,139.25,2022-01-11T20:59:00,139.7985,0.394,55,take_profit
2022-01-11T23:38:00,139.736,2022-01-12T11:19:00,140.3,0.404,22,take_profit
2022-01-12T13:00:00,140.0,2022-01-12T13:26:00,140.2995,0.214,26,take_profit
2022-01-12T18:13:00,141.4665,2022-01-12T19:21:00,141.7,0.165,68,take_profit
2022-01-14T16:09:00,138.868,2022-01-14T16:36:00,139.8485,0.706,27,take_profit
2022-01-14T17:49:00,139.3385,2022-01-14T18:19:00,139.1475,-0.137,30,stop_loss
2022-01-14T18:20:00,138.999,2022-01-14T18:22:00,138.7355,-0.19,2,stop_loss
2022-01-19T14:24:00,136.8,2022-01-19T14:25:00,136.613,-0.137,1,stop_loss
2022-01-19T14:26:00,136.613,2022-01-19T14:27:00,136.512,-0.074,1,stop_loss
2022-01-19T14:28:00,136.512,2022-01-19T14:34:00,136.35,-0.119,6,stop_loss
2022-01-19T19:05:00,137.0935,2022-01-19T19:21:00,136.778,-0.23,16,stop_loss
2022-01-20T13:59:00,136.0795,2022-01-20T14:30:00,136.418,0.249,31,take_profit
2022-01-20T16:42:00,136.832,2022-01-20T16:46:00,136.584,-0.181,4,stop_loss
2022-01-20T16:47:00,136.687,2022-01-20T17:33:00,137.1225,0.319,46,take_profit
2022-01-20T18:05:00,136.4725,2022-01-20T19:04:00,136.9165,0.325,59,take_profit
2022-01-21T16:47:00,133.215,2022-01-21T17:23:00,132.7515,-0.348,36,stop_loss
2022-01-24T23:24:00,130.804,2022-01-24T23:29:00,130.6655,-0.106,5,stop_loss
2022-01-24T23:30:00,130.6655,2022-01-25T09:16:00,128.425,-1.715,30,stop_loss
2022-01-25T20:26:00,128.1055,2022-01-25T20:35:00,127.672,-0.338,9,stop_loss
2022-01-26T12:06:00,129.892,2022-01-26T12:45:00,129.7,-0.148,39,stop_loss
2022-01-26T12:46:00,129.7,2022-01-26T13:17:00,129.8435,0.111,31,take_profit
2022-01-26T14:35:00,129.333,2022-01-26T14:40:00,128.976,-0.276,5,stop_loss
2022-01-26T19:14:00,130.915,2022-01-26T19:45:00,129.917,-0.762,31,stop_loss
2022-01-27T15:39:00,130.9895,2022-01-27T17:35:00,130.305,-0.523,116,stop_loss
2022-01-28T17:50:00,131.187,2022-01-28T18:31:00,131.9965,0.617,41,take_profit
2022-01-28T19:14:00,131.0875,2022-01-28T19:24:00,130.659,-0.327,10,stop_loss
2022-01-31T11:03:00,134.3,2022-01-31T12:02:00,134.3,0.0,59,take_profit
2022-01-31T12:03:00,134.3,2022-01-31T12:04:00,134.3,0.0,1,take_profit
2022-01-31T12:05:00,134.3,2022-01-31T12:06:00,134.3,0.0,1,take_profit
