date,action,ticker,price,qty,pnl_gbp,reason,held_days
2026-05-04,BUY,NVDA,198.48,0.006399,0.0,Score 6/7,0
2026-05-04,BUY,ABNB,138.86,0.009146,0.0,Score 6/7,0
2026-05-04,BUY,GS,903.27,0.001406,0.0,Score 6/7,0
2026-05-04,BUY,MS,188.01,0.006755,0.0,Score 6/7,0
2026-05-04,BUY,USB,55.24,0.022991,0.0,Score 6/7,0
2026-05-04,BUY,PNC,218.04,0.005825,0.0,Score 6/7,0
2026-05-04,BUY,TFC,49.48,0.025667,0.0,Score 6/7,0
2026-05-04,BUY,COP,124.91,0.010167,0.0,Score 6/7,0
2026-05-04,BUY,OXY,60.27,0.021072,0.0,Score 6/7,0
2026-05-04,BUY,VLO,251.63,0.005047,0.0,Score 6/7,0
2026-05-06,SELL,COP,118.9,0.010167,-0.0481,STOP LOSS -4.81%,2
2026-05-06,SELL,OXY,55.12,0.021072,-0.0854,STOP LOSS -8.54%,2
2026-05-06,SELL,VLO,236.69,0.005047,-0.0594,STOP LOSS -5.94%,2
2026-05-06,BUY,AVGO,425.44,0.002985,0.0,Score 6/7,0
2026-05-06,BUY,ANET,147.06,0.008636,0.0,Score 6/7,0
2026-05-06,BUY,GM,78.7,0.016137,0.0,Score 6/7,0
2026-05-07,SELL,AVGO,412.56,0.002985,-0.0303,STOP LOSS -3.03%,1
2026-05-07,SELL,ANET,141.75,0.008636,-0.0361,STOP LOSS -3.61%,1
2026-05-07,BUY,AVGO,412.56,0.003078,0.0,Score 6/7,0
2026-05-07,BUY,ROKU,126.67,0.010026,0.0,Score 6/7,0
2026-05-08,SELL,NVDA,215.2,0.006399,0.0842,TAKE PROFIT 8.42%,4
2026-05-08,BUY,NVDA,215.2,0.005901,0.0,Score 6/7,0
2026-05-11,SELL,TFC,47.97,0.025667,-0.0305,STOP LOSS -3.05%,7
2026-05-11,SELL,GM,75.29,0.016137,-0.0433,STOP LOSS -4.33%,5
2026-05-11,BUY,SLB,54.93,0.02312,0.0,Score 6/7,0
2026-05-11,BUY,VLO,248.13,0.005118,0.0,Score 6/7,0
2026-05-13,SELL,ABNB,132.97,0.009146,-0.0424,STOP LOSS -4.24%,9
2026-05-13,SELL,USB,52.74,0.022991,-0.0453,STOP LOSS -4.53%,9
2026-05-13,SELL,PNC,209.86,0.005825,-0.0375,STOP LOSS -3.75%,9
2026-05-13,BUY,PSX,171.82,0.007391,0.0,Score 6/7,0
2026-05-13,BUY,HAL,41.02,0.030961,0.0,Score 6/7,0
2026-05-13,BUY,BKR,65.41,0.019416,0.0,Score 6/7,0
2026-05-14,SELL,NVDA,235.74,0.005901,0.0954,TAKE PROFIT 9.54%,6
2026-05-14,BUY,AMZN,267.22,0.004753,0.0,Score 6/7,0
2026-05-19,SELL,ROKU,120.58,0.010026,-0.0481,STOP LOSS -4.81%,12
2026-05-19,BUY,NVDA,220.61,0.005757,0.0,Score 6/7,0
2026-05-20,SELL,GS,982.12,0.001406,0.0873,TAKE PROFIT 8.73%,16
2026-05-20,BUY,GOOG,384.9,0.0033,0.0,Score 6/7,0
2026-05-27,SELL,VLO,240.34,0.005118,-0.0314,STOP LOSS -3.14%,16
2026-05-27,SELL,HAL,39.6,0.030961,-0.0346,STOP LOSS -3.46%,14
2026-05-27,SELL,BKR,63.2,0.019416,-0.0338,STOP LOSS -3.38%,14
2026-05-27,SELL,NVDA,212.6,0.005757,-0.0363,STOP LOSS -3.63%,8
2026-05-27,BUY,GOOGL,388.83,0.003266,0.0,Score 6/7,0
2026-05-27,BUY,NVDA,212.6,0.005974,0.0,Score 6/7,0
2026-05-27,BUY,ANET,154.31,0.00823,0.0,Score 6/7,0
2026-05-27,BUY,ROKU,131.91,0.009628,0.0,Score 6/7,0
2026-05-28,SELL,MS,203.79,0.006755,0.0839,TAKE PROFIT 8.39%,24
2026-05-28,BUY,GM,84.35,0.015056,0.0,Score 6/7,0
2026-05-29,SELL,AVGO,446.77,0.003078,0.0829,TAKE PROFIT 8.29%,22
