date,action,ticker,price,qty,pnl_gbp,reason,held_days,score
2026-05-05,BUY,AAPL,284.18,0.004469,0.0,Score 7/10,0,7
2026-05-05,BUY,GOOGL,388.43,0.00327,0.0,Score 7/10,0,7
2026-05-05,BUY,ANET,170.22,0.007461,0.0,Score 7/10,0,7
2026-05-05,BUY,GS,918.89,0.001382,0.0,Score 7/10,0,7
2026-05-05,BUY,LLY,988.87,0.001284,0.0,Score 7/10,0,7
2026-05-05,BUY,XOM,154.88,0.0082,0.0,Score 7/10,0,7
2026-05-05,BUY,CVX,192.64,0.006593,0.0,Score 7/10,0,7
2026-05-06,SELL,GOOGL,398.04,0.00327,0.0247,OVERBOUGHT RSI 85.4,1,7
2026-05-06,SELL,ANET,147.06,0.007461,-0.1361,STOP LOSS -13.61%,1,7
2026-05-06,BUY,NVDA,207.83,0.006111,0.0,Score 8/10,0,8
2026-05-06,BUY,GOOGL,398.04,0.003191,0.0,Score 7/10,0,7
2026-05-06,BUY,AMZN,274.99,0.004618,0.0,Score 7/10,0,7
2026-05-06,BUY,JPM,314.9,0.004033,0.0,Score 7/10,0,7
2026-05-06,BUY,BAC,53.6,0.023694,0.0,Score 7/10,0,7
2026-05-07,SELL,GOOGL,397.99,0.003191,-0.0001,OVERBOUGHT RSI 84.3,1,7
2026-05-07,SELL,AMZN,271.17,0.004618,-0.0139,OVERBOUGHT RSI 74.6,1,7
2026-05-07,SELL,JPM,306.27,0.004033,-0.0274,DEATH CROSS,1,7
2026-05-07,SELL,BAC,52.75,0.023694,-0.0159,DEATH CROSS,1,7
2026-05-07,BUY,COST,1012.06,0.001255,0.0,Score 8/10,0,8
2026-05-07,BUY,JPM,306.27,0.004147,0.0,Score 7/10,0,7
2026-05-07,BUY,WMT,130.2,0.009754,0.0,Score 7/10,0,7
2026-05-07,BUY,BA,231.03,0.005497,0.0,Score 7/10,0,7
2026-05-08,SELL,XOM,144.57,0.0082,-0.0666,STOP LOSS -6.66%,3,7
2026-05-08,SELL,JPM,302.1,0.004147,-0.0136,DEATH CROSS,1,7
2026-05-08,SELL,BA,237.36,0.005497,0.0274,DEATH CROSS,1,7
2026-05-08,BUY,BA,237.36,0.005351,0.0,Score 8/10,0,8
2026-05-11,SELL,AAPL,292.68,0.004469,0.0299,OVERBOUGHT RSI 78.0,6,7
2026-05-11,SELL,BA,238.21,0.005351,0.0036,DEATH CROSS,3,8
2026-05-11,BUY,GOOGL,388.64,0.003268,0.0,Score 7/10,0,7
2026-05-12,SELL,GOOGL,387.35,0.003268,-0.0033,OVERBOUGHT RSI 79.3,1,7
2026-05-12,BUY,AMZN,265.82,0.004778,0.0,Score 8/10,0,8
2026-05-12,BUY,BA,236.87,0.005362,0.0,Score 8/10,0,8
2026-05-12,BUY,XOM,150.63,0.008431,0.0,Score 7/10,0,7
2026-05-13,SELL,BA,240.6,0.005362,0.0157,DEATH CROSS,1,8
2026-05-13,BUY,BA,240.6,0.005278,0.0,Score 8/10,0,8
2026-05-13,BUY,AAPL,298.87,0.004249,0.0,Score 7/10,0,7
2026-05-14,SELL,BA,229.21,0.005278,-0.0473,DEATH CROSS,1,8
2026-05-14,SELL,AAPL,298.21,0.004249,-0.0022,OVERBOUGHT RSI 80.5,1,7
2026-05-15,SELL,LLY,1004.92,0.001284,0.0162,OVERBOUGHT RSI 74.0,10,7
2026-05-15,BUY,AAPL,300.23,0.00423,0.0,Score 7/10,0,7
2026-05-18,SELL,NVDA,222.32,0.006111,0.0697,TRAIL STOP -5.69% from peak,12,8
2026-05-18,SELL,COST,1076.47,0.001255,0.0636,OVERBOUGHT RSI 76.7,11,8
2026-05-18,SELL,AAPL,297.84,0.00423,-0.008,OVERBOUGHT RSI 82.0,3,7
2026-05-18,BUY,NVDA,222.32,0.005712,0.0,Score 7/10,0,7
2026-05-18,BUY,GOOGL,396.94,0.003199,0.0,Score 7/10,0,7
2026-05-18,BUY,UNH,391.13,0.003247,0.0,Score 7/10,0,7
2026-05-18,BUY,COST,1076.47,0.00118,0.0,Score 7/10,0,7
2026-05-19,SELL,COST,1094.32,0.00118,0.0166,OVERBOUGHT RSI 78.5,1,7
2026-05-19,BUY,COST,1094.32,0.001161,0.0,Score 7/10,0,7
2026-05-21,SELL,WMT,121.34,0.009754,-0.068,STOP LOSS -6.80%,14,7
2026-05-21,BUY,V,331.12,0.003835,0.0,Score 7/10,0,7
2026-05-21,BUY,AMGN,337.42,0.003764,0.0,Score 7/10,0,7
2026-05-22,SELL,GS,996.73,0.001382,0.0847,OVERBOUGHT RSI 73.7,17,7
2026-05-22,SELL,COST,1028.24,0.001161,-0.0604,STOP LOSS -6.04%,3,7
2026-05-22,SELL,V,328.88,0.003835,-0.0068,DEATH CROSS,1,7
2026-05-22,BUY,JPM,306.38,0.004145,0.0,Score 7/10,0,7
2026-05-22,BUY,GS,996.73,0.001274,0.0,Score 7/10,0,7
2026-05-22,BUY,BAC,51.8,0.024517,0.0,Score 7/10,0,7
2026-05-26,SELL,JPM,306.74,0.004145,0.0012,DEATH CROSS,4,7
2026-05-26,SELL,BAC,52.2,0.024517,0.0077,DEATH CROSS,4,7
2026-05-26,BUY,COST,1002.93,0.001266,0.0,Score 7/10,0,7
