date,open_value,n_positions,cash_deployed
2024-06-17,733.23,10,733.23
2024-06-18,742.78,10,961.7
2024-06-20,741.12,10,1113.48
2024-06-21,751.83,10,1346.89
2024-06-24,722.46,10,1568.63
2024-06-25,730.33,10,1642.91
2024-06-26,725.89,10,1642.91
2024-06-27,736.44,10,1642.91
2024-06-28,737.93,10,1642.91
2024-07-01,743.91,10,1642.91
2024-07-02,751.92,10,1642.91
2024-07-03,762.03,10,1642.91
2024-07-05,745.7,10,1815.23
2024-07-08,760.81,10,1886.33
2024-07-09,765.94,10,1962.53
2024-07-10,773.94,10,2037.53
2024-07-11,738.93,10,2172.72
2024-07-12,760.39,10,2260.04
2024-07-15,766.23,10,2427.3
2024-07-16,759.0,10,2656.37
2024-07-17,778.77,10,3213.57
2024-07-18,795.71,10,3609.88
2024-07-19,789.01,10,3943.95
2024-07-22,797.44,10,4108.14
2024-07-23,765.52,10,4244.62
2024-07-24,773.16,10,4641.3
2024-07-25,802.74,10,5118.5
2024-07-26,812.43,10,5443.48
2024-07-29,780.66,10,5818.15
2024-07-30,777.48,10,6143.05
2024-07-31,784.33,10,6404.33
2024-08-01,797.33,10,6563.64
2024-08-02,845.04,10,7099.77
2024-08-05,811.09,10,7302.5
2024-08-06,818.54,10,7302.5
2024-08-07,803.22,10,7381.46
2024-08-08,822.28,10,7381.46
2024-08-09,829.12,10,7381.46
2024-08-12,822.94,10,7381.46
2024-08-13,802.43,10,7602.17
2024-08-14,802.57,10,7602.17
2024-08-15,811.58,10,7602.17
2024-08-16,808.52,10,7684.13
2024-08-19,813.87,10,7684.13
2024-08-20,811.39,10,7684.13
2024-08-21,857.85,10,7771.35
2024-08-22,848.68,10,7860.35
2024-08-23,825.72,10,8105.59
2024-08-26,795.47,10,8407.94
2024-08-27,801.79,10,8787.16
2024-08-28,785.49,10,9077.62
2024-08-29,790.91,10,9461.74
2024-08-30,801.21,10,9999.71
2024-09-03,813.0,10,10224.47
2024-09-04,812.11,10,10224.47
2024-09-05,795.5,10,10314.95
2024-09-06,788.76,10,10402.28
2024-09-09,810.96,10,10488.59
2024-09-10,778.07,10,10558.11
2024-09-11,790.91,10,10558.11
2024-09-12,779.64,10,10642.41
2024-09-13,790.09,10,10727.51
2024-09-16,802.77,10,10800.13
2024-09-17,809.08,10,10873.03
2024-09-18,811.0,10,11042.78
2024-09-19,830.56,10,11116.44
2024-09-20,827.04,10,11190.84
2024-09-23,795.0,10,11337.5
2024-09-24,796.63,10,11503.85
2024-09-25,792.81,10,11597.75
2024-09-26,784.94,10,12089.45
2024-09-27,779.37,10,12582.83
2024-09-30,784.16,10,13079.38
2024-10-01,764.18,10,13150.16
2024-10-02,765.69,10,13150.16
2024-10-03,765.23,10,13228.64
2024-10-04,776.21,10,13307.38
2024-10-07,765.78,10,13307.38
2024-10-08,774.99,10,13307.38
2024-10-09,787.29,10,13393.64
2024-10-10,785.14,10,13480.68
2024-10-11,793.87,10,13567.7
2024-10-14,791.82,10,13732.18
2024-10-15,788.09,10,13901.32
2024-10-16,791.75,10,13986.92
2024-10-17,789.0,10,14214.58
2024-10-18,780.98,10,14446.6
2024-10-21,777.65,10,14706.11
2024-10-22,779.03,10,14875.34
2024-10-23,769.57,10,14957.17
2024-10-24,775.64,10,15039.1
2024-10-25,803.86,10,15294.21
2024-10-28,780.65,10,15437.88
2024-10-29,786.88,10,15522.75
2024-10-30,780.21,10,15605.55
2024-10-31,764.17,10,15605.55
2024-11-01,733.79,10,15663.94
2024-11-04,751.1,10,15762.18
2024-11-05,767.86,10,15762.18
2024-11-06,804.06,10,15840.2
2024-11-07,792.03,10,16014.88
2024-11-08,802.96,10,16192.53
2024-11-11,810.6,10,16342.81
2024-11-12,809.26,10,16575.46
2024-11-13,807.91,10,16811.03
2024-11-14,770.02,10,17103.92
2024-11-15,730.22,10,17521.38
2024-11-18,778.05,10,17866.0
2024-11-19,789.54,10,18110.86
2024-11-20,790.11,10,18359.6
2024-11-21,803.67,10,18617.11
2024-11-22,776.84,10,18944.1
2024-11-25,774.03,10,19266.85
