date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,222.1252
20240905,-1,-1,222.3866
20240906,-1,-1,222.5334
20240909,-1,-1,222.662
20240910,-1,-1,222.8236
20240911,-1,-1,222.9332
20240912,-1,-1,223.0002
20240913,-1,-1,223.0232
20240916,-1,-1,222.818
20240917,-1,-1,222.5882
20240918,-1,-1,222.4532
20240919,-1,-1,222.3768
20240920,-1,-1,222.371
20240923,-1,-1,222.287
20240924,-1,-1,222.1258
20240925,-1,-1,221.9624
20240926,-1,-1,221.9412
20240927,-1,-1,221.9914
20240930,-1,-1,222.1678
20241001,-1,-1,222.2044
20241002,-1,-1,222.2582
20241003,-1,-1,222.4168
20241004,-1,-1,222.586
20241007,-1,-1,222.664
20241008,-1,-1,222.8246
20241009,-1,-1,223.0506
20241010,-1,-1,223.1618
20241011,-1,-1,223.3178
20241014,-1,-1,223.5588
20241015,-1,-1,224.0038
20241016,-1,-1,224.5308
20241017,-1,-1,225.009
20241018,-1,-1,225.4278
20241021,-1,-1,225.8298
20241022,-1,-1,226.19
20241023,-1,-1,226.3844
20241024,-1,-1,226.5346
20241025,-1,-1,226.644
20241028,-1,-1,226.775
20241029,-1,-1,226.9196
20241030,-1,-1,227.0026
20241031,-1,-1,226.905
20241101,-1,-1,226.8586
20241104,-1,-1,226.746
20241105,-1,-1,226.679
20241106,-1,-1,226.5824
20241107,-1,-1,226.6204
20241108,-1,-1,226.5538
20241111,-1,-1,226.447
20241112,-1,-1,226.5118
20241113,-1,-1,226.6064
20241114,-1,-1,226.7106
20241115,-1,-1,226.813
20241118,-1,-1,226.9566
20241119,-1,-1,227.1318
20241120,-1,-1,227.2538
20241121,-1,-1,227.3698
20241122,-1,-1,227.5242
20241125,-1,-1,227.8204
20241126,-1,-1,228.193
20241127,-1,-1,228.452
20241129,-1,-1,228.6308
20241202,-1,-1,228.8692
20241203,-1,-1,229.2046
20241204,-1,-1,229.5094
20241205,-1,-1,229.845
20241206,-1,-1,230.1296
20241209,-1,-1,230.5244
20241210,-1,-1,230.8154
20241211,-1,-1,231.2292
20241212,-1,-1,231.6328
20241213,-1,-1,232.0714
20241216,-1,-1,232.564
20241217,-1,-1,233.1958
20241218,-1,-1,233.6352
20241219,-1,-1,234.023
20241220,-1,-1,234.5428
20241223,-1,-1,235.0938
20241224,-1,-1,235.6298
20241226,-1,-1,236.129
20241227,-1,-1,236.5972
20241230,-1,-1,236.9914
20241231,-1,-1,237.3018
20250102,-1,-1,237.4502
20250103,-1,-1,237.606
20250106,-1,-1,237.8974
20250107,-1,-1,238.164
20250108,-1,-1,238.3948
20250110,-1,-1,238.4852
20250113,-1,-1,238.5356
20250114,-1,-1,238.5972
20250115,-1,-1,238.935
20250116,-1,-1,239.0494
20250117,-1,-1,239.2088
20250121,-1,-1,239.1868
20250122,-1,-1,239.201
20250123,-1,-1,239.1138
20250124,-1,-1,239.018
20250127,-1,-1,239.1384
20250128,-1,-1,239.4236
20250129,-1,229.4815,239.713
20250130,-1,229.7189,240.0596
