datetime,open,close,high,low,volume
202606230800,295.39,294.4091,299.9772,294.09,0.0
202606230801,295.0647,294.5,299.99,294.221,0.0
202606230802,294.5,294.48,294.64,294.1,0.0
202606230803,294.1033,294.8605,294.8702,294.1033,0.0
202606230804,294.44,294.81,294.86,294.051,0.0
202606230805,294.84,294.8907,295.31,294.491,0.0
202606230806,295.2992,295.6052,295.6052,294.5005,0.0
202606230807,295.0415,295.0417,295.4882,295.0312,0.0
202606230808,295.4785,294.92,295.4785,294.5132,0.0
202606230809,295.1501,295.28,295.29,294.5433,0.0
202606230810,295.29,298.54,299.61,294.513,0.0
202606230811,297.99,295.12,299.73,294.55,0.0
202606230812,298.12,294.7925,299.99,294.5,0.0
202606230813,294.75,294.8,294.8,294.5,0.0
202606230814,294.85,294.9268,295.1865,294.5,0.0
202606230815,295.15,294.6755,295.2161,294.66,0.0
202606230816,294.92,295.23,295.49,294.675,0.0
202606230817,295.13,295.49,295.5,294.66,0.0
202606230818,295.5,295.59,295.6,294.7912,0.0
202606230819,295.61,294.9012,295.61,294.9,0.0
202606230820,295.07,295.5445,295.6088,294.9012,0.0
202606230821,295.5247,295.5247,295.5247,294.9452,0.0
202606230822,295.52,294.9452,295.5247,294.9452,0.0
202606230823,295.12,295.4895,295.5,295.12,0.0
202606230824,295.0905,295.35,295.4895,294.98,0.0
202606230825,295.46,295.2977,295.46,295.0003,0.0
202606230826,295.5,295.08,295.62,295.0,0.0
202606230827,295.0425,294.9437,295.4662,294.93,0.0
202606230828,295.25,295.2061,295.28,294.9387,0.0
202606230829,295.1351,295.03,295.2788,295.03,0.0
202606230830,295.03,295.01,295.05,294.93,0.0
202606230831,294.99,295.3882,295.3988,294.9312,0.0
202606230832,294.9417,294.93,295.4,294.93,0.0
202606230833,295.0414,295.04,295.28,294.9417,0.0
202606230834,295.4,295.3882,295.4,295.0002,0.0
202606230835,294.9417,295.3882,295.4,294.9417,0.0
202606230836,294.94,295.04,295.04,294.94,0.0
202606230837,295.07,295.16,295.4,294.93,0.0
202606230838,295.3897,295.0075,295.3897,294.9392,0.0
202606230839,295.2925,295.01,295.39,295.0072,0.0
202606230840,295.22,295.5,295.6045,295.0,0.0
202606230841,295.0,295.5881,295.6,295.0,0.0
202606230842,295.4159,295.4353,295.614,295.386,0.0
202606230843,295.386,295.6077,295.6197,295.1422,0.0
202606230844,295.1422,295.15,295.6077,295.13,0.0
202606230845,295.5,295.0,295.5,295.0,0.0
202606230846,295.02,295.4188,295.4188,295.0,0.0
202606230847,295.0219,295.4188,295.4188,295.0219,0.0
202606230848,295.02,295.77,295.77,294.86,0.0
202606230849,295.95,295.5125,295.99,295.5125,0.0
202606230850,295.57,295.57,295.57,295.57,0.0
202606230851,295.79,295.96,296.0,295.5714,0.0
202606230852,295.9887,295.58,295.9988,295.55,0.0
202606230853,295.58,295.51,295.9302,295.51,0.0
202606230854,295.9988,295.51,295.9988,295.51,0.0
202606230855,295.58,295.51,295.89,295.51,0.0
202606230856,295.51,295.9644,295.9644,295.5097,0.0
