date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,182.719
20240905,-1,-1,183.135
20240906,-1,-1,183.5604
20240909,-1,-1,184.1028
20240910,-1,-1,184.658
20240911,-1,-1,185.1482
20240912,-1,-1,185.7068
20240913,-1,-1,186.311
20240916,-1,-1,186.8854
20240917,-1,-1,187.4242
20240918,-1,-1,187.917
20240919,-1,-1,188.4204
20240920,-1,-1,188.8862
20240923,-1,-1,189.3568
20240924,-1,-1,189.8664
20240925,-1,-1,190.3134
20240926,-1,-1,190.6414
20240927,-1,-1,191.1374
20240930,-1,-1,191.67
20241001,-1,-1,192.137
20241002,-1,-1,192.6034
20241003,-1,-1,192.9932
20241004,-1,-1,193.2248
20241007,-1,-1,193.3824
20241008,-1,-1,193.6224
20241009,-1,-1,193.7814
20241010,-1,-1,193.9614
20241011,-1,-1,194.0452
20241014,-1,-1,194.1606
20241015,-1,-1,194.2784
20241016,-1,-1,194.3702
20241017,-1,-1,194.3914
20241018,-1,-1,194.3606
20241021,-1,-1,194.286
20241022,-1,-1,194.2554
20241023,-1,-1,194.1916
20241024,-1,-1,194.115
20241025,-1,-1,193.992
20241028,-1,-1,193.9124
20241029,-1,-1,193.776
20241030,-1,-1,193.9046
20241031,-1,-1,194.036
20241101,-1,-1,194.1796
20241104,-1,-1,194.2356
20241105,-1,-1,194.3044
20241106,-1,-1,194.4122
20241107,-1,-1,194.4988
20241108,-1,-1,194.595
20241111,-1,-1,194.1808
20241112,-1,-1,193.6618
20241113,-1,-1,193.1258
20241114,-1,-1,192.6536
20241115,-1,-1,192.0966
20241118,-1,-1,191.4936
20241119,-1,-1,190.8548
20241120,-1,-1,190.3108
20241121,-1,-1,189.8728
20241122,-1,-1,189.5366
20241125,-1,-1,189.162
20241126,-1,-1,188.923
20241127,-1,-1,188.7392
20241129,-1,-1,188.5244
20241202,-1,-1,188.2816
20241203,-1,-1,188.048
20241204,-1,-1,187.7058
20241205,-1,-1,187.411
20241206,-1,-1,187.0974
20241209,-1,-1,186.71
20241210,-1,-1,186.244
20241211,-1,-1,185.7898
20241212,-1,-1,185.3292
20241213,-1,-1,184.8802
20241216,-1,-1,184.427
20241217,-1,-1,184.0694
20241218,-1,-1,183.657
20241219,-1,-1,183.1924
20241220,-1,-1,182.8024
20241223,-1,-1,182.4886
20241224,-1,-1,182.1734
20241226,-1,-1,181.9194
20241227,-1,-1,181.6654
20241230,-1,-1,181.429
20241231,-1,-1,181.2088
20250102,-1,-1,181.0638
20250103,-1,-1,180.9152
20250106,-1,-1,180.7676
20250107,-1,-1,180.5402
20250108,-1,-1,180.3562
20250110,-1,-1,180.0646
20250113,-1,-1,179.8058
20250114,-1,-1,179.2856
20250115,-1,-1,178.6526
20250116,-1,-1,178.0536
20250117,-1,-1,177.4786
20250121,-1,-1,176.9132
20250122,-1,-1,176.271
20250123,-1,-1,175.6708
20250124,-1,-1,175.0712
20250127,-1,-1,175.0954
20250128,-1,-1,175.1722
20250129,-1,183.7047,175.2694
20250130,-1,183.733,175.4104
