datetime,open,close,high,low,volume
20240625,525.2,526.3,529.68,522.24,46815.0
20240626,527.0,528.66,530.66,524.24,40697.0
20240627,528.4,548.25,549.16,528.29,70890.0
20240628,549.63,556.0,558.48,548.01,81641.0
20240701,555.0,559.03,561.21,549.73,49199.0
20240702,557.5,567.05,570.14,557.5,45961.0
20240703,568.5,570.15,571.83,564.0,26412.0
20240705,570.55,577.52,580.55,568.92,41659.0
20240708,579.0,576.35,579.0,563.92,42150.0
20240709,575.4,566.61,575.67,562.46,30931.0
20240710,567.0,564.22,567.0,558.21,35381.0
20240711,562.18,558.9,572.62,557.09,48934.0
20240712,556.24,559.27,562.49,552.31,30199.0
20240715,559.5,565.71,568.23,558.06,28540.0
20240716,567.77,562.0,570.1,562.0,22653.0
20240717,560.83,564.41,569.25,556.46,35210.0
20240718,564.0,557.02,564.36,556.07,34614.0
20240719,558.61,550.75,561.09,548.96,44687.0
20240722,554.01,554.92,560.19,551.56,41791.0
20240723,556.25,545.41,557.25,544.28,41315.0
20240724,543.5,535.79,544.71,530.35,41453.0
20240725,530.88,532.15,542.28,527.59,29635.0
20240726,539.49,542.01,545.5,533.33,30216.0
20240729,544.91,536.7,545.18,535.06,23964.0
20240730,538.33,538.71,543.67,530.95,23875.0
20240731,544.0,551.65,555.55,541.1,45006.0
20240801,552.0,545.0,561.98,540.24,31271.0
20240802,538.77,524.64,545.05,519.68,43241.0
20240805,510.0,514.0,515.9,493.89,57095.0
20240806,511.0,511.94,519.16,509.01,33580.0
20240807,520.22,510.0,531.01,510.0,23791.0
20240808,513.94,532.0,532.0,513.48,33838.0
20240809,529.64,535.62,537.28,528.02,19370.0
20240812,537.17,530.93,538.08,525.77,24220.0
20240813,533.0,535.24,537.72,527.9,56399.0
20240814,531.47,537.59,542.93,531.47,32863.0
20240815,539.49,554.16,557.22,539.49,36416.0
20240816,554.11,553.46,556.0,547.8,24614.0
20240819,552.0,563.12,563.92,550.59,23899.0
20240820,563.0,562.22,568.18,559.61,19507.0
20240821,562.62,566.04,566.97,557.91,20080.0
20240822,566.52,558.6,572.0,555.65,24598.0
20240823,560.43,557.4,566.52,552.5,38522.0
20240826,556.87,559.44,560.51,554.81,25279.0
20240827,560.0,566.03,569.52,553.01,21817.0
20240828,567.45,559.48,569.59,557.67,17151.0
20240829,561.76,572.59,578.4,559.13,30154.0
20240830,576.01,574.9,576.01,568.2,28804.0
20240903,571.26,570.72,586.7,566.79,42446.0
20240904,566.9,575.25,578.86,565.76,25562.0
20240905,575.84,566.47,575.84,562.53,22560.0
