date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,551.3182
20240905,-1,-1,552.1216
20240906,-1,-1,552.7684
20240909,-1,-1,553.2434
20240910,-1,-1,553.5932
20240911,-1,-1,554.0424
20240912,-1,-1,553.3626
20240913,-1,-1,552.6944
20240916,-1,-1,551.5906
20240917,-1,-1,550.3516
20240918,-1,-1,549.2244
20240919,-1,-1,548.44
20240920,-1,-1,547.708
20240923,-1,-1,547.0778
20240924,-1,-1,546.2726
20240925,-1,-1,545.395
20240926,-1,-1,544.4068
20240927,-1,-1,543.576
20240930,-1,-1,542.87
20241001,-1,-1,541.8416
20241002,-1,-1,541.0496
20241003,-1,-1,540.4436
20241004,-1,-1,539.9438
20241007,-1,-1,538.8666
20241008,-1,-1,538.0562
20241009,-1,-1,537.164
20241010,-1,-1,536.2018
20241011,-1,-1,535.2098
20241014,-1,-1,534.9274
20241015,-1,-1,534.832
20241016,-1,-1,534.644
20241017,-1,-1,534.3852
20241018,-1,-1,533.6432
20241021,-1,-1,532.8908
20241022,-1,-1,532.1322
20241023,-1,-1,531.1274
20241024,-1,-1,530.033
20241025,-1,-1,528.6174
20241028,-1,-1,527.1702
20241029,-1,-1,525.6278
20241030,-1,-1,524.0892
20241031,-1,-1,522.3306
20241101,-1,-1,520.8146
20241104,-1,-1,519.2936
20241105,-1,-1,517.8368
20241106,-1,-1,516.6128
20241107,-1,-1,515.4416
20241108,-1,-1,513.8698
20241111,-1,-1,512.4518
20241112,-1,-1,511.568
20241113,-1,-1,510.723
20241114,-1,-1,509.9736
20241115,-1,-1,508.8524
20241118,-1,-1,507.383
20241119,-1,-1,505.9192
20241120,-1,-1,504.2704
20241121,-1,-1,503.698
20241122,-1,-1,503.213
20241125,-1,-1,503.0978
20241126,-1,-1,503.3142
20241127,-1,-1,503.389
20241129,-1,-1,503.208
20241202,-1,-1,503.086
20241203,-1,-1,502.9908
20241204,-1,-1,503.1858
20241205,-1,-1,503.566
20241206,-1,-1,504.336
20241209,-1,-1,504.9742
20241210,-1,-1,505.625
20241211,-1,-1,505.549
20241212,-1,-1,504.9318
20241213,-1,-1,504.104
20241216,-1,-1,503.1608
20241217,-1,-1,502.4822
20241218,-1,-1,501.4046
20241219,-1,-1,500.2526
20241220,-1,-1,499.1668
20241223,-1,-1,498.2032
20241224,-1,-1,496.9228
20241226,-1,-1,495.7052
20241227,-1,-1,494.5694
20241230,-1,-1,493.5458
20241231,-1,-1,492.5168
20250102,-1,-1,491.3834
20250103,-1,-1,490.1386
20250106,-1,-1,489.049
20250107,-1,-1,487.8192
20250108,-1,-1,486.5422
20250110,-1,-1,485.0444
20250113,-1,-1,483.5044
20250114,-1,-1,482.039
20250115,-1,-1,480.8368
20250116,-1,-1,479.6812
20250117,-1,-1,478.674
20250121,-1,-1,477.662
20250122,-1,-1,476.3054
20250123,-1,-1,475.027
20250124,-1,-1,473.848
20250127,-1,-1,472.5382
20250128,-1,-1,470.8478
20250129,-1,510.3563,469.0276
20250130,-1,509.8009,467.3076
