datetime,open,close,high,low,volume
202606230800,194.2,194.88,195.24,194.2,47.0
202606230801,194.9,195.04,195.04,194.04,21.0
202606230802,195.04,195.04,195.04,195.04,0.0
202606230803,194.8,195.1,195.1,194.0,31.0
202606230804,195.1,195.09,195.33,195.09,24.0
202606230805,195.09,195.09,195.09,195.09,0.0
202606230806,195.0,194.6,195.11,194.6,44.0
202606230807,194.6,195.39,195.39,194.3,26.0
202606230808,194.33,194.37,195.01,194.01,52.0
202606230809,194.5,194.75,195.1,194.03,99.0
202606230810,194.7,194.56,195.1,194.16,40.0
202606230811,194.7,194.11,195.1,194.01,43.0
202606230812,194.7,194.67,195.31,194.67,15.0
202606230813,194.67,194.67,194.67,194.67,0.0
202606230814,195.49,195.9,195.9,195.49,3.0
202606230815,195.9,195.9,195.9,195.9,0.0
202606230816,195.88,195.88,195.88,195.88,1.0
202606230817,195.88,195.88,195.88,195.88,0.0
202606230818,195.75,195.4,195.75,195.4,48.0
202606230819,196.0,196.0,196.0,196.0,1.0
202606230820,195.76,195.76,195.76,195.76,4.0
202606230821,195.76,195.76,195.76,195.76,0.0
202606230822,196.0,196.33,196.33,196.0,6.0
202606230823,196.12,196.12,196.13,196.12,1.0
202606230824,196.33,196.33,196.33,196.33,1.0
202606230825,196.02,196.02,196.02,196.01,2.0
202606230826,196.5,196.4,196.51,196.4,7.0
202606230827,196.5,196.52,196.52,196.5,2.0
202606230828,196.45,196.41,196.45,196.4,12.0
202606230829,196.4,196.4,196.4,196.4,1.0
202606230830,196.46,196.4,196.46,196.4,7.0
202606230831,196.5,196.5,196.5,196.5,12.0
202606230832,196.44,196.44,196.44,196.43,1.0
202606230833,196.5,196.5,196.5,196.5,1.0
202606230834,196.04,196.5,196.5,196.04,11.0
202606230835,196.53,196.53,196.53,196.53,1.0
202606230836,196.62,196.77,196.77,196.62,39.0
202606230837,197.0,197.0,197.0,197.0,6.0
202606230838,197.0,197.0,197.0,197.0,3.0
202606230839,197.36,197.36,197.36,197.36,1.0
