date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,152.388
20240905,-1,-1,151.9658
20240906,-1,-1,151.5258
20240909,-1,-1,151.102
20240910,-1,-1,150.7148
20240911,-1,-1,150.5568
20240912,-1,-1,150.287
20240913,-1,-1,150.0566
20240916,-1,-1,149.652
20240917,-1,-1,149.0662
20240918,-1,-1,148.524
20240919,-1,-1,147.993
20240920,-1,-1,147.4812
20240923,-1,-1,146.9644
20240924,-1,-1,146.5372
20240925,-1,-1,146.2748
20240926,-1,-1,146.381
20240927,-1,-1,146.5286
20240930,-1,-1,146.7852
20241001,-1,-1,146.8792
20241002,-1,-1,147.0346
20241003,-1,-1,147.3746
20241004,-1,-1,148.0126
20241007,-1,-1,148.6308
20241008,-1,-1,149.3084
20241009,-1,-1,149.7432
20241010,-1,-1,150.1212
20241011,-1,-1,150.824
20241014,-1,-1,151.475
20241015,-1,-1,151.8476
20241016,-1,-1,152.4066
20241017,-1,-1,152.9932
20241018,-1,-1,153.3742
20241021,-1,-1,153.8432
20241022,-1,-1,154.1884
20241023,-1,-1,154.4334
20241024,-1,-1,154.6976
20241025,-1,-1,154.8776
20241028,-1,-1,155.1384
20241029,-1,-1,155.112
20241030,-1,-1,154.9576
20241031,-1,-1,154.6948
20241101,-1,-1,154.4928
20241104,-1,-1,154.2064
20241105,-1,-1,154.0424
20241106,-1,-1,153.9472
20241107,-1,-1,154.1356
20241108,-1,-1,154.1784
20241111,-1,-1,154.15
20241112,-1,-1,154.2724
20241113,-1,-1,154.2406
20241114,-1,-1,154.2368
20241115,-1,-1,154.2706
20241118,-1,-1,154.2772
20241119,-1,-1,154.2198
20241120,-1,-1,153.9812
20241121,-1,-1,153.7034
20241122,-1,-1,153.4322
20241125,-1,-1,153.2138
20241126,-1,-1,152.9598
20241127,-1,-1,152.6986
20241129,-1,-1,152.304
20241202,-1,-1,152.0382
20241203,-1,-1,151.756
20241204,-1,-1,151.4512
20241205,-1,-1,150.998
20241206,-1,-1,150.4248
20241209,-1,-1,149.7624
20241210,-1,-1,149.0418
20241211,-1,-1,148.4642
20241212,-1,-1,147.9018
20241213,-1,-1,147.1718
20241216,-1,-1,146.2834
20241217,-1,-1,145.3576
20241218,-1,-1,144.3392
20241219,-1,-1,143.2922
20241220,-1,-1,142.4022
20241223,-1,-1,141.5558
20241224,-1,-1,140.7782
20241226,-1,-1,140.1398
20241227,-1,-1,139.5172
20241230,-1,-1,138.8258
20241231,-1,-1,138.1176
20250102,-1,-1,137.3846
20250103,-1,-1,136.8234
20250106,-1,-1,136.3642
20250107,-1,-1,135.8468
20250108,-1,-1,135.144
20250110,-1,-1,134.2316
20250113,-1,-1,133.5282
20250114,-1,-1,132.9018
20250115,-1,-1,132.4124
20250116,-1,-1,131.9424
20250117,-1,-1,131.5646
20250121,-1,-1,131.1918
20250122,-1,-1,130.7574
20250123,-1,-1,130.206
20250124,-1,-1,129.7002
20250127,-1,-1,129.0784
20250128,-1,-1,128.5
20250129,-1,144.9001,128.0718
20250130,-1,144.6288,127.6838
