datetime,open,close,high,low,volume
202606230800,519.0,517.19,540.4,517.19,116.0
202606230801,518.31,519.0,538.02,518.0,79.0
202606230802,519.01,519.0,519.98,519.0,22.0
202606230803,519.0,519.3,519.68,517.95,13.0
202606230804,519.0,517.97,519.29,517.97,20.0
202606230805,518.0,520.0,520.0,518.0,14.0
202606230806,520.01,537.0,540.06,519.51,23.0
202606230807,534.9,531.4,535.99,521.65,58.0
202606230808,532.0,530.0,533.1,521.01,65.0
202606230809,530.4,528.23,531.5,521.4,77.0
202606230810,526.61,526.71,530.35,520.0,197.0
202606230811,526.0,521.64,527.74,518.77,103.0
202606230812,521.21,521.71,525.88,520.01,15.0
202606230813,520.17,520.13,520.17,520.13,3.0
202606230814,519.01,519.4,519.4,518.8,8.0
202606230815,518.8,518.16,519.0,518.05,17.0
202606230816,517.0,517.93,518.2,517.0,6.0
202606230817,517.0,517.0,517.0,517.0,6.0
202606230818,516.3,515.03,517.11,515.03,29.0
202606230819,515.5,516.55,517.3,515.49,14.0
202606230820,516.85,516.85,516.85,516.85,1.0
202606230821,516.65,516.0,516.65,515.91,6.0
202606230822,515.8,515.52,515.8,515.52,4.0
202606230823,516.14,515.61,516.14,515.61,2.0
202606230824,515.5,516.34,516.34,515.5,7.0
202606230825,516.18,518.96,518.96,516.18,9.0
202606230826,517.49,517.49,517.49,517.49,2.0
202606230827,516.01,516.02,516.31,515.5,35.0
202606230828,516.19,516.84,516.95,516.19,8.0
202606230829,517.22,517.41,517.55,517.22,5.0
202606230830,518.0,518.53,518.53,518.0,2.0
202606230831,518.53,518.32,519.3,518.25,4.0
202606230832,518.81,519.98,520.0,518.81,10.0
202606230833,519.98,519.98,519.98,519.98,0.0
202606230834,519.0,519.0,519.0,519.0,8.0
202606230835,519.25,518.73,519.25,518.73,2.0
202606230836,519.37,519.0,519.37,519.0,6.0
202606230837,518.0,518.3,518.44,518.0,5.0
202606230838,519.0,519.0,519.0,519.0,1.0
202606230839,519.0,519.0,519.0,519.0,0.0
202606230840,519.18,520.0,520.0,519.08,29.0
202606230841,520.0,520.0,520.0,520.0,0.0
202606230842,520.57,519.94,520.57,519.94,6.0
