date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,325.4608
20240905,-1,-1,325.6064
20240906,-1,-1,325.7612
20240909,-1,-1,326.0058
20240910,-1,-1,326.3306
20240911,-1,-1,326.721
20240912,-1,-1,327.1006
20240913,-1,-1,327.562
20240916,-1,-1,328.0496
20240917,-1,-1,328.4764
20240918,-1,-1,328.8278
20240919,-1,-1,329.0868
20240920,-1,-1,329.3074
20240923,-1,-1,329.403
20240924,-1,-1,329.2762
20240925,-1,-1,328.8714
20240926,-1,-1,328.5522
20240927,-1,-1,328.3842
20240930,-1,-1,328.191
20241001,-1,-1,327.8714
20241002,-1,-1,327.59
20241003,-1,-1,327.1776
20241004,-1,-1,326.8848
20241007,-1,-1,326.5168
20241008,-1,-1,326.2182
20241009,-1,-1,326.0248
20241010,-1,-1,325.8498
20241011,-1,-1,325.7284
20241014,-1,-1,325.5708
20241015,-1,-1,325.5682
20241016,-1,-1,325.569
20241017,-1,-1,325.7656
20241018,-1,-1,325.693
20241021,-1,-1,325.578
20241022,-1,-1,325.5712
20241023,-1,-1,325.3852
20241024,-1,-1,325.3134
20241025,-1,-1,325.14
20241028,-1,-1,325.0546
20241029,-1,-1,324.8152
20241030,-1,-1,324.6634
20241031,-1,-1,324.4418
20241101,-1,-1,324.3572
20241104,-1,-1,324.133
20241105,-1,-1,324.0424
20241106,-1,-1,323.9418
20241107,-1,-1,323.7606
20241108,-1,-1,323.65
20241111,-1,-1,323.4104
20241112,-1,-1,322.8038
20241113,-1,-1,322.2444
20241114,-1,-1,321.6374
20241115,-1,-1,320.8984
20241118,-1,-1,319.9552
20241119,-1,-1,318.9298
20241120,-1,-1,318.0876
20241121,-1,-1,317.3106
20241122,-1,-1,316.5522
20241125,-1,-1,315.727
20241126,-1,-1,314.6612
20241127,-1,-1,313.6078
20241129,-1,-1,312.5288
20241202,-1,-1,311.3452
20241203,-1,-1,310.1888
20241204,-1,-1,309.2688
20241205,-1,-1,308.4996
20241206,-1,-1,307.5524
20241209,-1,-1,306.6464
20241210,-1,-1,305.7158
20241211,-1,-1,304.7856
20241212,-1,-1,303.8514
20241213,-1,-1,302.9358
20241216,-1,-1,301.851
20241217,-1,-1,300.819
20241218,-1,-1,299.6676
20241219,-1,-1,298.381
20241220,-1,-1,297.2106
20241223,-1,-1,295.936
20241224,-1,-1,294.7334
20241226,-1,-1,293.4924
20241227,-1,-1,292.3132
20241230,-1,-1,291.0924
20241231,-1,-1,289.8908
20250102,-1,-1,288.77
20250103,-1,-1,287.6018
20250106,-1,-1,286.4968
20250107,-1,-1,285.346
20250108,-1,-1,284.2256
20250110,-1,-1,283.1394
20250113,-1,-1,282.1824
20250114,-1,-1,281.1162
20250115,-1,-1,280.1246
20250116,-1,-1,279.1072
20250117,-1,-1,278.2074
20250121,-1,-1,277.2564
20250122,-1,-1,276.308
20250123,-1,-1,275.4274
20250124,-1,-1,274.407
20250127,-1,-1,273.62
20250128,-1,-1,273.2468
20250129,-1,306.8647,272.889
20250130,-1,306.6248,272.6306
