datetime,open,close,high,low,volume
20240625,185.86,186.48,188.84,185.42,363090.0
20240626,188.02,193.07,194.8,185.9,490551.0
20240627,193.37,198.21,199.84,192.8,621600.0
20240628,198.65,193.32,199.5,192.5,552212.0
20240701,194.39,196.95,198.3,192.82,329235.0
20240702,196.5,200.02,200.43,195.93,369369.0
20240703,200.12,197.55,200.95,196.76,252775.0
20240705,198.0,199.9,200.55,197.25,308381.0
20240708,200.07,199.62,201.2,197.96,257196.0
20240709,199.62,199.46,200.57,199.04,246610.0
20240710,199.69,199.54,200.3,197.69,256267.0
20240711,199.79,195.1,201.5,192.86,354783.0
20240712,195.0,194.54,196.47,193.65,231854.0
20240715,194.95,193.66,196.19,190.83,302760.0
20240716,193.36,192.83,196.62,192.24,252263.0
20240717,192.08,188.82,192.85,185.99,367315.0
20240718,188.95,184.43,190.8,181.44,378851.0
20240719,184.0,182.83,185.33,179.07,289860.0
20240722,183.7,182.73,185.48,182.46,274178.0
20240723,182.86,186.3,189.39,182.2,367570.0
20240724,185.98,181.71,186.34,180.41,326524.0
20240725,180.98,180.29,183.9,176.83,328265.0
20240726,181.6,182.75,183.19,180.14,219690.0
20240729,182.76,182.72,184.75,182.38,231296.0
20240730,183.6,180.88,185.86,173.78,270251.0
20240731,182.0,189.92,190.0,181.25,325064.0
20240801,190.18,171.4,191.49,169.0,553588.0
20240802,169.97,167.75,170.39,160.55,1067184.0
20240805,158.0,162.87,164.26,150.79,635488.0
20240806,164.0,160.55,165.08,158.54,411209.0
20240807,164.11,160.75,167.58,160.08,365581.0
20240808,163.25,166.6,166.69,161.5,335055.0
20240809,166.55,166.98,168.55,164.9,242101.0
20240812,167.91,166.74,168.77,166.11,228314.0
20240813,167.9,170.45,171.04,166.62,294351.0
20240814,170.45,170.02,172.3,168.86,224346.0
20240815,170.71,177.74,177.93,169.61,413364.0
20240816,178.15,176.77,179.52,175.77,231694.0
20240819,177.25,178.12,178.3,176.16,221763.0
20240820,178.29,178.63,179.11,177.43,194044.0
20240821,178.99,180.25,182.39,178.43,285087.0
20240822,180.2,176.5,181.57,175.68,243694.0
20240823,177.77,176.8,178.97,175.24,225387.0
