datetime,open,close,high,low,volume,status
20240703,199.93,197.59,200.03,196.76,21838600.0,1
20240705,198.65,200.0,200.55,198.17,24024000.0,1
20240708,200.04,199.29,201.2,197.96,22345700.0,1
20240709,199.4,199.34,200.57,199.04,20713300.0,1
20240710,199.92,199.79,200.11,197.69,20759000.0,1
20240711,199.92,195.05,200.27,192.86,27909400.0,1
20240712,194.8,194.49,196.47,193.83,18896500.0,1
20240715,194.55,192.72,196.19,190.83,26279000.0,1
20240716,195.59,193.02,196.62,192.24,21568100.0,1
20240717,191.35,187.93,191.58,185.99,29976600.0,1
20240718,189.58,183.75,189.68,181.44,33131200.0,1
20240719,181.14,183.13,184.93,180.11,23608100.0,1
20240722,184.91,182.55,185.06,182.48,21512800.0,1
20240723,184.1,186.41,189.39,183.56,27399900.0,1
20240724,183.25,180.83,185.45,180.41,24778900.0,1
20240725,182.93,179.85,183.9,176.83,28490200.0,1
20240726,180.39,182.5,183.19,180.24,18016200.0,1
20240729,183.84,183.2,184.75,182.38,18718300.0,1
20240730,184.72,181.71,185.86,179.38,20232700.0,1
20240731,185.05,186.98,187.94,184.46,23554200.0,1
20240801,189.28,184.07,190.6,181.87,38023700.0,1
20240802,166.75,167.9,168.77,160.55,91763100.0,1
20240805,154.21,161.02,162.96,151.64,51162000.0,1
20240806,161.74,161.93,165.08,158.54,34170700.0,1
20240807,166.56,162.77,167.58,161.43,31447900.0,1
20240808,165.17,165.8,166.69,162.55,27229500.0,1
20240809,166.51,166.94,168.55,165.85,20891000.0,1
20240812,168.12,166.8,168.55,166.11,18902900.0,1
20240813,167.84,170.23,171.04,167.1,24085100.0,1
20240814,172.12,170.1,172.28,168.86,17290600.0,1
20240815,174.87,177.59,177.91,173.99,32481900.0,1
20240816,177.04,177.06,178.34,176.26,18907900.0,1
20240819,177.64,178.22,178.3,176.16,16383200.0,1
20240820,177.9,178.88,179.01,177.43,14478400.0,1
20240821,179.89,180.11,182.39,178.89,24277700.0,1
20240822,181.38,176.13,181.47,175.68,18568300.0,1
20240823,177.34,177.04,178.97,175.24,18163400.0,1
