datetime,ma200,ma150,ma50
202606290815,-1,-1,-1
202606290901,-1,-1,-1
202606290941,-1,-1,-1
202606290943,-1,-1,-1
202606290946,-1,-1,-1
202606291009,-1,-1,-1
202606291029,-1,-1,-1
202606291032,-1,-1,-1
202606291330,-1,-1,-1
202606291331,-1,-1,-1
202606291332,-1,-1,-1
202606291333,-1,-1,-1
202606291334,-1,-1,-1
202606291335,-1,-1,-1
202606291336,-1,-1,-1
202606291337,-1,-1,-1
202606291338,-1,-1,-1
202606291339,-1,-1,-1
202606291340,-1,-1,-1
202606291341,-1,-1,-1
202606291342,-1,-1,-1
202606291343,-1,-1,-1
202606291344,-1,-1,-1
202606291345,-1,-1,-1
202606291346,-1,-1,-1
202606291347,-1,-1,-1
202606291348,-1,-1,-1
202606291349,-1,-1,-1
202606291350,-1,-1,-1
202606291351,-1,-1,-1
202606291352,-1,-1,-1
202606291353,-1,-1,-1
202606291354,-1,-1,-1
202606291355,-1,-1,-1
202606291356,-1,-1,-1
202606291357,-1,-1,-1
202606291358,-1,-1,-1
202606291359,-1,-1,-1
202606291400,-1,-1,-1
202606291401,-1,-1,-1
202606291402,-1,-1,-1
202606291403,-1,-1,-1
202606291404,-1,-1,-1
202606291405,-1,-1,-1
202606291406,-1,-1,-1
202606291407,-1,-1,-1
202606291408,-1,-1,-1
202606291409,-1,-1,-1
202606291410,-1,-1,-1
202606291411,-1,-1,239.8948
202606291412,-1,-1,240.0582
202606291413,-1,-1,240.2245
202606291414,-1,-1,240.3848
202606291415,-1,-1,240.5536
202606291416,-1,-1,240.7271
202606291417,-1,-1,240.9011
202606291418,-1,-1,241.0883
202606291419,-1,-1,241.2719
202606291420,-1,-1,241.4433
202606291421,-1,-1,241.5957
202606291422,-1,-1,241.7387
202606291423,-1,-1,241.8611
202606291424,-1,-1,241.9928
202606291425,-1,-1,242.1243
202606291426,-1,-1,242.243
202606291427,-1,-1,242.3569
202606291428,-1,-1,242.456
202606291429,-1,-1,242.5513
202606291430,-1,-1,242.6369
202606291431,-1,-1,242.7205
202606291432,-1,-1,242.8107
202606291433,-1,-1,242.9169
202606291434,-1,-1,243.0197
202606291435,-1,-1,243.0993
202606291436,-1,-1,243.1579
202606291437,-1,-1,243.2293
202606291438,-1,-1,243.2911
202606291439,-1,-1,243.3515
202606291440,-1,-1,243.4082
202606291441,-1,-1,243.4542
202606291442,-1,-1,243.4894
202606291443,-1,-1,243.5227
202606291444,-1,-1,243.5635
202606291445,-1,-1,243.6151
202606291446,-1,-1,243.6749
202606291447,-1,-1,243.7577
202606291448,-1,-1,243.8308
202606291449,-1,-1,243.9154
202606291450,-1,-1,244.0041
202606291451,-1,-1,244.0795
202606291452,-1,-1,244.158
202606291453,-1,-1,244.2341
202606291454,-1,-1,244.3081
202606291455,-1,-1,244.3631
202606291456,-1,-1,244.4046
202606291457,-1,-1,244.4384
202606291458,-1,-1,244.4757
202606291459,-1,-1,244.5191
202606291500,-1,-1,244.5623
202606291501,-1,-1,244.6028
202606291502,-1,-1,244.6554
202606291503,-1,-1,244.686
202606291504,-1,-1,244.7171
202606291505,-1,-1,244.7215
202606291506,-1,-1,244.7245
202606291507,-1,-1,244.7147
202606291508,-1,-1,244.6927
202606291509,-1,-1,244.6711
202606291510,-1,-1,244.6453
202606291511,-1,-1,244.6207
202606291512,-1,-1,244.5948
202606291513,-1,-1,244.57
202606291514,-1,-1,244.5403
202606291515,-1,-1,244.5094
202606291516,-1,-1,244.4802
202606291517,-1,-1,244.4408
202606291518,-1,-1,244.3986
202606291519,-1,-1,244.3674
202606291520,-1,-1,244.3439
202606291521,-1,-1,244.3153
202606291522,-1,-1,244.2731
202606291523,-1,-1,244.2131
202606291524,-1,-1,244.1643
202606291525,-1,-1,244.1195
202606291526,-1,-1,244.0867
202606291527,-1,-1,244.053
202606291528,-1,-1,244.0254
202606291529,-1,-1,244.006
202606291530,-1,-1,243.9678
202606291531,-1,-1,243.9352
202606291532,-1,-1,243.8965
202606291533,-1,-1,243.8556
202606291534,-1,-1,243.8139
202606291535,-1,-1,243.7707
202606291536,-1,-1,243.7183
202606291537,-1,-1,243.6608
202606291538,-1,-1,243.5978
202606291539,-1,-1,243.5221
202606291540,-1,-1,243.4357
202606291541,-1,-1,243.3589
202606291542,-1,-1,243.2784
202606291543,-1,-1,243.1901
202606291544,-1,-1,243.1033
202606291545,-1,-1,243.0297
202606291546,-1,-1,242.952
202606291547,-1,-1,242.8927
202606291548,-1,-1,242.8253
202606291549,-1,-1,242.7445
202606291550,-1,-1,242.6745
202606291551,-1,242.3663,242.6013
202606291552,-1,242.4144,242.5297
202606291553,-1,242.461,242.4726
202606291554,-1,242.5041,242.4106
202606291555,-1,242.5475,242.3674
202606291556,-1,242.5925,242.326
202606291557,-1,242.6369,242.295
202606291558,-1,242.6847,242.273
202606291559,-1,242.7311,242.2502
202606291600,-1,242.771,242.2244
202606291601,-1,242.8041,242.196
202606291602,-1,242.8315,242.1609
202606291603,-1,242.8535,242.1295
202606291604,-1,242.8783,242.1019
202606291605,-1,242.9038,242.0777
202606291606,-1,242.9254,242.053
202606291607,-1,242.9441,242.0346
202606291608,-1,242.9549,242.0099
202606291609,-1,242.9676,241.9841
202606291610,-1,242.975,241.9443
202606291611,-1,242.9822,241.9108
