datetime,open,close,high,low,volume
20240625,161.0,158.6,161.8,156.4,733465
20240626,161.68,157.7,161.82,157.0,598813.0
20240627,158.74,159.6,160.56,157.1,417588.0
20240628,159.5,160.5,163.92,158.6,1094458.0
20240701,161.0,164.01,164.88,159.35,771567.0
20240702,163.63,166.25,166.5,162.2,490874.0
20240703,166.76,173.29,173.41,165.87,584608.0
20240705,176.0,170.15,176.55,169.6,651239.0
20240708,171.26,175.25,175.69,170.33,492567.0
20240709,176.47,173.5,177.1,170.56,542910.0
20240710,173.91,174.5,176.65,172.64,530637.0
20240711,175.14,170.76,176.8,166.85,721166.0
20240712,170.2,170.4,172.59,169.13,429513.0
20240715,171.45,170.85,173.51,168.7,420034.0
20240716,170.91,168.8,172.81,166.4,404241.0
20240717,165.0,157.4,168.02,155.24,820870.0
20240718,158.9,162.15,162.38,153.9,706210.0
20240719,160.0,157.35,163.95,157.0,484633.0
20240722,158.6,160.7,162.99,157.9,464260.0
20240723,160.25,161.15,165.33,159.0,362213.0
20240724,160.88,153.51,162.16,151.01,667199.0
20240725,152.2,150.45,153.55,145.52,530131.0
20240726,151.06,151.63,153.59,149.63,396418.0
20240729,152.9,150.25,155.0,149.15,320478.0
20240730,150.9,148.29,154.47,142.06,589901.0
20240731,149.8,164.17,164.5,148.13,891665.0
20240801,162.56,149.59,163.15,146.17,759237.0
20240802,144.53,143.63,145.69,139.6,605382.0
20240805,133.0,146.0,146.15,127.72,792731.0
20240806,145.95,140.61,149.99,139.5,459805.0
20240807,144.2,134.5,150.1,133.34,543222.0
20240808,135.9,147.4,147.98,135.49,494206.0
20240809,147.1,148.25,149.55,143.69,327580.0
20240812,149.35,148.65,151.13,146.37,305424.0
20240813,150.0,156.63,156.63,148.8,428472.0
20240814,156.63,157.77,160.25,154.72,384759.0
20240815,158.6,166.55,167.0,157.69,514220.0
20240816,167.01,165.5,167.65,162.68,301232.0
20240819,165.1,167.2,168.0,160.42,346085.0
20240820,167.99,164.75,168.37,164.15,332133.0
20240821,165.0,165.8,166.47,162.88,285224.0
20240822,165.78,163.2,172.42,161.49,591951.0
20240823,164.24,166.4,168.28,162.74,353430.0
20240826,166.7,160.25,167.44,158.66,341931.0
20240827,160.3,159.7,162.03,155.83,323478.0
20240828,160.94,152.0,162.28,151.22,326565.0
20240829,155.0,158.99,163.2,154.14,416306.0
20240830,159.5,162.88,163.24,158.65,469281.0
20240903,163.12,153.5,163.25,151.38,727863.0
20240904,151.73,153.9,157.79,148.9,374609.0
20240905,154.55,142.53,159.36,141.3,576504.0
20240906,141.49,136.57,144.5,136.01,1460698.0
20240909,138.8,141.0,141.59,131.0,795454.0
20240910,140.59,148.0,149.86,139.35,704759.0
20240911,147.3,157.9,158.87,145.04,765864.0
20240912,158.92,165.5,166.32,156.83,804455.0
20240913,164.9,167.32,168.08,164.04,412604.0
20240916,167.63,163.51,167.94,160.41,445140.0
20240917,164.3,162.5,166.02,160.7,348283.0
20240918,162.3,164.29,167.47,161.25,508091.0
20240919,165.0,167.5,170.0,164.99,616474.0
20240920,167.44,170.84,172.02,165.5,1428113.0
20240923,170.73,172.85,173.46,168.35,498945.0
20240924,173.0,175.07,175.99,171.68,697866.0
20240925,173.21,176.99,177.14,172.48,268010.0
20240926,179.3,177.56,180.25,175.0,403849.0
20240927,176.85,172.35,178.47,171.76,382386.0
20240930,172.37,172.28,172.92,169.28,312903.0
20241001,172.4,166.2,173.36,165.8,452266.0
20241002,167.4,171.37,172.84,165.8,265503.0
20241003,169.78,172.0,174.94,169.03,229542.0
20241004,172.83,176.24,176.9,171.88,332396.0
20241007,175.96,175.0,178.31,173.86,266688.0
20241008,175.31,180.64,181.6,174.64,373207.0
20241009,180.49,185.31,186.42,176.42,482844.0
20241010,185.27,185.89,186.31,182.53,288596.0
20241011,185.67,180.98,186.39,177.4,435233.0
20241014,181.17,182.1,184.96,180.13,295610.0
20241015,181.84,176.1,182.86,173.36,513373.0
20241016,176.51,176.9,179.25,175.33,269816.0
20241017,180.36,181.97,185.51,176.3,470180.0
20241018,182.57,180.0,183.67,178.68,343163.0
20241021,180.23,180.0,181.72,177.1,221970.0
20241022,179.23,179.15,180.69,177.37,226061.0
20241023,179.07,173.85,179.08,172.57,374202.0
20241024,175.0,171.64,175.54,169.5,372260.0
20241025,172.97,172.65,176.8,172.14,305188.0
20241028,174.29,172.2,175.55,171.34,230960.0
20241029,171.77,178.46,180.23,171.21,440539.0
20241030,178.56,175.9,179.48,175.54,320818.0
20241031,174.2,170.49,176.0,167.38,462987.0
20241101,170.8,169.0,171.33,167.5,301003.0
20241104,169.43,168.54,172.45,167.33,241358.0
20241105,169.9,173.9,174.7,169.0,249879.0
20241106,178.28,179.7,180.3,174.9,412149.0
20241107,179.99,183.8,184.88,179.95,343862.0
20241108,184.04,183.63,185.05,181.09,241907.0
20241111,183.81,179.1,184.65,176.82,271644.0
20241112,178.88,176.1,179.56,173.2,290066.0
20241113,176.2,173.77,176.4,172.6,309308.0
20241114,173.89,170.02,175.57,169.7,319848.0
20241115,168.88,165.47,169.8,163.43,364929.0
20241118,168.18,165.97,168.6,162.22,300003.0
20241119,166.28,166.0,167.0,163.0,307889.0
20241120,165.76,162.12,166.34,160.75,298090.0
20241121,162.2,163.9,167.0,160.6,381997.0
20241122,164.09,164.3,164.91,162.4,213802.0
20241125,165.42,164.77,167.23,162.89,476911.0
20241126,164.99,164.88,166.9,162.0,286781.0
20241127,164.21,160.2,164.83,157.54,367219.0
20241129,160.38,162.08,162.69,158.87,184251.0
20241202,161.07,166.95,168.38,160.62,366457.0
20241203,167.94,170.1,170.54,163.95,297030.0
20241204,171.0,170.5,175.39,168.56,602067.0
20241205,170.69,170.45,172.4,169.2,317928.0
20241206,170.5,179.48,180.68,169.33,539166.0
20241209,181.37,178.67,181.79,176.02,377234.0
20241210,177.97,171.89,179.16,169.73,465947.0
20241211,172.4,182.94,184.87,171.78,722476.0
20241212,182.94,206.1,209.9,175.99,839750.0
20241213,205.45,225.15,228.7,204.21,2216420.0
20241216,226.8,247.52,251.88,224.23,1942651.0
20241217,248.0,238.0,256.0,233.8,1263153.0
20241218,239.47,223.59,241.74,219.22,982607.0
20241219,226.3,217.16,228.7,217.0,693095.0
20241220,215.57,222.5,230.29,212.14,2067800.0
20241223,225.9,234.1,234.88,220.2,753199.0
20241224,235.17,240.0,241.5,234.52,441390.0
20241226,240.75,246.3,247.28,237.28,527200.0
20241227,244.87,240.3,247.47,236.36,547013.0
20241230,240.56,233.0,241.94,231.62,477333.0
20241231,235.5,231.84,238.59,231.31,341537.0
20250102,234.95,232.06,239.5,230.24,549835.0
20250103,232.03,231.96,236.49,229.0,471758.0
20250106,234.55,237.03,241.75,233.3,588090.0
20250107,236.78,229.56,239.5,227.6,463897.0
20250108,229.45,228.11,232.47,226.06,314411.0
20250110,227.67,223.88,230.81,221.25,442630.0
20250113,222.0,228.48,229.26,216.17,440331.0
20250114,229.1,225.5,231.12,223.1,310950.0
20250115,225.1,229.15,230.49,224.7,375676.0
20250116,234.0,229.25,238.6,228.24,401471.0
20250117,231.73,238.05,238.18,230.0,546979.0
20250121,238.01,242.42,242.77,237.4,511927.0
20250122,242.81,239.5,247.4,239.0,476404.0
20250123,238.54,240.2,240.42,236.12,310397.0
20250124,239.97,244.21,249.59,239.45,468635.0
20250127,229.16,207.04,233.0,196.23,1716662.0
20250128,208.07,208.54,211.87,198.89,964706.0
20250129,213.55,215.93,218.95,202.77,604661.0
20250130,217.11,216.3,221.96,213.7,832367.0
20250131,216.86,220.02,226.8,216.0,799260.0
20250203,215.0,220.97,220.99,210.8,449389.0
20250204,217.8,231.25,236.42,215.11,442469.0
20250205,229.83,234.0,237.93,227.5,561160.0
20250206,234.88,232.6,236.97,228.56,392266.0
20250207,232.61,224.15,235.75,224.02,421107.0
20250210,226.18,234.97,235.82,225.43,443505.0
20250211,233.06,235.85,237.89,229.97,328516.0
20250212,235.2,237.1,237.28,230.0,298715.0
20250213,235.17,234.95,237.8,230.72,370472.0
20250214,235.12,232.61,236.36,228.9,307142.0
20250218,233.4,228.39,235.0,224.3,469483.0
20250219,228.52,228.12,229.07,224.4,291665.0
20250220,227.16,226.68,228.98,222.75,272455.0
20250221,225.6,218.35,227.75,215.63,431320.0
20250224,218.19,208.26,220.62,206.57,618278.0
20250225,207.38,206.0,209.79,200.92,593845.0
20250226,206.77,214.0,216.66,206.0,383541.0
20250227,216.0,198.99,219.25,197.1,499859.0
20250228,199.13,200.87,201.19,193.15,779585.0
20250303,199.56,188.37,205.08,184.53,698425.0
20250304,188.0,190.35,193.95,180.48,721681.0
20250305,191.36,187.05,194.08,184.08,464658.0
20250306,185.94,202.45,214.0,177.61,1067743.0
20250307,203.16,194.96,204.32,181.56,1442784.0
20250310,193.0,180.5,194.86,180.04,850850.0
20250311,184.0,191.25,195.62,182.86,769396.0
20250312,191.0,195.61,199.98,189.51,558968.0
20250313,192.64,193.94,196.32,189.46,429320.0
20250314,194.78,195.51,197.5,193.2,456330.0
20250317,195.5,193.9,197.48,187.0,495285.0
20250318,193.7,188.4,193.7,186.9,422239.0
20250319,188.8,196.98,198.27,186.9,732697.0
20250320,197.46,190.01,197.46,188.94,618690.0
20250321,190.0,191.22,192.07,186.77,804932.0
20250324,195.0,191.1,196.69,190.65,551105.0
20250325,191.27,188.2,191.88,187.68,457417.0
20250326,188.32,177.5,188.34,177.16,568345.0
