date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,159.2972
20240905,-1,-1,158.9758
20240906,-1,-1,158.5532
20240909,-1,-1,158.1812
20240910,-1,-1,157.9312
20240911,-1,-1,157.809
20240912,-1,-1,157.794
20240913,-1,-1,157.6746
20240916,-1,-1,157.5418
20240917,-1,-1,157.2868
20240918,-1,-1,157.1026
20240919,-1,-1,156.9626
20240920,-1,-1,156.9642
20240923,-1,-1,157.0132
20240924,-1,-1,157.0976
20240925,-1,-1,157.2614
20240926,-1,-1,157.6646
20240927,-1,-1,157.8686
20240930,-1,-1,158.1672
20241001,-1,-1,158.2772
20241002,-1,-1,158.4816
20241003,-1,-1,158.8514
20241004,-1,-1,159.3672
20241007,-1,-1,159.8346
20241008,-1,-1,160.4424
20241009,-1,-1,161.1828
20241010,-1,-1,161.6172
20241011,-1,-1,162.245
20241014,-1,-1,163.0144
20241015,-1,-1,163.6164
20241016,-1,-1,164.3422
20241017,-1,-1,165.2916
20241018,-1,-1,165.9436
20241021,-1,-1,166.5786
20241022,-1,-1,167.1886
20241023,-1,-1,167.533
20241024,-1,-1,167.8104
20241025,-1,-1,167.9324
20241028,-1,-1,168.0664
20241029,-1,-1,168.2916
20241030,-1,-1,168.5146
20241031,-1,-1,168.6084
20241101,-1,-1,168.7244
20241104,-1,-1,168.7672
20241105,-1,-1,169.0402
20241106,-1,-1,169.4402
20241107,-1,-1,170.0762
20241108,-1,-1,170.569
20241111,-1,-1,170.8934
20241112,-1,-1,171.3454
20241113,-1,-1,171.7428
20241114,-1,-1,172.2926
20241115,-1,-1,172.8706
20241118,-1,-1,173.37
20241119,-1,-1,173.73
20241120,-1,-1,173.8144
20241121,-1,-1,173.7824
20241122,-1,-1,173.722
20241125,-1,-1,173.7472
20241126,-1,-1,173.7948
20241127,-1,-1,173.713
20241129,-1,-1,173.6046
20241202,-1,-1,173.5268
20241203,-1,-1,173.4718
20241204,-1,-1,173.3804
20241205,-1,-1,173.2496
20241206,-1,-1,173.288
20241209,-1,-1,173.4144
20241210,-1,-1,173.4066
20241211,-1,-1,173.7414
20241212,-1,-1,174.436
20241213,-1,-1,175.499
20241216,-1,-1,176.9246
20241217,-1,-1,178.1846
20241218,-1,-1,179.0436
20241219,-1,-1,179.6806
20241220,-1,-1,180.4128
20241223,-1,-1,181.4752
20241224,-1,-1,182.6332
20241226,-1,-1,184.0372
20241227,-1,-1,185.3052
20241230,-1,-1,186.3258
20241231,-1,-1,187.3626
20250102,-1,-1,188.4038
20250103,-1,-1,189.46
20250106,-1,-1,190.7236
20250107,-1,-1,191.882
20250108,-1,-1,192.9912
20250110,-1,-1,194.0248
20250113,-1,-1,195.0252
20250114,-1,-1,196.0172
20250115,-1,-1,197.1904
20250116,-1,-1,198.3954
20250117,-1,-1,199.7856
20250121,-1,-1,201.156
20250122,-1,-1,202.352
20250123,-1,-1,203.48
20250124,-1,-1,204.6916
20250127,-1,-1,205.2504
20250128,-1,-1,205.8992
20250129,-1,179.2608,206.7424
20250130,-1,179.6455,207.668
