datetime,open,close,high,low,volume
202606230800,380.0,380.51,388.49,370.07,511.0
202606230801,379.1,382.03,388.65,379.0,356.0
202606230802,380.7,381.0,383.0,380.7,164.0
202606230803,381.23,381.94,382.44,380.36,59.0
202606230804,381.29,381.64,382.14,380.9,86.0
202606230805,381.07,381.5,381.75,380.11,98.0
202606230806,381.75,382.94,388.57,381.75,120.0
202606230807,385.0,383.51,386.33,381.75,263.0
202606230808,384.0,384.91,385.0,381.56,195.0
202606230809,383.39,380.1,384.58,379.8,248.0
202606230810,380.78,381.01,381.95,379.0,220.0
202606230811,379.1,380.01,387.97,379.0,338.0
202606230812,379.75,379.02,383.98,379.0,96.0
202606230813,380.0,379.64,380.0,379.29,42.0
202606230814,379.05,378.93,379.06,378.93,64.0
202606230815,378.7,378.68,379.12,378.68,12.0
202606230816,379.0,378.92,379.0,378.69,19.0
202606230817,378.5,378.78,378.94,378.14,53.0
202606230818,378.66,378.49,379.06,378.06,90.0
202606230819,378.5,378.15,378.52,378.11,81.0
202606230820,378.2,378.0,379.0,378.0,26.0
202606230821,378.1,378.25,378.49,378.1,21.0
202606230822,378.02,377.0,378.25,376.89,154.0
202606230823,377.0,377.0,377.0,376.88,16.0
202606230824,376.94,377.0,377.41,376.94,240.0
202606230825,376.73,377.0,377.0,376.73,216.0
202606230826,376.91,376.52,377.0,376.52,55.0
202606230827,376.89,376.58,377.0,376.57,22.0
202606230828,376.83,377.0,377.0,376.5,38.0
202606230829,377.06,376.95,377.06,376.94,28.0
202606230830,377.0,377.0,377.2,376.6,47.0
202606230831,377.1,376.84,377.5,376.84,85.0
202606230832,377.0,377.45,377.6,377.0,182.0
202606230833,377.0,377.0,377.22,376.99,104.0
202606230834,377.0,376.99,377.6,376.9,43.0
202606230835,377.0,376.75,377.13,376.75,74.0
202606230836,376.98,376.63,376.98,376.63,22.0
202606230837,376.6,376.49,376.6,376.19,52.0
202606230838,376.86,376.61,377.19,376.48,19.0
202606230839,376.42,376.94,376.99,376.42,32.0
202606230840,376.75,377.0,377.19,376.75,21.0
202606230841,377.0,377.0,377.17,376.7,50.0
202606230842,377.0,377.0,377.0,376.84,39.0
202606230843,377.0,376.52,377.0,376.44,36.0
202606230844,377.0,376.61,377.07,376.52,44.0
202606230845,376.55,376.4,376.55,376.25,16.0
202606230846,376.19,376.5,376.6,376.02,50.0
202606230847,376.26,376.12,376.29,376.12,28.0
202606230848,376.17,376.26,376.4,375.88,68.0
202606230849,376.5,376.5,376.5,376.5,1.0
202606230850,376.14,375.88,376.14,375.88,17.0
202606230851,375.82,376.69,376.69,375.5,251.0
202606230852,376.31,376.05,376.85,376.05,9.0
202606230853,376.0,376.45,376.45,376.0,13.0
202606230854,376.67,376.24,376.69,376.24,40.0
202606230855,376.46,376.49,376.72,376.4,30.0
202606230856,376.67,376.68,376.73,376.39,13.0
202606230857,376.8,376.23,376.8,376.23,13.0
202606230858,376.19,375.87,376.19,375.87,5.0
202606230859,375.9,376.0,376.0,375.9,2.0
202606230900,375.64,375.99,375.99,375.42,22.0
202606230901,375.51,376.34,376.5,375.51,445.0
202606230902,376.62,377.01,377.01,376.56,15.0
202606230903,376.83,376.19,376.83,376.19,4.0
202606230904,376.3,377.0,377.19,376.3,28.0
202606230905,376.8,377.0,377.03,376.8,45.0
202606230906,377.0,377.34,378.0,377.0,78.0
202606230907,377.75,377.07,377.75,377.07,5.0
202606230908,377.95,377.0,377.96,376.83,63.0
202606230909,376.98,375.85,377.0,375.85,20.0
202606230910,376.26,376.19,376.45,376.0,74.0
202606230911,376.19,375.86,376.21,375.5,29.0
202606230912,375.89,375.61,376.0,375.61,19.0
202606230913,375.89,377.0,377.0,375.86,363.0
202606230914,377.0,377.0,377.16,377.0,16.0
202606230915,377.26,377.24,377.26,377.24,2.0
202606230916,377.27,377.6,377.6,377.27,2.0
202606230917,377.55,377.67,377.67,377.55,13.0
202606230918,377.5,377.83,377.83,377.5,12.0
202606230919,378.28,378.28,378.28,378.28,1.0
202606230920,378.36,378.27,378.36,378.18,17.0
202606230921,378.0,377.8,378.01,377.8,10.0
202606230922,377.8,377.8,377.8,377.8,0.0
202606230923,377.8,377.8,377.8,377.8,0.0
202606230924,378.4,378.4,378.4,378.24,12.0
202606230925,378.62,379.18,379.18,378.6,12.0
202606230926,378.63,378.88,378.88,378.63,2.0
202606230927,379.07,378.55,379.07,378.51,4.0
202606230928,378.5,378.83,378.83,378.5,6.0
202606230929,378.55,378.75,379.21,378.55,47.0
202606230930,379.0,378.42,379.0,378.0,45.0
202606230931,378.0,378.0,378.3,378.0,8.0
202606230932,377.8,377.92,377.92,377.8,2.0
202606230933,377.67,377.65,377.67,377.65,7.0
202606230934,377.49,377.49,377.5,377.49,25.0
202606230935,377.49,377.49,377.49,377.49,0.0
202606230936,377.49,377.49,377.49,377.49,0.0
202606230937,377.12,377.12,377.12,377.12,12.0
202606230938,377.23,377.05,377.27,377.05,19.0
202606230939,377.17,377.0,377.21,376.62,63.0
202606230940,377.0,377.0,377.0,377.0,0.0
202606230941,377.03,377.09,377.09,377.03,4.0
202606230942,377.24,377.24,377.24,377.24,2.0
202606230943,377.26,377.14,377.33,377.14,12.0
202606230944,377.26,377.26,377.26,377.26,1.0
202606230945,377.09,377.1,377.28,377.01,82.0
202606230946,376.74,376.5,376.74,376.5,14.0
202606230947,376.6,376.6,376.6,376.6,2.0
202606230948,376.73,376.74,376.74,376.73,2.0
202606230949,376.74,376.74,376.74,376.74,0.0
202606230950,376.65,376.7,376.7,376.65,9.0
202606230951,376.8,376.6,376.8,376.5,250.0
202606230952,376.99,376.57,376.99,376.57,16.0
202606230953,376.57,376.57,376.57,376.57,0.0
202606230954,376.95,376.95,377.0,376.95,56.0
202606230955,376.84,377.0,377.09,376.75,44.0
202606230956,377.18,377.18,377.18,377.18,2.0
202606230957,377.38,377.38,377.38,377.38,1.0
