datetime,open,close,high,low,volume
20240625,232.68,230.59,232.68,228.53,50727.0
20240626,230.57,230.6,232.49,229.14,48231.0
20240627,230.0,228.79,230.33,227.37,37386.0
20240628,229.85,231.55,233.6,228.74,52780.0
20240701,232.06,233.81,234.8,231.55,45362.0
20240702,233.75,235.95,236.19,232.97,29522.0
20240703,234.5,235.71,237.58,234.5,21941.0
20240705,234.82,235.63,236.7,233.56,40026.0
20240708,235.19,235.15,239.5,233.76,42835.0
20240709,235.15,237.99,239.2,234.12,30880.0
20240710,237.6,239.0,239.45,235.62,31648.0
20240711,239.28,239.32,240.12,236.96,29873.0
20240712,239.34,238.63,240.26,237.23,44864.0
20240715,239.55,244.99,244.99,239.2,47019.0
20240716,244.75,249.7,249.99,243.8,47169.0
20240717,248.9,251.55,251.61,247.38,33318.0
20240718,251.0,249.67,253.73,247.75,62444.0
20240719,249.0,242.38,259.0,237.65,90591.0
20240722,242.38,245.35,245.61,239.9,41236.0
20240723,245.94,246.0,248.99,243.86,35527.0
20240724,244.52,241.02,245.62,240.67,47568.0
20240725,241.47,240.19,244.96,239.39,73318.0
20240726,242.0,245.91,246.39,241.88,37391.0
20240729,246.41,247.51,247.99,244.31,34963.0
20240730,248.55,252.5,253.68,248.0,35726.0
20240731,254.73,253.13,256.24,250.82,36063.0
20240801,253.8,247.9,255.0,246.41,68408.0
20240802,246.04,232.0,246.65,230.05,111695.0
20240805,226.49,227.74,230.78,222.03,78377.0
20240806,226.96,231.12,233.18,226.5,53781.0
20240807,233.93,227.99,236.17,226.16,44143.0
20240808,231.0,233.54,234.5,231.0,39423.0
20240809,235.0,237.84,238.34,233.09,32506.0
20240812,238.0,236.5,239.0,235.39,29615.0
20240813,238.0,238.99,239.28,236.47,35255.0
20240814,239.73,244.91,244.91,239.0,35899.0
20240815,243.75,249.88,252.0,243.75,44328.0
20240816,249.25,251.65,251.75,248.5,34011.0
20240819,251.06,254.0,254.4,251.06,27585.0
20240820,253.76,252.7,254.72,252.26,23425.0
20240821,252.45,246.3,252.45,243.35,59807.0
20240822,246.5,248.7,248.92,245.75,30381.0
20240823,248.7,251.3,252.17,248.0,30281.0
20240826,251.88,253.88,256.16,251.35,35402.0
20240827,253.0,255.5,256.68,253.0,28982.0
20240828,254.5,256.36,258.63,253.75,40501.0
20240829,255.26,259.94,261.57,255.26,38735.0
20240830,261.0,259.11,261.75,256.1,59042.0
20240903,257.25,254.49,257.5,252.79,48920.0
20240904,253.75,251.74,256.58,250.66,51843.0
20240905,251.8,251.84,253.17,248.37,37559.0
20240906,250.5,243.9,253.57,243.32,56233.0
20240909,246.01,251.07,253.15,246.01,54465.0
20240910,251.5,245.0,252.5,240.59,61604.0
20240911,244.0,253.9,254.63,243.5,50508.0
20240912,254.9,254.75,257.0,252.59,35792.0
20240913,256.5,258.6,260.21,255.75,34911.0
20240916,260.04,261.38,262.85,259.15,35783.0
20240917,261.9,265.35,267.22,261.34,49073.0
20240918,265.65,263.07,266.35,261.0,42159.0
20240919,266.79,268.5,270.1,266.0,53489.0
20240920,269.63,269.8,271.49,266.95,101504.0
20240923,269.29,266.54,272.41,266.54,43724.0
20240924,267.9,266.21,268.5,263.03,34714.0
20240925,267.09,266.28,268.72,265.55,32532.0
20240926,266.29,268.1,268.99,266.29,23607.0
20240927,267.51,271.02,272.68,266.16,35338.0
20240930,270.5,271.2,271.48,267.29,35778.0
20241001,270.94,271.23,271.83,266.51,30577.0
20241002,266.05,271.5,271.5,266.05,27945.0
20241003,271.15,268.59,271.15,267.63,22105.0
20241004,268.58,275.8,276.79,268.58,36270.0
20241007,273.0,272.67,276.31,271.55,44874.0
20241008,273.05,268.53,273.05,266.16,46854.0
20241009,268.26,271.42,271.59,268.13,36870.0
20241010,270.11,270.55,272.9,269.88,35036.0
20241011,270.9,276.0,277.11,270.9,28032.0
20241014,276.51,275.4,277.7,275.11,22832.0
20241015,278.5,277.06,281.42,276.9,35116.0
20241016,277.31,281.9,281.9,277.31,35835.0
20241017,282.89,291.0,291.0,282.48,57916.0
20241018,290.9,276.86,293.0,269.05,136624.0
20241021,276.0,271.49,276.37,269.53,67270.0
20241022,270.01,272.0,272.86,268.58,42190.0
20241023,271.55,271.23,273.35,268.96,30327.0
20241024,271.56,270.5,271.61,268.71,57096.0
20241025,270.46,266.57,273.17,266.34,51352.0
20241028,268.9,271.46,271.97,267.67,36896.0
20241029,270.8,270.19,271.8,269.58,26252.0
20241030,270.42,274.08,275.07,270.27,34986.0
20241031,272.75,270.62,274.08,268.64,37723.0
20241101,271.03,272.75,274.75,270.95,37902.0
20241104,272.49,270.5,272.82,269.71,31799.0
20241105,271.44,279.0,279.0,270.81,27959.0
20241106,283.11,295.16,296.83,278.96,90279.0
20241107,296.03,286.82,296.03,284.64,65443.0
20241108,288.0,287.51,290.11,285.32,28122.0
20241111,288.04,292.5,294.18,287.0,32004.0
20241112,292.21,288.51,293.55,287.58,32196.0
20241113,289.24,288.0,290.61,287.43,35490.0
20241114,289.0,288.3,290.56,287.13,47399.0
20241115,286.59,286.87,290.55,285.49,40172.0
20241118,286.0,285.6,287.52,283.61,25927.0
20241119,284.37,285.55,286.62,280.34,30966.0
20241120,287.32,287.99,288.33,285.09,39230.0
20241121,288.99,293.44,294.07,287.53,38240.0
20241122,292.65,301.97,302.97,292.51,60496.0
20241125,304.2,304.4,305.8,302.5,51212.0
20241126,306.0,306.29,306.97,302.0,30004.0
20241127,306.59,304.23,307.82,302.79,28209.0
20241129,306.97,305.0,307.79,304.55,20348.0
20241202,305.1,302.26,306.85,299.91,32073.0
20241203,303.45,301.54,304.99,301.14,31693.0
20241204,301.16,302.6,303.53,300.71,23509.0
20241205,303.88,300.53,303.89,300.32,43866.0
20241206,300.04,303.99,304.74,300.04,27087.0
20241209,303.54,296.0,305.07,292.42,35173.0
20241210,296.7,302.2,304.98,296.25,45884.0
20241211,301.64,301.5,304.13,299.54,31445.0
20241212,302.41,300.36,304.45,300.26,26471.0
20241213,301.25,302.88,304.32,301.0,25913.0
20241216,303.65,303.57,304.2,300.0,27774.0
