date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,243.334
20240905,-1,-1,243.759
20240906,-1,-1,244.025
20240909,-1,-1,244.4706
20240910,-1,-1,244.7396
20240911,-1,-1,245.1414
20240912,-1,-1,245.5174
20240913,-1,-1,245.9752
20240916,-1,-1,246.4902
20240917,-1,-1,247.0942
20240918,-1,-1,247.5958
20240919,-1,-1,248.1858
20240920,-1,-1,248.7954
20240923,-1,-1,249.3536
20240924,-1,-1,249.778
20240925,-1,-1,250.1096
20240926,-1,-1,250.4406
20240927,-1,-1,250.8676
20240930,-1,-1,251.444
20241001,-1,-1,251.9616
20241002,-1,-1,252.4716
20241003,-1,-1,253.023
20241004,-1,-1,253.7352
20241007,-1,-1,254.2704
20241008,-1,-1,254.6908
20241009,-1,-1,255.0692
20241010,-1,-1,255.4176
20241011,-1,-1,255.9796
20241014,-1,-1,256.8476
20241015,-1,-1,257.834
20241016,-1,-1,258.8496
20241017,-1,-1,260.1098
20241018,-1,-1,260.9762
20241021,-1,-1,261.6492
20241022,-1,-1,262.3592
20241023,-1,-1,263.004
20241024,-1,-1,263.5158
20241025,-1,-1,263.8496
20241028,-1,-1,264.2458
20241029,-1,-1,264.5696
20241030,-1,-1,264.9972
20241031,-1,-1,265.4836
20241101,-1,-1,265.9646
20241104,-1,-1,266.3486
20241105,-1,-1,266.851
20241106,-1,-1,267.6442
20241107,-1,-1,268.2534
20241108,-1,-1,268.8048
20241111,-1,-1,269.4726
20241112,-1,-1,270.153
20241113,-1,-1,270.8782
20241114,-1,-1,271.6074
20241115,-1,-1,272.4668
20241118,-1,-1,273.1574
20241119,-1,-1,273.9684
20241120,-1,-1,274.6502
20241121,-1,-1,275.424
20241122,-1,-1,276.2914
20241125,-1,-1,277.1518
20241126,-1,-1,277.9706
20241127,-1,-1,278.7938
20241129,-1,-1,279.5238
20241202,-1,-1,280.173
20241203,-1,-1,280.873
20241204,-1,-1,281.6008
20241205,-1,-1,282.2858
20241206,-1,-1,283.0036
20241209,-1,-1,283.5032
20241210,-1,-1,284.1232
20241211,-1,-1,284.7286
20241212,-1,-1,285.3058
20241213,-1,-1,285.9916
20241216,-1,-1,286.547
20241217,-1,-1,287.129
20241218,-1,-1,287.5622
20241219,-1,-1,287.984
20241220,-1,-1,288.546
20241223,-1,-1,289.002
20241224,-1,-1,289.5632
20241226,-1,-1,290.092
20241227,-1,-1,290.474
20241230,-1,-1,290.6006
20241231,-1,-1,290.969
20250102,-1,-1,291.5078
20250103,-1,-1,292.1288
20250106,-1,-1,292.7562
20250107,-1,-1,293.3862
20250108,-1,-1,294.0948
20250110,-1,-1,294.5296
20250113,-1,-1,295.0662
20250114,-1,-1,295.5918
20250115,-1,-1,296.4322
20250116,-1,-1,297.2068
20250117,-1,-1,298.048
20250121,-1,-1,298.8368
20250122,-1,-1,299.4074
20250123,-1,-1,300.2106
20250124,-1,-1,300.8934
20250127,-1,-1,301.3664
20250128,-1,-1,301.9362
20250129,-1,272.242,302.5138
20250130,-1,272.8347,303.1378
