datetime,open,close,high,low,volume
20240625,40.06,39.4,40.1,39.35,262739.0
20240626,39.39,38.9,39.45,38.28,342561.0
20240627,38.91,39.27,39.35,38.33,262975.0
20240628,39.31,40.0,40.06,39.0,440365.0
20240701,39.89,39.98,40.34,39.67,241499.0
20240702,39.95,40.93,41.0,39.82,305666.0
20240703,40.97,40.91,41.2,40.75,151096.0
20240705,40.94,40.4,41.0,40.29,179988.0
20240708,40.4,40.66,41.04,40.36,210485.0
20240709,40.75,41.45,41.83,40.6,295322.0
20240710,41.5,41.69,41.76,41.07,203833.0
20240711,41.81,41.9,42.5,41.39,263573.0
20240712,41.94,41.58,41.98,41.09,282819.0
20240715,41.71,41.95,42.23,41.65,303440.0
20240716,42.1,44.18,44.4,41.91,679740.0
20240717,44.02,44.05,44.44,43.56,587762.0
20240718,44.04,43.02,44.24,42.93,419919.0
20240719,42.86,42.7,43.56,42.59,398508.0
20240722,42.24,42.23,42.87,41.56,384041.0
20240723,42.0,42.38,42.78,42.0,330804.0
20240724,42.16,42.4,43.0,42.12,322491.0
20240725,42.28,41.73,42.45,41.65,369208.0
20240726,41.86,41.66,42.05,41.41,448995.0
20240729,41.66,41.05,41.88,40.98,314730.0
20240730,41.14,41.28,41.89,40.81,400851.0
20240731,41.43,40.45,41.49,40.22,430419.0
20240801,40.61,39.4,40.61,38.98,515431.0
20240802,39.0,37.47,39.1,37.18,658243.0
20240805,36.21,36.95,36.96,34.45,649190.0
20240806,36.96,36.81,37.31,36.54,336135.0
20240807,37.2,37.18,38.59,37.0,394928.0
20240808,37.32,38.25,38.42,37.1,313381.0
20240809,38.4,38.25,38.49,37.9,209365.0
20240812,38.28,38.17,38.73,38.01,252107.0
20240813,38.18,38.47,38.48,38.12,193258.0
20240814,38.65,38.81,38.92,38.38,215442.0
20240815,38.95,39.09,39.71,38.82,323730.0
20240816,39.2,39.35,39.42,38.86,232148.0
20240819,39.38,39.54,39.75,39.36,245252.0
20240820,39.6,38.66,39.64,38.34,367271.0
20240821,38.72,38.7,39.0,38.38,304231.0
20240822,38.67,39.27,39.34,38.56,302315.0
20240823,39.28,39.77,40.17,39.27,376046.0
20240826,39.8,39.9,40.2,39.66,391921.0
20240827,39.97,39.62,40.13,39.61,286605.0
20240828,39.54,39.8,40.27,39.13,364275.0
20240829,39.75,40.2,40.34,39.53,313749.0
20240830,40.25,40.68,40.86,40.13,359631.0
20240903,40.73,40.69,40.97,40.23,414075.0
20240904,40.5,40.48,40.95,40.28,311220.0
20240905,40.51,40.1,40.94,40.01,276267.0
20240906,39.8,38.68,40.07,38.56,406840.0
20240909,38.82,40.33,40.42,38.82,306127.0
20240910,40.07,39.12,40.16,38.32,463491.0
20240911,39.01,38.95,39.24,38.01,328492.0
20240912,39.3,38.86,39.33,38.52,317436.0
20240913,38.76,38.58,39.09,38.44,263975.0
20240916,38.72,39.14,39.21,38.6,227436.0
20240917,39.12,39.58,39.8,39.11,239654.0
20240918,39.54,39.72,40.12,39.41,390891.0
20240919,40.0,40.85,41.05,39.86,541153.0
20240920,40.79,40.31,41.03,40.24,559141.0
20240923,40.1,39.84,40.44,39.75,278388.0
20240924,39.88,39.43,39.99,39.25,282439.0
20240925,39.35,39.26,39.5,38.94,257378.0
20240926,39.4,39.56,39.72,39.11,309022.0
20240927,39.55,39.4,39.9,39.35,226137.0
20240930,39.32,39.65,39.79,39.02,283953.0
20241001,39.61,39.1,39.65,38.94,226158.0
20241002,39.2,39.23,39.54,39.03,203613.0
20241003,39.07,39.27,39.29,38.72,199474.0
20241004,39.26,40.05,40.25,39.26,298571.0
