date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,40.2332
20240905,-1,-1,40.2472
20240906,-1,-1,40.2428
20240909,-1,-1,40.264
20240910,-1,-1,40.2464
20240911,-1,-1,40.2258
20240912,-1,-1,40.1844
20240913,-1,-1,40.1378
20240916,-1,-1,40.1126
20240917,-1,-1,40.091
20240918,-1,-1,40.0564
20240919,-1,-1,40.0396
20240920,-1,-1,40.0078
20240923,-1,-1,39.973
20240924,-1,-1,39.9226
20240925,-1,-1,39.8242
20240926,-1,-1,39.7344
20240927,-1,-1,39.662
20240930,-1,-1,39.601
20241001,-1,-1,39.5384
20241002,-1,-1,39.4754
20241003,-1,-1,39.4128
20241004,-1,-1,39.3792
20241007,-1,-1,39.3446
20241008,-1,-1,39.3216
20241009,-1,-1,39.2972
20241010,-1,-1,39.2874
20241011,-1,-1,39.339
20241014,-1,-1,39.4306
20241015,-1,-1,39.535
20241016,-1,-1,39.6544
20241017,-1,-1,39.7622
20241018,-1,-1,39.8438
20241021,-1,-1,39.9158
20241022,-1,-1,39.998
20241023,-1,-1,40.0756
20241024,-1,-1,40.1516
20241025,-1,-1,40.2074
20241028,-1,-1,40.2726
20241029,-1,-1,40.3282
20241030,-1,-1,40.4034
20241031,-1,-1,40.4666
20241101,-1,-1,40.5172
20241104,-1,-1,40.548
20241105,-1,-1,40.5996
20241106,-1,-1,40.7128
20241107,-1,-1,40.8144
20241108,-1,-1,40.9136
20241111,-1,-1,41.024
20241112,-1,-1,41.1266
20241113,-1,-1,41.235
20241114,-1,-1,41.3492
20241115,-1,-1,41.5108
20241118,-1,-1,41.6386
20241119,-1,-1,41.7854
20241120,-1,-1,41.927
20241121,-1,-1,42.0786
20241122,-1,-1,42.249
20241125,-1,-1,42.412
20241126,-1,-1,42.576
20241127,-1,-1,42.738
20241129,-1,-1,42.872
20241202,-1,-1,43.0074
20241203,-1,-1,43.1466
20241204,-1,-1,43.2854
20241205,-1,-1,43.4402
20241206,-1,-1,43.5848
20241209,-1,-1,43.7168
20241210,-1,-1,43.8398
20241211,-1,-1,43.9794
20241212,-1,-1,44.1196
20241213,-1,-1,44.2476
20241216,-1,-1,44.3554
20241217,-1,-1,44.4578
20241218,-1,-1,44.5352
20241219,-1,-1,44.599
20241220,-1,-1,44.6858
20241223,-1,-1,44.7246
20241224,-1,-1,44.7708
20241226,-1,-1,44.8168
20241227,-1,-1,44.849
20241230,-1,-1,44.8746
20241231,-1,-1,44.9074
20250102,-1,-1,44.9574
20250103,-1,-1,45.0072
20250106,-1,-1,45.0712
20250107,-1,-1,45.1416
20250108,-1,-1,45.227
20250110,-1,-1,45.2758
20250113,-1,-1,45.3318
20250114,-1,-1,45.4024
20250115,-1,-1,45.5144
20250116,-1,-1,45.609
20250117,-1,-1,45.7148
20250121,-1,-1,45.7982
20250122,-1,-1,45.8074
20250123,-1,-1,45.8372
20250124,-1,-1,45.8642
20250127,-1,-1,45.8816
20250128,-1,-1,45.9016
20250129,-1,42.4633,45.9216
20250130,-1,42.5121,45.9398
