datetime,open,close,high,low,volume
202606230800,57.13,57.13,57.13,57.12,1.0
202606230801,57.13,57.13,57.13,57.13,0.0
202606230802,57.13,57.13,57.13,57.13,0.0
202606230803,57.13,57.13,57.13,57.13,0.0
202606230804,57.13,57.13,57.13,57.13,0.0
202606230805,57.13,57.13,57.13,57.13,0.0
202606230806,57.2,57.2,57.2,57.2,3.0
202606230807,57.19,57.19,57.19,57.19,3.0
202606230808,57.19,57.19,57.19,57.19,0.0
202606230809,57.19,57.19,57.19,57.19,0.0
202606230810,57.19,57.19,57.19,57.19,0.0
202606230811,57.16,57.05,57.17,57.05,10.0
202606230812,57.17,57.1,57.17,57.1,2.0
202606230813,57.1,57.1,57.1,57.1,0.0
202606230814,57.1,57.1,57.1,57.1,0.0
202606230815,57.1,57.1,57.1,57.1,0.0
202606230816,57.1,57.1,57.1,57.1,0.0
202606230817,57.1,57.1,57.1,57.1,0.0
202606230818,57.1,57.1,57.1,57.1,0.0
202606230819,57.1,57.1,57.1,57.1,0.0
202606230820,57.1,57.1,57.1,57.1,0.0
202606230821,57.1,57.1,57.1,57.1,0.0
202606230822,57.1,57.1,57.1,57.1,0.0
202606230823,57.1,57.1,57.1,57.1,0.0
202606230824,57.1,57.1,57.1,57.1,0.0
202606230825,57.1,57.1,57.1,57.1,0.0
202606230826,57.04,57.04,57.04,57.04,1.0
202606230827,57.04,57.04,57.04,57.04,0.0
202606230828,57.04,57.04,57.04,57.04,0.0
202606230829,57.04,57.04,57.04,57.04,0.0
202606230830,57.3,57.3,57.3,57.3,2.0
202606230831,57.3,57.3,57.3,57.3,0.0
202606230832,57.3,57.3,57.3,57.3,0.0
202606230833,57.3,57.3,57.3,57.3,0.0
202606230834,57.36,57.36,57.36,57.36,4.0
202606230835,57.36,57.36,57.36,57.36,0.0
202606230836,57.3,57.3,57.3,57.3,1.0
202606230837,57.36,57.36,57.36,57.36,4.0
202606230838,57.36,57.36,57.36,57.36,0.0
202606230839,57.36,57.36,57.36,57.36,0.0
202606230840,57.36,57.36,57.36,57.36,0.0
202606230841,57.36,57.36,57.36,57.36,0.0
202606230842,57.36,57.36,57.36,57.36,0.0
202606230843,57.36,57.36,57.36,57.36,0.0
202606230844,57.36,57.36,57.36,57.36,0.0
202606230845,57.36,57.36,57.36,57.36,0.0
202606230846,57.33,57.33,57.33,57.33,2.0
202606230847,57.33,57.33,57.33,57.33,0.0
202606230848,57.33,57.33,57.33,57.33,0.0
202606230849,57.33,57.33,57.33,57.33,0.0
202606230850,57.33,57.33,57.33,57.33,0.0
202606230851,57.33,57.33,57.33,57.33,0.0
202606230852,57.33,57.33,57.33,57.33,0.0
202606230853,57.33,57.33,57.33,57.33,0.0
202606230854,57.36,57.36,57.36,57.36,2.0
202606230855,57.36,57.36,57.36,57.36,0.0
202606230856,57.36,57.36,57.36,57.36,0.0
202606230857,57.36,57.36,57.36,57.36,0.0
202606230858,57.36,57.36,57.36,57.36,0.0
202606230859,57.36,57.36,57.36,57.36,0.0
202606230900,57.36,57.36,57.36,57.36,0.0
202606230901,57.36,57.36,57.36,57.36,0.0
202606230902,57.36,57.36,57.36,57.36,0.0
202606230903,57.36,57.36,57.36,57.36,0.0
202606230904,57.29,57.29,57.3,57.29,1.0
202606230905,57.36,57.36,57.36,57.36,1.0
202606230906,57.36,57.36,57.36,57.36,0.0
202606230907,57.36,57.36,57.36,57.36,0.0
202606230908,57.36,57.36,57.36,57.36,0.0
202606230909,57.36,57.36,57.36,57.36,0.0
202606230910,57.36,57.36,57.36,57.36,0.0
202606230911,57.22,57.22,57.22,57.22,1.0
202606230912,57.21,57.21,57.21,57.21,100.0
202606230913,57.21,57.21,57.21,57.21,0.0
202606230914,57.21,57.21,57.21,57.21,0.0
202606230915,57.21,57.21,57.21,57.21,0.0
202606230916,57.21,57.21,57.21,57.21,0.0
202606230917,57.21,57.21,57.21,57.21,0.0
202606230918,57.21,57.21,57.21,57.21,0.0
202606230919,57.21,57.21,57.21,57.21,0.0
202606230920,57.21,57.21,57.21,57.21,0.0
202606230921,57.21,57.21,57.21,57.21,0.0
202606230922,57.21,57.21,57.21,57.21,0.0
202606230923,57.21,57.21,57.21,57.21,0.0
202606230924,57.21,57.21,57.21,57.21,0.0
202606230925,57.21,57.21,57.21,57.21,0.0
202606230926,57.21,57.21,57.21,57.21,0.0
202606230927,57.33,57.33,57.33,57.33,1.0
202606230928,57.33,57.33,57.33,57.33,0.0
202606230929,57.33,57.33,57.33,57.33,0.0
202606230930,57.33,57.33,57.33,57.33,0.0
202606230931,57.33,57.33,57.33,57.33,0.0
202606230932,57.21,57.18,57.22,57.18,5.0
202606230933,57.18,57.18,57.18,57.18,0.0
202606230934,57.18,57.18,57.18,57.18,0.0
202606230935,57.18,57.18,57.18,57.18,0.0
202606230936,57.18,57.18,57.18,57.18,0.0
202606230937,57.18,57.18,57.18,57.18,0.0
202606230938,57.18,57.18,57.18,57.18,0.0
202606230939,57.18,57.18,57.18,57.18,0.0
202606230940,57.18,57.18,57.18,57.18,0.0
202606230941,57.18,57.18,57.18,57.18,0.0
202606230942,57.18,57.18,57.18,57.18,0.0
202606230943,57.18,57.18,57.18,57.18,0.0
202606230944,57.18,57.18,57.18,57.18,0.0
202606230945,57.18,57.18,57.18,57.18,0.0
202606230946,57.23,57.22,57.24,57.04,8.0
202606230947,57.22,57.22,57.22,57.22,0.0
202606230948,57.22,57.22,57.22,57.22,0.0
202606230949,57.22,57.22,57.22,57.22,0.0
202606230950,57.22,57.22,57.22,57.22,0.0
202606230951,57.22,57.22,57.22,57.22,0.0
202606230952,57.22,57.22,57.22,57.22,0.0
202606230953,57.22,57.22,57.22,57.22,0.0
202606230954,57.22,57.22,57.22,57.22,0.0
202606230955,57.22,57.22,57.22,57.22,0.0
202606230956,57.22,57.22,57.22,57.22,0.0
202606230957,57.22,57.22,57.22,57.22,0.0
202606230958,57.22,57.22,57.22,57.22,0.0
202606230959,57.22,57.22,57.22,57.22,0.0
202606231000,57.22,57.22,57.22,57.22,0.0
202606231001,57.22,57.22,57.22,57.22,0.0
202606231002,57.22,57.22,57.22,57.22,0.0
202606231003,57.22,57.22,57.22,57.22,0.0
202606231004,57.22,57.22,57.22,57.22,0.0
202606231005,57.22,57.22,57.22,57.22,0.0
202606231006,57.22,57.22,57.22,57.22,0.0
202606231007,57.22,57.23,57.23,57.22,4.0
202606231008,57.23,57.23,57.23,57.23,0.0
202606231009,57.23,57.23,57.23,57.23,0.0
202606231010,57.23,57.23,57.23,57.23,0.0
202606231011,57.23,57.23,57.23,57.23,0.0
202606231012,57.23,57.23,57.23,57.23,0.0
202606231013,57.23,57.23,57.23,57.23,0.0
202606231014,57.23,57.23,57.23,57.23,0.0
202606231015,57.23,57.23,57.23,57.23,0.0
202606231016,57.23,57.23,57.23,57.23,0.0
202606231017,57.23,57.23,57.23,57.23,0.0
202606231018,57.23,57.23,57.23,57.23,0.0
202606231019,57.23,57.23,57.23,57.23,0.0
202606231020,57.23,57.23,57.23,57.23,0.0
202606231021,57.23,57.23,57.23,57.23,0.0
202606231022,57.23,57.23,57.23,57.23,0.0
202606231023,57.23,57.23,57.23,57.23,0.0
202606231024,57.23,57.23,57.23,57.23,0.0
202606231025,57.23,57.23,57.23,57.23,0.0
202606231026,57.23,57.23,57.23,57.23,0.0
202606231027,57.23,57.23,57.23,57.23,0.0
202606231028,57.23,57.23,57.23,57.23,0.0
202606231029,57.23,57.23,57.23,57.23,0.0
202606231030,57.23,57.23,57.23,57.23,0.0
202606231031,57.23,57.23,57.23,57.23,0.0
202606231032,57.23,57.23,57.23,57.23,0.0
202606231033,57.23,57.23,57.23,57.23,0.0
202606231034,57.23,57.23,57.23,57.23,0.0
202606231035,57.23,57.23,57.23,57.23,0.0
202606231036,57.23,57.23,57.23,57.23,0.0
202606231037,57.23,57.23,57.23,57.23,0.0
202606231038,57.23,57.23,57.23,57.23,0.0
202606231039,57.23,57.23,57.23,57.23,0.0
202606231040,57.23,57.23,57.23,57.23,0.0
202606231041,57.23,57.23,57.23,57.23,6.0
202606231042,57.23,57.23,57.23,57.23,0.0
202606231043,57.23,57.23,57.23,57.23,0.0
202606231044,57.23,57.23,57.23,57.23,0.0
202606231045,57.23,57.23,57.23,57.23,0.0
202606231046,57.23,57.23,57.23,57.23,0.0
202606231047,57.23,57.23,57.23,57.23,0.0
202606231048,57.23,57.23,57.23,57.23,0.0
202606231049,57.23,57.23,57.23,57.23,0.0
202606231050,57.23,57.23,57.23,57.23,0.0
202606231051,57.23,57.23,57.23,57.23,2.0
202606231052,57.23,57.23,57.23,57.23,0.0
202606231053,57.23,57.23,57.23,57.23,0.0
202606231054,57.23,57.23,57.23,57.23,0.0
202606231055,57.23,57.23,57.23,57.23,0.0
202606231056,57.23,57.23,57.23,57.23,0.0
202606231057,57.23,57.23,57.23,57.23,0.0
202606231058,57.23,57.23,57.23,57.23,0.0
202606231059,57.23,57.23,57.23,57.23,0.0
202606231100,57.23,57.23,57.23,57.23,0.0
202606231101,57.11,57.28,57.28,57.11,7.0
202606231102,57.11,57.11,57.11,57.11,1.0
202606231103,57.11,57.11,57.11,57.11,0.0
202606231104,57.11,57.11,57.11,57.11,0.0
202606231105,57.11,57.11,57.11,57.11,0.0
202606231106,57.11,57.11,57.11,57.11,0.0
202606231107,57.11,57.11,57.11,57.11,0.0
202606231108,57.15,57.15,57.15,57.15,2.0
202606231109,57.18,57.18,57.18,57.17,1.0
202606231110,57.18,57.18,57.18,57.18,0.0
202606231111,57.19,57.19,57.19,57.19,4.0
202606231112,57.19,57.19,57.19,57.19,0.0
202606231113,57.19,57.19,57.19,57.19,0.0
202606231114,57.19,57.19,57.19,57.19,0.0
202606231115,57.2,57.2,57.2,57.2,1.0
202606231116,57.2,57.2,57.2,57.2,0.0
202606231117,57.2,57.2,57.2,57.2,0.0
202606231118,57.2,57.2,57.2,57.2,0.0
202606231119,57.25,57.25,57.25,57.25,4.0
202606231120,57.25,57.25,57.25,57.25,0.0
202606231121,57.25,57.25,57.25,57.25,0.0
202606231122,57.28,57.28,57.28,57.28,5.0
202606231123,57.28,57.28,57.28,57.28,0.0
202606231124,57.28,57.28,57.28,57.28,0.0
202606231125,57.19,57.29,57.29,57.19,7.0
202606231126,57.29,57.29,57.29,57.29,0.0
202606231127,57.29,57.29,57.29,57.29,0.0
202606231128,57.29,57.29,57.29,57.29,0.0
202606231129,57.29,57.29,57.29,57.29,0.0
202606231130,57.29,57.29,57.29,57.29,0.0
202606231131,57.28,57.28,57.29,57.28,21.0
202606231132,57.28,57.28,57.28,57.28,0.0
202606231133,57.28,57.28,57.28,57.28,0.0
202606231134,57.28,57.28,57.28,57.28,0.0
202606231135,57.28,57.28,57.28,57.28,0.0
202606231136,57.28,57.28,57.28,57.28,0.0
202606231137,57.28,57.28,57.28,57.28,0.0
202606231138,57.28,57.28,57.28,57.28,0.0
202606231139,57.28,57.28,57.28,57.28,0.0
202606231140,57.28,57.28,57.28,57.28,0.0
202606231141,57.28,57.28,57.28,57.28,0.0
202606231142,57.28,57.28,57.28,57.28,0.0
202606231143,57.28,57.28,57.28,57.28,0.0
202606231144,57.28,57.28,57.28,57.28,0.0
202606231145,57.28,57.28,57.28,57.28,0.0
202606231146,57.28,57.28,57.28,57.28,0.0
202606231147,57.28,57.28,57.28,57.28,0.0
202606231148,57.28,57.28,57.28,57.28,0.0
202606231149,57.28,57.28,57.28,57.28,0.0
202606231150,57.28,57.28,57.28,57.28,0.0
202606231151,57.28,57.28,57.28,57.28,0.0
202606231152,57.28,57.28,57.28,57.28,0.0
202606231153,57.28,57.28,57.28,57.28,0.0
202606231154,57.28,57.28,57.28,57.28,0.0
202606231155,57.28,57.28,57.28,57.28,0.0
202606231156,57.3,57.3,57.3,57.3,4.0
202606231157,57.33,57.33,57.33,57.33,13.0
202606231158,57.33,57.33,57.33,57.33,0.0
202606231159,57.33,57.33,57.33,57.33,0.0
202606231200,57.33,57.33,57.33,57.33,0.0
202606231201,57.33,57.33,57.33,57.33,0.0
202606231202,57.35,57.35,57.36,57.35,1.0
202606231203,57.35,57.35,57.35,57.35,0.0
202606231204,57.37,57.37,57.37,57.37,7.0
202606231205,57.37,57.37,57.37,57.37,0.0
202606231206,57.37,57.37,57.37,57.37,0.0
202606231207,57.37,57.37,57.37,57.37,0.0
202606231208,57.37,57.37,57.37,57.37,0.0
202606231209,57.37,57.37,57.37,57.37,0.0
202606231210,57.4,57.4,57.4,57.4,3.0
