datetime,open,close,high,low,volume
20240625,330.0,327.89,330.0,324.37,49147.0
20240626,329.0,326.03,329.95,323.78,32479.0
20240627,326.14,327.5,329.23,324.67,32562.0
20240628,328.77,333.69,334.55,328.32,139727.0
20240701,334.0,328.55,335.29,325.37,45541.0
20240702,328.0,327.76,330.09,325.58,34118.0
20240703,328.94,330.61,331.41,328.26,22391.0
20240705,331.98,328.35,333.44,326.63,37285.0
20240708,328.65,329.06,333.26,327.14,29567.0
20240709,329.5,326.06,330.12,325.83,31646.0
20240710,326.86,328.21,328.48,321.64,47546.0
20240711,328.39,331.5,334.43,328.39,44478.0
20240712,332.65,335.98,338.23,332.1,38721.0
20240715,337.99,346.99,347.9,337.15,51679.0
20240716,346.7,360.4,362.28,345.26,70154.0
20240717,360.5,358.8,362.69,356.0,47985.0
20240718,357.3,356.03,369.23,355.66,62884.0
20240719,356.1,347.22,356.49,346.69,54828.0
20240722,347.98,347.8,348.73,341.37,39655.0
20240723,347.0,343.81,348.66,341.38,29367.0
20240724,342.5,336.3,344.82,335.45,42576.0
20240725,336.5,345.34,348.2,333.95,57353.0
20240726,346.77,350.52,352.94,346.77,29616.0
20240729,352.39,344.53,353.25,343.13,37650.0
20240730,344.3,341.37,345.72,338.62,32567.0
20240731,345.0,346.8,350.99,340.85,40708.0
20240801,346.22,330.01,349.83,328.07,63184.0
20240802,328.25,320.87,329.0,317.66,74377.0
20240805,310.0,316.85,320.58,303.25,74154.0
20240806,321.61,325.5,340.26,310.5,84922.0
20240807,331.51,325.5,335.18,322.58,50969.0
20240808,324.95,336.99,336.99,324.95,37698.0
20240809,337.85,338.33,338.5,332.48,25805.0
20240812,338.26,337.0,339.85,333.59,38290.0
20240813,337.0,338.8,339.52,333.73,24352.0
20240814,338.8,336.74,341.79,334.6,28387.0
20240815,339.0,345.65,347.64,339.0,59409.0
20240816,346.0,344.0,346.0,340.76,43749.0
20240819,343.7,344.99,346.1,343.3,38815.0
20240820,345.5,343.3,346.73,341.82,23366.0
20240821,344.58,343.3,345.6,341.85,21534.0
20240822,343.0,342.5,345.14,341.77,24205.0
20240823,344.97,348.41,349.55,343.07,38326.0
20240826,350.0,351.14,354.41,348.93,26543.0
20240827,351.17,351.11,351.72,347.1,18157.0
20240828,350.5,346.0,354.43,345.84,18371.0
20240829,348.56,351.68,356.46,347.49,25489.0
20240830,354.9,356.22,356.24,348.75,55344.0
20240903,353.75,339.6,356.1,338.4,50084.0
20240904,339.35,336.0,340.85,335.29,54103.0
20240905,336.0,333.47,336.83,330.56,40446.0
20240906,333.35,329.0,338.62,328.0,45657.0
20240909,331.38,334.1,336.36,330.0,37762.0
20240910,334.04,334.16,336.49,329.39,31481.0
20240911,333.76,335.0,335.48,326.11,31664.0
20240912,336.99,339.64,341.04,333.68,28821.0
20240913,341.92,345.31,347.22,340.35,37784.0
20240916,344.26,347.96,351.46,344.26,24061.0
20240917,348.89,353.69,354.58,348.15,31196.0
20240918,354.71,356.0,361.63,352.32,33450.0
20240919,361.7,373.31,374.69,360.5,72289.0
20240920,372.26,370.26,373.29,365.84,94434.0
20240923,370.24,371.0,372.97,366.97,43664.0
20240924,373.09,386.2,389.43,373.09,64452.0
20240925,384.65,378.78,388.64,377.92,40636.0
20240926,382.41,391.49,397.22,382.41,61036.0
20240927,390.0,390.5,395.56,389.13,42833.0
20240930,392.0,391.05,393.0,386.82,39799.0
20241001,390.01,392.0,395.49,386.63,33269.0
20241002,392.62,395.0,395.66,388.63,28709.0
20241003,392.0,391.49,394.0,388.72,28070.0
20241004,394.0,397.08,397.46,391.85,26167.0
20241007,396.1,398.25,401.17,396.08,36101.0
20241008,391.96,388.15,395.0,384.84,39302.0
20241009,387.4,396.19,396.6,387.4,28685.0
20241010,396.0,396.35,397.0,390.5,20678.0
20241011,396.64,402.02,403.6,396.64,37126.0
20241014,395.0,393.96,396.29,386.87,49862.0
20241015,392.31,388.1,393.53,387.5,45027.0
20241016,389.94,393.62,394.6,386.92,24628.0
20241017,394.15,394.49,397.12,393.16,22687.0
20241018,395.85,393.86,396.52,389.72,59268.0
