date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,339.1518
20240905,-1,-1,339.2634
20240906,-1,-1,339.3228
20240909,-1,-1,339.4548
20240910,-1,-1,339.4642
20240911,-1,-1,339.5932
20240912,-1,-1,339.8308
20240913,-1,-1,340.1248
20240916,-1,-1,340.517
20240917,-1,-1,341.0096
20240918,-1,-1,341.6084
20240919,-1,-1,342.5104
20240920,-1,-1,343.2856
20240923,-1,-1,343.986
20240924,-1,-1,344.7702
20240925,-1,-1,345.1378
20240926,-1,-1,345.7916
20240927,-1,-1,346.481
20240930,-1,-1,347.3576
20241001,-1,-1,348.2416
20241002,-1,-1,349.2654
20241003,-1,-1,350.3692
20241004,-1,-1,351.404
20241007,-1,-1,352.3586
20241008,-1,-1,353.231
20241009,-1,-1,354.3274
20241010,-1,-1,355.3184
20241011,-1,-1,356.7586
20241014,-1,-1,358.2204
20241015,-1,-1,359.6454
20241016,-1,-1,361.0078
20241017,-1,-1,362.3876
20241018,-1,-1,363.525
20241021,-1,-1,364.568
20241022,-1,-1,365.5972
20241023,-1,-1,366.5272
20241024,-1,-1,367.5336
20241025,-1,-1,368.34
20241028,-1,-1,369.268
20241029,-1,-1,370.1046
20241030,-1,-1,370.8336
20241031,-1,-1,371.4784
20241101,-1,-1,372.2282
20241104,-1,-1,372.8
20241105,-1,-1,373.4712
20241106,-1,-1,374.77
20241107,-1,-1,376.0296
20241108,-1,-1,376.866
20241111,-1,-1,377.6724
20241112,-1,-1,378.7406
20241113,-1,-1,379.7706
20241114,-1,-1,380.8484
20241115,-1,-1,381.9578
20241118,-1,-1,382.965
20241119,-1,-1,383.9284
20241120,-1,-1,384.8584
20241121,-1,-1,385.8654
20241122,-1,-1,386.9108
20241125,-1,-1,388.0116
20241126,-1,-1,389.0944
20241127,-1,-1,390.0644
20241129,-1,-1,390.7322
20241202,-1,-1,391.3866
20241203,-1,-1,391.9372
20241204,-1,-1,392.1932
20241205,-1,-1,392.5374
20241206,-1,-1,392.6082
20241209,-1,-1,392.7942
20241210,-1,-1,392.7426
20241211,-1,-1,392.68
20241212,-1,-1,392.4
20241213,-1,-1,392.1804
20241216,-1,-1,391.8172
20241217,-1,-1,391.3524
20241218,-1,-1,390.8672
20241219,-1,-1,390.1434
20241220,-1,-1,389.5372
20241223,-1,-1,388.8098
20241224,-1,-1,388.2756
20241226,-1,-1,387.8558
20241227,-1,-1,387.2806
20241230,-1,-1,386.6408
20241231,-1,-1,386.0186
20250102,-1,-1,385.4044
20250103,-1,-1,384.915
20250106,-1,-1,384.5
20250107,-1,-1,384.0188
20250108,-1,-1,383.5208
20250110,-1,-1,382.7258
20250113,-1,-1,382.259
20250114,-1,-1,382.1108
20250115,-1,-1,382.106
20250116,-1,-1,382.117
20250117,-1,-1,382.2974
20250121,-1,-1,382.5634
20250122,-1,-1,382.1922
20250123,-1,-1,382.1406
20250124,-1,-1,382.4286
20250127,-1,-1,382.388
20250128,-1,-1,382.3246
20250129,-1,367.139,382.4946
20250130,-1,367.4581,382.2624
