datetime,open,close,high,low,volume
20240625,36.22,35.97,36.43,35.54,122986.0
20240626,35.8,35.77,36.01,35.24,145402.0
20240627,35.79,35.96,35.96,35.55,119452.0
20240628,35.95,36.82,36.83,35.94,302476.0
20240701,36.69,36.02,36.74,35.65,124871.0
20240702,35.8,35.77,35.97,35.38,115799.0
20240703,35.56,35.62,35.89,35.33,68669.0
20240705,36.16,35.43,36.16,35.3,90960.0
20240708,35.42,34.94,35.6,34.85,135425.0
20240709,35.21,35.32,35.32,34.79,112834.0
20240710,35.28,35.0,35.3,34.79,157562.0
20240711,35.03,35.41,35.78,34.99,168464.0
20240712,35.37,35.72,35.95,35.37,152014.0
20240715,35.97,36.49,36.95,35.73,156762.0
20240716,36.53,37.08,37.16,36.4,153709.0
20240717,37.43,38.02,38.17,37.1,228490.0
20240718,37.98,37.49,38.6,37.3,149439.0
20240719,37.68,37.76,38.38,37.34,173937.0
20240722,37.46,36.72,37.65,36.33,206730.0
20240723,36.8,36.17,38.4,34.62,274528.0
20240724,36.13,35.68,36.51,35.02,217661.0
20240725,36.06,36.18,36.88,35.7,162673.0
20240726,36.2,37.14,37.58,35.82,200430.0
20240729,37.41,38.11,38.2,37.01,207679.0
20240730,38.13,38.17,38.48,37.83,220843.0
20240731,38.32,38.65,39.0,37.94,222154.0
20240801,38.32,37.89,38.8,37.67,195436.0
20240802,37.49,37.19,38.85,37.0,235336.0
20240805,36.82,37.0,38.53,36.17,198793.0
20240806,36.81,36.81,36.99,36.28,132667.0
20240807,36.55,35.93,37.11,35.9,138188.0
20240808,36.09,36.66,36.95,35.95,111033.0
20240809,36.87,36.61,36.97,36.25,112055.0
20240812,36.73,36.12,37.06,36.04,114099.0
20240813,36.24,36.83,36.83,36.12,127432.0
20240814,36.54,36.55,36.82,36.32,125965.0
20240815,36.63,37.15,37.16,36.46,150216.0
20240816,37.04,37.13,37.31,36.89,129458.0
20240819,37.21,37.78,37.85,36.78,115084.0
20240820,37.72,37.46,37.79,37.43,121344.0
20240821,37.69,37.55,37.75,37.28,84171.0
20240822,37.29,36.78,37.62,36.7,81894.0
20240823,37.06,37.31,37.42,36.78,89475.0
20240826,37.53,37.65,37.9,37.34,93518.0
20240827,37.59,37.58,37.98,37.58,117081.0
20240828,37.34,37.52,37.95,37.34,98346.0
20240829,37.72,37.0,37.72,36.9,190934.0
20240830,37.1,37.28,37.36,36.69,186322.0
20240903,37.25,37.05,37.37,36.92,171369.0
20240904,37.27,36.23,37.64,35.97,226651.0
20240905,36.23,37.43,37.47,36.17,170946.0
20240906,37.01,36.99,37.8,36.77,147752.0
20240909,37.12,37.21,37.5,36.49,118758.0
20240910,37.22,36.68,37.43,36.45,121793.0
20240911,36.67,36.23,36.67,35.73,147125.0
20240912,36.09,36.91,36.91,35.8,152884.0
20240913,36.84,37.04,37.37,36.75,104660.0
20240916,37.09,36.87,37.52,36.71,154026.0
20240917,36.99,36.77,37.3,36.74,119559.0
20240918,36.83,37.46,37.58,36.07,154007.0
20240919,37.42,37.58,38.47,37.42,151685.0
20240920,37.53,37.6,38.07,37.42,441205.0
20240923,37.55,38.16,38.33,37.53,189382.0
20240924,38.32,38.62,38.86,38.04,158547.0
20240925,38.74,37.95,38.74,37.86,130257.0
20240926,38.14,38.39,38.48,37.87,156704.0
20240927,38.43,39.01,39.42,38.43,148580.0
20240930,39.04,39.11,39.25,38.69,160446.0
20241001,39.23,39.06,39.32,38.57,153757.0
20241002,38.9,38.69,39.21,38.64,99257.0
20241003,38.67,38.15,38.67,37.97,92492.0
20241004,38.22,38.43,38.75,38.09,102540.0
20241007,38.42,37.94,38.59,37.93,128382.0
20241008,38.11,38.36,38.44,37.83,118425.0
20241009,38.36,38.64,38.82,38.16,97564.0
20241010,38.6,38.49,39.3,38.37,108942.0
20241011,38.5,38.84,39.08,38.34,97604.0
20241014,38.78,39.19,39.39,38.65,111199.0
20241015,39.03,39.36,40.07,39.03,129902.0
20241016,39.44,39.64,39.92,39.43,100705.0
20241017,39.49,39.81,40.05,39.02,121356.0
20241018,39.45,39.28,39.69,39.17,126678.0
20241021,39.05,38.07,39.33,37.9,152284.0
20241022,37.94,38.92,39.63,37.77,173018.0
20241023,39.2,38.87,39.27,38.61,152765.0
20241024,38.96,39.01,39.35,38.72,131774.0
20241025,39.02,39.03,39.91,38.88,134745.0
20241028,39.07,39.21,39.33,38.99,144170.0
20241029,39.21,39.48,39.8,38.88,166351.0
20241030,39.44,39.93,40.09,39.08,217313.0
20241031,39.96,40.84,43.26,39.96,315398.0
20241101,40.71,41.55,41.86,40.44,219661.0
20241104,40.91,39.89,41.03,39.73,192361.0
20241105,39.81,40.05,40.34,39.65,149179.0
20241106,41.03,42.26,42.44,40.3,287394.0
20241107,42.27,41.4,42.29,41.36,157475.0
20241108,41.69,41.13,42.12,40.89,190228.0
20241111,41.21,41.36,41.97,40.92,96727.0
20241112,41.62,41.2,41.9,41.03,120402.0
20241113,41.23,41.13,41.4,40.76,103797.0
