date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,36.7294
20240905,-1,-1,36.7586
20240906,-1,-1,36.783
20240909,-1,-1,36.808
20240910,-1,-1,36.8052
20240911,-1,-1,36.8094
20240912,-1,-1,36.8322
20240913,-1,-1,36.8606
20240916,-1,-1,36.8894
20240917,-1,-1,36.926
20240918,-1,-1,36.9688
20240919,-1,-1,37.0204
20240920,-1,-1,37.0642
20240923,-1,-1,37.113
20240924,-1,-1,37.1556
20240925,-1,-1,37.173
20240926,-1,-1,37.1804
20240927,-1,-1,37.2108
20240930,-1,-1,37.2378
20241001,-1,-1,37.2846
20241002,-1,-1,37.335
20241003,-1,-1,37.3844
20241004,-1,-1,37.4294
20241007,-1,-1,37.4454
20241008,-1,-1,37.4504
20241009,-1,-1,37.4598
20241010,-1,-1,37.4566
20241011,-1,-1,37.4756
20241014,-1,-1,37.5156
20241015,-1,-1,37.5628
20241016,-1,-1,37.6194
20241017,-1,-1,37.697
20241018,-1,-1,37.7494
20241021,-1,-1,37.7786
20241022,-1,-1,37.8346
20241023,-1,-1,37.8754
20241024,-1,-1,37.9246
20241025,-1,-1,37.9622
20241028,-1,-1,38.0038
20241029,-1,-1,38.0378
20241030,-1,-1,38.0872
20241031,-1,-1,38.153
20241101,-1,-1,38.2484
20241104,-1,-1,38.3
20241105,-1,-1,38.348
20241106,-1,-1,38.4416
20241107,-1,-1,38.5192
20241108,-1,-1,38.6018
20241111,-1,-1,38.6834
20241112,-1,-1,38.7664
20241113,-1,-1,38.8644
20241114,-1,-1,38.9304
20241115,-1,-1,38.994
20241118,-1,-1,39.0554
20241119,-1,-1,39.1334
20241120,-1,-1,39.2164
20241121,-1,-1,39.296
20241122,-1,-1,39.3666
20241125,-1,-1,39.4358
20241126,-1,-1,39.4994
20241127,-1,-1,39.5474
20241129,-1,-1,39.6042
20241202,-1,-1,39.6632
20241203,-1,-1,39.702
20241204,-1,-1,39.7278
20241205,-1,-1,39.7688
20241206,-1,-1,39.8074
20241209,-1,-1,39.7596
20241210,-1,-1,39.7184
20241211,-1,-1,39.6856
20241212,-1,-1,39.663
20241213,-1,-1,39.6448
20241216,-1,-1,39.606
20241217,-1,-1,39.5738
20241218,-1,-1,39.5148
20241219,-1,-1,39.4412
20241220,-1,-1,39.3892
20241223,-1,-1,39.323
20241224,-1,-1,39.2586
20241226,-1,-1,39.1888
20241227,-1,-1,39.1066
20241230,-1,-1,39.0096
20241231,-1,-1,38.9266
20250102,-1,-1,38.8696
20250103,-1,-1,38.7986
20250106,-1,-1,38.7222
20250107,-1,-1,38.6404
20250108,-1,-1,38.5532
20250110,-1,-1,38.4506
20250113,-1,-1,38.3444
20250114,-1,-1,38.2296
20250115,-1,-1,38.0986
20250116,-1,-1,37.9478
20250117,-1,-1,37.8354
20250121,-1,-1,37.7264
20250122,-1,-1,37.578
20250123,-1,-1,37.4522
20250124,-1,-1,37.3344
20250127,-1,-1,37.2258
20250128,-1,-1,37.1022
20250129,-1,37.5256,36.983
20250130,-1,37.4939,36.7926
