date,symbol,ma200,ma150,ma50
20240625,COST,-1,-1,-1
20240626,COST,-1,-1,-1
20240627,COST,-1,-1,-1
20240628,COST,-1,-1,-1
20240701,COST,-1,-1,-1
20240702,COST,-1,-1,-1
20240703,COST,-1,-1,-1
20240705,COST,-1,-1,-1
20240708,COST,-1,-1,-1
20240709,COST,-1,-1,-1
20240710,COST,-1,-1,-1
20240711,COST,-1,-1,-1
20240712,COST,-1,-1,-1
20240715,COST,-1,-1,-1
20240716,COST,-1,-1,-1
20240717,COST,-1,-1,-1
20240718,COST,-1,-1,-1
20240719,COST,-1,-1,-1
20240722,COST,-1,-1,-1
20240723,COST,-1,-1,-1
20240724,COST,-1,-1,-1
20240725,COST,-1,-1,-1
20240726,COST,-1,-1,-1
20240729,COST,-1,-1,-1
20240730,COST,-1,-1,-1
20240731,COST,-1,-1,-1
20240801,COST,-1,-1,-1
20240802,COST,-1,-1,-1
20240805,COST,-1,-1,-1
20240806,COST,-1,-1,-1
20240807,COST,-1,-1,-1
20240808,COST,-1,-1,-1
20240809,COST,-1,-1,-1
20240812,COST,-1,-1,-1
20240813,COST,-1,-1,-1
20240814,COST,-1,-1,-1
20240815,COST,-1,-1,-1
20240816,COST,-1,-1,-1
20240819,COST,-1,-1,-1
20240820,COST,-1,-1,-1
20240821,COST,-1,-1,-1
20240822,COST,-1,-1,-1
20240823,COST,-1,-1,-1
20240826,COST,-1,-1,-1
20240827,COST,-1,-1,-1
20240828,COST,-1,-1,-1
20240829,COST,-1,-1,-1
20240830,COST,-1,-1,-1
20240903,COST,-1,-1,-1
20240904,COST,-1,-1,855.9424
20240905,COST,-1,-1,856.5328
20240906,COST,-1,-1,856.916
20240909,COST,-1,-1,857.839
20240910,COST,-1,-1,858.718
20240911,COST,-1,-1,859.8078
20240912,COST,-1,-1,860.9462
20240913,COST,-1,-1,862.0258
20240916,COST,-1,-1,862.5136
20240917,COST,-1,-1,862.8852
20240918,COST,-1,-1,863.0686
20240919,COST,-1,-1,862.9494
20240920,COST,-1,-1,864.0996
20240923,COST,-1,-1,865.6298
20240924,COST,-1,-1,866.6798
20240925,COST,-1,-1,867.8508
20240926,COST,-1,-1,868.664
20240927,COST,-1,-1,869.5638
20240930,COST,-1,-1,870.5614
20241001,COST,-1,-1,871.1394
20241002,COST,-1,-1,871.702
20241003,COST,-1,-1,872.5826
20241004,COST,-1,-1,873.9046
20241007,COST,-1,-1,875.0006
20241008,COST,-1,-1,876.4888
20241009,COST,-1,-1,878.4592
20241010,COST,-1,-1,879.9076
20241011,COST,-1,-1,881.3176
20241014,COST,-1,-1,882.7076
20241015,COST,-1,-1,884.4608
20241016,COST,-1,-1,885.8806
20241017,COST,-1,-1,887.4494
20241018,COST,-1,-1,888.4514
20241021,COST,-1,-1,889.0956
20241022,COST,-1,-1,889.6744
20241023,COST,-1,-1,890.318
20241024,COST,-1,-1,890.9322
20241025,COST,-1,-1,891.2142
20241028,COST,-1,-1,891.6492
20241029,COST,-1,-1,891.9342
20241030,COST,-1,-1,891.9962
20241031,COST,-1,-1,891.8128
20241101,COST,-1,-1,891.7736
20241104,COST,-1,-1,891.9054
20241105,COST,-1,-1,891.8788
20241106,COST,-1,-1,891.6118
20241107,COST,-1,-1,892.1012
20241108,COST,-1,-1,893.211
20241111,COST,-1,-1,894.005
20241112,COST,-1,-1,895.0526
20241113,COST,-1,-1,895.9342
20241114,COST,-1,-1,896.6996
20241115,COST,-1,-1,897.3286
20241118,COST,-1,-1,897.782
20241119,COST,-1,-1,898.5322
20241120,COST,-1,-1,899.1024
20241121,COST,-1,-1,899.8718
20241122,COST,-1,-1,900.8612
20241125,COST,-1,-1,901.7478
20241126,COST,-1,-1,903.1912
20241127,COST,-1,-1,904.5328
20241129,COST,-1,-1,905.93
20241202,COST,-1,-1,907.3
20241203,COST,-1,-1,908.551
20241204,COST,-1,-1,910.2282
20241205,COST,-1,-1,911.7188
20241206,COST,-1,-1,913.7738
20241209,COST,-1,-1,915.8298
