date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,254.6184
20240905,-1,-1,254.7062
20240906,-1,-1,254.7226
20240909,-1,-1,254.5686
20240910,-1,-1,254.3378
20240911,-1,-1,254.2534
20240912,-1,-1,254.1822
20240913,-1,-1,254.0436
20240916,-1,-1,253.918
20240917,-1,-1,253.871
20240918,-1,-1,253.8972
20240919,-1,-1,254.1554
20240920,-1,-1,254.4654
20240923,-1,-1,254.6926
20240924,-1,-1,255.0486
20240925,-1,-1,255.4132
20240926,-1,-1,255.9126
20240927,-1,-1,256.4416
20240930,-1,-1,256.9554
20241001,-1,-1,257.276
20241002,-1,-1,257.796
20241003,-1,-1,258.3256
20241004,-1,-1,258.9292
20241007,-1,-1,259.3642
20241008,-1,-1,260.0332
20241009,-1,-1,260.6672
20241010,-1,-1,261.2722
20241011,-1,-1,261.983
20241014,-1,-1,262.9568
20241015,-1,-1,263.9226
20241016,-1,-1,264.9846
20241017,-1,-1,266.038
20241018,-1,-1,266.9196
20241021,-1,-1,267.7212
20241022,-1,-1,268.4842
20241023,-1,-1,269.059
20241024,-1,-1,269.689
20241025,-1,-1,270.2228
20241028,-1,-1,270.8474
20241029,-1,-1,271.5462
20241030,-1,-1,272.2288
20241031,-1,-1,272.857
20241101,-1,-1,273.5082
20241104,-1,-1,274.1838
20241105,-1,-1,274.8418
20241106,-1,-1,275.6858
20241107,-1,-1,276.5014
20241108,-1,-1,277.791
20241111,-1,-1,279.5728
20241112,-1,-1,281.4264
20241113,-1,-1,283.2732
20241114,-1,-1,284.9426
20241115,-1,-1,286.5878
20241118,-1,-1,288.1076
20241119,-1,-1,289.6556
20241120,-1,-1,291.1462
20241121,-1,-1,292.815
20241122,-1,-1,294.572
20241125,-1,-1,296.158
20241126,-1,-1,297.788
20241127,-1,-1,299.32
20241129,-1,-1,300.5668
20241202,-1,-1,301.857
20241203,-1,-1,303.905
20241204,-1,-1,305.8338
20241205,-1,-1,307.5552
20241206,-1,-1,309.273
20241209,-1,-1,310.7524
20241210,-1,-1,312.265
20241211,-1,-1,313.9526
20241212,-1,-1,315.6282
20241213,-1,-1,317.1006
20241216,-1,-1,318.5132
20241217,-1,-1,319.8408
20241218,-1,-1,320.7452
20241219,-1,-1,321.702
20241220,-1,-1,322.8258
20241223,-1,-1,323.9448
20241224,-1,-1,324.9982
20241226,-1,-1,326.0614
20241227,-1,-1,327.0262
20241230,-1,-1,327.8914
20241231,-1,-1,328.7148
20250102,-1,-1,329.4904
20250103,-1,-1,330.405
20250106,-1,-1,331.346
20250107,-1,-1,332.1128
20250108,-1,-1,332.851
20250110,-1,-1,333.3228
20250113,-1,-1,333.7534
20250114,-1,-1,334.3254
20250115,-1,-1,334.8988
20250116,-1,-1,335.4244
20250117,-1,-1,335.956
20250121,-1,-1,336.567
20250122,-1,-1,337.0742
20250123,-1,-1,337.5506
20250124,-1,-1,337.7892
20250127,-1,-1,337.919
20250128,-1,-1,338.304
20250129,-1,292.0793,338.3462
20250130,-1,292.7741,338.6734
