date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,151.7992
20240905,-1,-1,151.4508
20240906,-1,-1,151.1048
20240909,-1,-1,150.7762
20240910,-1,-1,150.4032
20240911,-1,-1,150.0252
20240912,-1,-1,149.6686
20240913,-1,-1,149.3426
20240916,-1,-1,149.0968
20240917,-1,-1,148.8844
20240918,-1,-1,148.7144
20240919,-1,-1,148.5006
20240920,-1,-1,148.312
20240923,-1,-1,148.142
20240924,-1,-1,147.9284
20240925,-1,-1,147.6606
20240926,-1,-1,147.2758
20240927,-1,-1,146.9418
20240930,-1,-1,146.6978
20241001,-1,-1,146.5672
20241002,-1,-1,146.506
20241003,-1,-1,146.4286
20241004,-1,-1,146.2906
20241007,-1,-1,146.1574
20241008,-1,-1,146.0002
20241009,-1,-1,145.7936
20241010,-1,-1,145.5884
20241011,-1,-1,145.5554
20241014,-1,-1,145.5696
20241015,-1,-1,145.6196
20241016,-1,-1,145.7286
20241017,-1,-1,145.9058
20241018,-1,-1,146.0252
20241021,-1,-1,146.1316
20241022,-1,-1,146.2538
20241023,-1,-1,146.3758
20241024,-1,-1,146.4834
20241025,-1,-1,146.5842
20241028,-1,-1,146.647
20241029,-1,-1,146.6854
20241030,-1,-1,146.7504
20241031,-1,-1,146.8042
20241101,-1,-1,146.944
20241104,-1,-1,147.0678
20241105,-1,-1,147.1862
20241106,-1,-1,147.4024
20241107,-1,-1,147.6338
20241108,-1,-1,147.8266
20241111,-1,-1,147.996
20241112,-1,-1,148.2086
20241113,-1,-1,148.5474
20241114,-1,-1,148.9598
20241115,-1,-1,149.4248
20241118,-1,-1,149.8358
20241119,-1,-1,150.2554
20241120,-1,-1,150.729
20241121,-1,-1,151.1808
20241122,-1,-1,151.6216
20241125,-1,-1,151.9844
20241126,-1,-1,152.3642
20241127,-1,-1,152.7166
20241129,-1,-1,153.0644
20241202,-1,-1,153.397
20241203,-1,-1,153.6958
20241204,-1,-1,153.9128
20241205,-1,-1,154.214
20241206,-1,-1,154.4802
20241209,-1,-1,154.7216
20241210,-1,-1,154.9292
20241211,-1,-1,155.0442
20241212,-1,-1,155.1192
20241213,-1,-1,155.1672
20241216,-1,-1,155.1392
20241217,-1,-1,155.0802
20241218,-1,-1,154.9854
20241219,-1,-1,154.8174
20241220,-1,-1,154.667
20241223,-1,-1,154.4916
20241224,-1,-1,154.3724
20241226,-1,-1,154.2868
20241227,-1,-1,154.1918
20241230,-1,-1,154.03
20241231,-1,-1,153.9146
20250102,-1,-1,153.8346
20250103,-1,-1,153.777
20250106,-1,-1,153.7112
20250107,-1,-1,153.6962
20250108,-1,-1,153.6602
20250110,-1,-1,153.7098
20250113,-1,-1,153.844
20250114,-1,-1,154.0184
20250115,-1,-1,154.2246
20250116,-1,-1,154.3512
20250117,-1,-1,154.5036
20250121,-1,-1,154.5756
20250122,-1,-1,154.5494
20250123,-1,-1,154.5294
20250124,-1,-1,154.4996
20250127,-1,-1,154.5186
20250128,-1,-1,154.5348
20250129,-1,151.605,154.4684
