datetime,open,close,high,low,volume
20240625,102.25,102.12,103.68,101.72,82171.0
20240626,102.28,101.8,102.38,101.43,75074.0
20240627,102.21,102.22,102.39,101.8,65382.0
20240628,102.34,99.06,102.9,98.38,161292.0
20240701,99.37,98.02,99.74,97.88,93016.0
20240702,97.97,97.84,98.1,96.95,80882.0
20240703,97.99,98.59,99.08,97.75,39310.0
20240705,98.61,97.95,98.87,97.58,56032.0
20240708,97.68,97.44,98.29,96.89,62718.0
20240709,97.5,97.15,97.58,96.15,61785.0
20240710,97.15,96.9,97.29,96.25,54612.0
20240711,96.93,96.6,97.58,96.3,55205.0
20240712,96.82,97.12,97.83,96.35,47515.0
20240715,97.33,96.86,97.52,95.8,50108.0
20240716,96.87,98.5,98.72,96.54,85663.0
20240717,98.36,97.32,98.61,96.53,73728.0
20240718,97.7,96.88,98.06,96.6,53113.0
20240719,96.61,95.55,97.14,95.4,63738.0
20240722,95.61,94.0,95.87,93.49,102892.0
20240723,94.13,90.76,94.25,89.83,173515.0
20240724,90.6,89.85,90.82,89.57,91495.0
20240725,89.6,89.27,90.5,89.03,81722.0
20240726,89.61,89.81,90.55,89.33,79894.0
20240729,90.76,91.98,92.55,89.7,103936.0
20240730,92.2,93.45,94.04,91.42,74445.0
20240731,94.13,93.9,94.84,93.56,69211.0
20240801,93.85,92.65,93.95,92.52,67973.0
20240802,92.8,89.69,92.8,89.0,110585.0
20240805,87.46,88.16,89.56,83.25,150053.0
20240806,88.5,90.46,91.91,87.96,167183.0
20240807,91.03,85.4,94.99,85.25,241868.0
20240808,85.85,86.36,86.36,83.91,173354.0
20240809,86.28,86.05,86.34,84.71,131668.0
20240812,86.2,85.9,86.6,85.48,91776.0
20240813,86.03,85.6,86.5,85.31,113607.0
20240814,85.76,86.2,86.51,85.5,72075.0
20240815,86.55,88.76,88.93,86.3,96111.0
20240816,89.0,89.3,89.67,88.3,77002.0
20240819,89.2,90.7,90.95,89.09,72663.0
20240820,90.94,89.7,90.99,89.31,67476.0
20240821,89.95,90.7,90.8,89.43,60572.0
20240822,90.65,89.99,91.38,89.69,58790.0
20240823,90.18,90.6,90.75,89.68,54567.0
20240826,90.65,91.5,91.8,90.47,64006.0
20240827,91.7,90.7,91.75,90.7,55616.0
20240828,90.92,89.38,91.03,88.76,65211.0
20240829,89.5,89.9,90.7,89.45,48366.0
20240830,90.23,90.42,90.56,89.4,61079.0
20240903,90.31,89.16,90.49,88.53,64392.0
20240904,88.8,89.18,90.03,88.65,47704.0
20240905,89.2,88.52,89.67,88.34,46300.0
20240906,88.55,87.79,89.09,87.61,46875.0
20240909,88.5,88.35,88.89,87.81,57053.0
20240910,88.45,88.39,88.89,87.98,46309.0
20240911,88.29,88.35,88.88,86.59,76679.0
20240912,88.31,89.36,89.36,88.18,48946.0
20240913,89.32,90.55,90.72,89.24,55304.0
20240916,90.8,91.88,92.37,90.49,64452.0
20240917,92.06,92.87,93.25,92.01,64324.0
20240918,92.83,93.9,94.07,92.69,76414.0
20240919,94.46,93.45,95.29,93.23,81553.0
20240920,93.36,93.58,94.01,92.82,126604.0
20240923,93.7,92.9,93.94,92.16,50058.0
20240924,93.0,93.68,93.79,92.46,53829.0
20240925,93.5,93.84,94.44,93.35,63880.0
20240926,94.15,95.15,95.79,93.92,72738.0
20240927,95.02,96.02,96.9,95.02,68054.0
20240930,96.0,96.1,97.57,95.44,60484.0
20241001,95.0,93.92,96.43,93.32,64744.0
20241002,93.92,94.11,94.58,93.4,45035.0
20241003,94.08,93.66,94.15,93.13,32574.0
20241004,93.79,95.28,95.34,93.73,42817.0
20241007,94.09,92.26,95.14,91.76,83606.0
20241008,92.17,92.51,93.74,91.69,81550.0
20241009,92.51,93.51,94.01,91.46,68618.0
20241010,93.52,92.99,93.88,92.69,47052.0
20241011,93.05,94.03,94.61,92.8,60428.0
20241014,94.13,95.0,95.19,93.8,43058.0
20241015,94.95,94.29,95.65,93.68,46500.0
20241016,93.9,96.74,96.79,93.63,73384.0
20241017,96.64,96.85,97.33,95.61,73582.0
20241018,96.76,97.33,97.54,96.05,59623.0
20241021,97.2,96.46,97.5,95.95,66184.0
20241022,96.35,96.74,97.26,96.0,38656.0
20241023,96.84,96.29,97.14,95.98,41415.0
20241024,96.48,95.36,96.8,95.25,38517.0
20241025,95.54,94.9,96.86,94.9,45416.0
20241028,95.38,96.15,96.69,94.95,65099.0
20241029,96.01,96.14,96.62,95.67,47220.0
20241030,96.22,95.04,96.71,94.94,59115.0
20241031,94.77,96.27,96.63,94.77,60812.0
20241101,96.19,95.78,96.5,94.83,50484.0
20241104,95.99,95.63,96.02,95.03,45538.0
20241105,95.81,96.65,96.77,95.25,39123.0
20241106,96.67,98.8,99.55,96.67,81510.0
20241107,98.88,98.93,99.52,98.13,54753.0
20241108,99.07,98.99,99.26,97.61,62173.0
20241111,99.32,100.9,100.94,99.0,69385.0
20241112,100.53,101.0,101.29,99.5,71768.0
20241113,101.05,103.17,103.38,100.35,135631.0
20241114,103.48,108.5,114.81,95.54,386907.0
20241115,108.3,114.89,115.19,108.0,260856.0
20241118,114.8,113.58,115.44,112.89,103781.0
20241119,113.11,112.42,113.26,110.82,86400.0
20241120,112.39,114.14,114.37,111.47,66060.0
20241121,113.78,114.52,116.25,113.7,77718.0
20241122,113.35,115.6,116.34,113.33,74786.0
20241125,115.5,115.41,116.58,114.93,69778.0
20241126,115.68,115.32,116.42,115.2,50486.0
20241127,115.35,117.68,118.2,115.25,64027.0
20241129,117.67,117.46,117.98,116.73,37019.0
20241202,117.81,117.3,118.63,116.55,66478.0
20241203,116.98,116.3,117.25,115.45,54747.0
20241204,116.52,117.06,118.0,115.73,60956.0
20241205,116.48,116.4,117.27,116.06,60036.0
20241206,116.28,116.7,117.26,116.0,43612.0
20241209,116.39,114.67,117.18,113.91,62046.0
20241210,114.2,114.74,114.95,113.72,58766.0
20241211,114.52,114.5,115.75,113.98,44765.0
20241212,114.5,114.71,115.01,114.1,40098.0
20241213,114.5,113.83,115.0,113.2,53137.0
20241216,112.85,111.81,113.1,111.73,80383.0
20241217,111.63,112.91,114.04,110.7,78380.0
20241218,113.29,111.47,116.12,111.06,85751.0
20241219,111.35,111.1,112.91,110.85,63749.0
20241220,110.57,112.05,112.97,110.01,129686.0
20241223,112.04,111.16,112.04,110.31,41438.0
20241224,111.23,112.5,112.74,111.12,18925.0
20241226,112.24,112.43,113.32,111.85,32614.0
20241227,112.06,111.5,112.4,110.86,32840.0
20241230,110.86,110.4,111.54,109.83,41862.0
20241231,110.69,111.31,111.59,110.59,35380.0
20250102,111.38,110.83,112.2,110.17,39571.0
20250103,110.99,111.0,111.54,110.18,34642.0
20250106,111.26,111.05,112.86,110.87,47492.0
20250107,111.25,111.69,113.74,111.25,60426.0
20250108,111.7,111.05,112.31,108.64,52409.0
20250110,110.2,108.44,110.54,107.62,60929.0
20250113,107.5,108.29,108.61,106.72,41404.0
20250114,108.21,108.25,108.96,107.61,39917.0
20250115,107.77,108.45,109.6,107.77,42964.0
20250116,108.11,106.43,108.6,106.16,58531.0
20250117,106.64,107.34,107.74,106.51,57018.0
20250121,107.04,109.5,111.1,106.8,64413.0
20250122,109.73,108.63,110.29,108.23,69924.0
20250123,108.59,111.0,111.07,108.44,56771.0
20250124,111.02,112.03,113.39,110.62,62943.0
20250127,111.35,113.4,114.08,108.93,76246.0
20250128,112.94,112.11,114.0,111.56,47876.0
20250129,112.11,113.5,114.39,112.11,52474.0
20250130,113.49,113.43,115.18,113.12,47503.0
20250131,113.8,112.85,114.49,112.76,46142.0
20250203,111.37,114.4,114.6,110.3,64926.0
20250204,113.89,113.74,114.66,112.51,99128.0
20250205,113.45,110.3,118.59,110.0,171882.0
20250206,110.73,111.9,112.68,109.15,89493.0
20250207,111.9,110.87,112.55,110.61,63368.0
20250210,110.8,109.01,111.38,108.69,60194.0
20250211,109.04,108.88,109.69,107.69,55895.0
20250212,108.74,109.24,109.53,107.75,50185.0
20250213,108.93,109.56,109.76,108.53,48336.0
20250214,109.5,110.4,110.51,109.08,44140.0
20250218,110.4,109.8,110.85,108.71,56856.0
20250219,109.58,111.34,111.76,109.01,58175.0
20250220,111.0,110.7,111.52,109.37,43670.0
20250221,110.6,108.53,111.76,107.92,63628.0
20250224,108.74,111.45,111.56,108.51,52688.0
20250225,110.95,110.89,111.9,109.07,51711.0
20250226,110.48,112.0,113.25,109.82,54771.0
20250227,111.6,111.21,113.12,111.0,59984.0
20250228,111.15,113.9,114.03,110.46,99605.0
20250303,113.69,112.8,115.55,112.0,57397.0
20250304,112.6,109.7,112.6,108.27,96860.0
20250305,110.0,109.11,110.94,108.22,66574.0
20250306,108.51,105.59,108.83,105.12,86199.0
20250307,105.8,105.4,105.89,103.31,91144.0
20250310,104.57,100.18,104.99,100.0,79450.0
20250311,100.97,98.06,102.0,97.45,128845.0
20250312,98.83,98.8,99.6,96.38,86031.0
20250313,98.33,97.11,98.7,95.92,81596.0
20250314,97.17,98.54,99.1,97.17,77290.0
20250317,98.43,99.34,100.12,98.3,63638.0
20250318,99.59,99.32,99.73,98.47,50224.0
20250319,99.6,100.41,100.96,99.35,54679.0
20250320,100.53,98.7,100.61,98.64,58674.0
20250321,98.55,99.4,99.89,97.75,115202.0
20250324,99.79,100.04,100.44,98.86,62188.0
20250325,99.98,101.7,101.9,99.98,50342.0
20250326,101.32,100.13,102.27,100.1,48633.0
20250327,100.6,100.2,101.03,99.58,45083.0
20250328,100.38,97.8,100.4,97.55,58739.0
20250331,97.06,98.5,98.85,95.7,75526.0
20250401,98.41,97.71,98.69,96.84,63476.0
20250402,97.56,95.05,98.5,94.9,57818.0
20250403,95.76,89.5,96.0,88.6,148442.0
20250404,89.0,83.4,89.12,83.08,174830.0
20250407,80.14,84.3,86.63,79.2,158994.0
20250408,85.01,80.78,86.95,80.4,110837.0
20250409,81.84,91.6,92.25,80.05,199065.0
20250410,89.98,84.5,90.87,83.07,126148.0
20250411,85.59,84.81,86.4,83.35,77322.0
20250414,85.99,84.49,86.45,84.03,82667.0
20250415,85.1,84.68,85.98,84.38,56090.0
20250416,84.3,82.72,85.1,82.0,77571.0
20250417,83.4,85.09,85.78,82.77,106931.0
20250421,84.52,84.1,85.7,82.98,101227.0
20250422,84.67,87.73,87.82,84.56,67353.0
20250423,87.94,87.26,89.87,87.01,85029.0
20250424,87.34,90.1,90.24,86.77,80051.0
20250425,90.1,90.26,90.66,89.07,59352.0
20250428,90.29,90.1,91.37,89.64,57812.0
20250429,90.49,91.09,91.66,89.49,44661.0
20250430,91.36,90.9,91.74,88.56,59625.0
20250501,91.32,90.64,91.75,90.36,50273.0
20250502,90.99,92.6,93.19,90.88,58137.0
20250505,92.18,92.3,93.08,88.89,80801.0
20250506,91.85,92.91,93.24,91.0,89164.0
20250507,93.0,102.0,103.31,92.85,280102.0
20250508,102.58,105.0,106.19,102.0,148025.0
20250509,105.3,105.98,106.19,104.57,71864.0
20250512,107.37,110.36,110.94,106.95,140953.0
20250513,110.1,111.43,112.2,109.82,105644.0
20250514,111.13,112.5,113.41,110.5,119553.0
20250515,112.06,112.08,112.85,111.58,63800.0
20250516,112.43,112.35,113.44,111.42,71854.0
20250519,111.55,112.65,112.99,111.21,51008.0
20250520,112.01,112.15,113.4,111.81,50485.0
20250521,111.6,110.4,112.49,110.13,71135.0
20250522,110.46,111.13,111.8,109.65,44473.0
20250523,111.46,109.5,111.5,108.78,57438.0
20250527,110.15,112.45,112.89,110.15,73373.0
20250528,112.45,112.05,112.88,111.01,40518.0
20250529,112.89,111.85,113.0,110.52,80918.0
20250530,111.68,112.81,113.35,111.28,91877.0
20250602,112.2,112.98,113.6,112.15,47055.0
20250603,112.8,113.55,114.69,112.52,58614.0
20250604,113.88,113.41,114.05,112.97,39553.0
20250605,113.49,112.15,114.34,111.84,65261.0
20250606,112.72,113.8,114.22,112.5,41279.0
20250609,114.0,115.66,116.11,113.51,58131.0
20250610,115.83,118.7,120.5,114.8,143437.0
20250611,118.5,119.3,119.8,117.65,76601.0
20250612,118.85,118.2,119.39,117.66,57157.0
20250613,116.07,117.8,118.44,116.07,64747.0
20250616,117.99,119.0,120.35,117.52,68616.0
20250617,118.92,117.98,119.33,117.6,56537.0
20250618,118.21,118.07,118.75,116.84,60575.0
20250620,117.36,117.8,119.05,116.9,126243.0
20250623,116.98,118.57,118.57,115.02,57668.0
20250624,117.91,118.64,119.08,117.75,59816.0
20250625,118.55,119.35,119.72,118.55,46519.0
20250626,119.49,121.53,121.68,119.42,76629.0
20250627,121.93,122.0,122.94,121.48,90299.0
20250630,122.94,123.95,124.9,122.94,90175.0
20250701,123.58,123.53,124.0,122.45,74404.0
20250702,123.33,123.0,124.4,122.53,54101.0
20250703,122.96,124.0,124.24,122.82,30281.0
20250707,123.05,122.93,124.61,122.57,52142.0
20250708,123.14,121.76,123.72,121.76,47741.0
20250709,121.87,120.6,122.35,120.5,51576.0
20250710,120.63,121.55,121.95,120.59,50457.0
20250711,121.19,120.0,121.3,119.65,42933.0
20250714,119.38,119.95,120.5,119.06,36485.0
20250715,119.92,118.53,120.23,118.51,52392.0
20250716,118.89,119.55,120.57,118.87,49182.0
20250717,120.06,122.0,122.47,119.6,71834.0
20250718,122.43,121.4,122.43,120.29,62867.0
20250721,121.39,120.96,121.97,120.53,45817.0
20250722,120.6,121.48,121.48,120.5,36150.0
20250723,121.24,122.94,123.18,121.1,46040.0
20250724,122.56,122.06,123.98,121.75,49924.0
20250725,122.14,121.48,122.5,120.87,38677.0
20250728,121.71,120.37,122.0,119.88,40346.0
20250729,120.49,119.85,120.81,119.36,40931.0
20250730,119.77,119.27,120.63,118.0,35543.0
20250731,119.89,118.8,119.91,118.52,48185.0
20250801,118.67,116.58,119.0,115.57,61465.0
20250804,116.99,119.7,119.9,116.91,62809.0
20250805,119.69,118.9,120.0,117.33,109167.0
20250806,121.45,115.21,123.52,112.2,161779.0
20250807,115.33,112.87,116.4,111.82,114155.0
20250808,113.19,112.52,114.3,112.02,71254.0
20250811,112.79,112.4,113.5,111.54,61430.0
20250812,112.85,113.65,114.4,112.25,50123.0
20250813,113.79,116.7,117.23,113.79,64703.0
20250814,116.82,116.29,116.82,114.62,48157.0
20250815,116.52,115.59,116.97,115.19,47916.0
20250818,115.28,116.6,117.01,115.16,40067.0
20250819,116.12,116.27,116.99,115.72,34040.0
20250820,115.93,116.87,117.89,115.93,47453.0
20250821,116.88,116.21,116.88,115.53,43199.0
20250822,116.37,118.98,119.78,116.37,52882.0
20250825,119.0,117.72,119.05,117.69,36988.0
20250826,117.69,117.63,118.38,117.16,40726.0
20250827,117.8,117.72,118.46,117.29,29171.0
20250828,118.08,117.5,118.4,116.61,38716.0
20250829,117.32,118.4,118.65,117.11,37862.0
20250902,118.04,118.1,118.5,115.99,38501.0
20250903,117.06,117.11,118.62,116.35,45362.0
20250904,117.59,118.75,119.68,116.54,47391.0
20250905,118.72,117.9,119.78,117.7,49649.0
20250908,118.1,118.89,118.96,116.74,41950.0
20250909,118.57,117.4,119.05,117.16,41399.0
20250910,117.17,115.79,117.51,114.49,51745.0
20250911,116.15,116.84,117.17,114.63,60401.0
20250912,116.64,115.96,117.01,115.1,53477.0
20250915,116.03,115.56,116.75,115.0,51268.0
20250916,115.66,115.02,115.86,114.71,51729.0
20250917,115.17,116.17,116.66,115.01,51288.0
20250918,116.12,114.86,116.58,114.05,63722.0
20250919,114.98,113.24,114.98,111.93,176590.0
