date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,92.748
20240905,-1,-1,92.476
20240906,-1,-1,92.1958
20240909,-1,-1,91.9184
20240910,-1,-1,91.705
20240911,-1,-1,91.5116
20240912,-1,-1,91.342
20240913,-1,-1,91.1812
20240916,-1,-1,91.0598
20240917,-1,-1,90.9684
20240918,-1,-1,90.9034
20240919,-1,-1,90.8344
20240920,-1,-1,90.774
20240923,-1,-1,90.6896
20240924,-1,-1,90.626
20240925,-1,-1,90.5328
20240926,-1,-1,90.4894
20240927,-1,-1,90.4722
20240930,-1,-1,90.4832
20241001,-1,-1,90.4816
20241002,-1,-1,90.5486
20241003,-1,-1,90.6248
20241004,-1,-1,90.745
20241007,-1,-1,90.794
20241008,-1,-1,90.8046
20241009,-1,-1,90.8058
20241010,-1,-1,90.7876
20241011,-1,-1,90.8152
20241014,-1,-1,90.9214
20241015,-1,-1,91.044
20241016,-1,-1,91.1696
20241017,-1,-1,91.3986
20241018,-1,-1,91.618
20241021,-1,-1,91.8262
20241022,-1,-1,92.043
20241023,-1,-1,92.2568
20241024,-1,-1,92.44
20241025,-1,-1,92.5628
20241028,-1,-1,92.6998
20241029,-1,-1,92.8086
20241030,-1,-1,92.9154
20241031,-1,-1,93.0268
20241101,-1,-1,93.1426
20241104,-1,-1,93.2432
20241105,-1,-1,93.3462
20241106,-1,-1,93.5082
20241107,-1,-1,93.6992
20241108,-1,-1,93.881
20241111,-1,-1,94.0906
20241112,-1,-1,94.3274
20241113,-1,-1,94.6072
20241114,-1,-1,95.0068
20241115,-1,-1,95.5488
20241118,-1,-1,96.0534
20241119,-1,-1,96.534
20241120,-1,-1,97.0498
20241121,-1,-1,97.553
20241122,-1,-1,98.054
20241125,-1,-1,98.5246
20241126,-1,-1,98.9736
20241127,-1,-1,99.4492
20241129,-1,-1,99.9294
20241202,-1,-1,100.4038
20241203,-1,-1,100.8718
20241204,-1,-1,101.3394
20241205,-1,-1,101.7906
20241206,-1,-1,102.2216
20241209,-1,-1,102.5946
20241210,-1,-1,102.9674
20241211,-1,-1,103.379
20241212,-1,-1,103.791
20241213,-1,-1,104.1944
20241216,-1,-1,104.525
20241217,-1,-1,104.938
20241218,-1,-1,105.3172
20241219,-1,-1,105.669
20241220,-1,-1,106.0502
20241223,-1,-1,106.3928
20241224,-1,-1,106.7428
20241226,-1,-1,107.1056
20241227,-1,-1,107.4008
20241230,-1,-1,107.6718
20241231,-1,-1,107.9514
20250102,-1,-1,108.2388
20250103,-1,-1,108.524
20250106,-1,-1,108.8192
20250107,-1,-1,109.1458
20250108,-1,-1,109.4688
20250110,-1,-1,109.7146
20250113,-1,-1,109.9576
20250114,-1,-1,110.2218
20250115,-1,-1,110.4654
20250116,-1,-1,110.6784
20250117,-1,-1,110.9126
20250121,-1,-1,111.1696
20250122,-1,-1,111.3662
20250123,-1,-1,111.6076
20250124,-1,-1,111.8684
20250127,-1,-1,112.1184
20250128,-1,-1,112.3406
20250129,-1,99.9675,112.5472
20250130,-1,100.0429,112.6458
