datetime,open,close,high,low,volume
20240626,159.61,160.05,161.02,157.51,67782.0
20240627,160.0,160.2,161.85,159.6,60881.0
20240628,160.83,158.97,161.62,157.9,137263.0
20240701,159.04,158.6,161.4,156.05,83801.0
20240702,158.0,161.4,162.94,157.5,83404.0
20240703,161.0,163.0,164.49,161.0,46799.0
20240705,163.28,160.3,163.28,159.66,77850.0
20240708,160.68,163.67,163.78,160.5,65385.0
20240709,163.71,163.33,165.58,163.02,70594.0
20240710,163.13,165.72,165.99,162.54,73460.0
20240711,165.43,161.96,166.34,161.79,80802.0
20240712,162.02,159.4,162.47,158.8,113012.0
20240715,159.89,160.14,160.88,158.6,97969.0
20240716,159.75,162.95,163.87,159.6,111996.0
20240717,162.11,156.92,162.58,156.51,116127.0
20240718,157.0,159.16,160.44,156.42,96805.0
20240719,157.77,159.05,160.44,157.58,79942.0
20240722,159.94,162.5,163.29,159.14,99389.0
20240723,162.78,171.34,177.2,159.79,313598.0
20240724,171.55,163.2,172.87,162.05,129710.0
20240725,162.63,165.26,168.2,161.73,168786.0
20240726,166.15,169.8,172.62,166.11,141540.0
20240729,170.48,169.7,172.73,168.4,93226.0
20240730,170.01,167.6,174.73,167.0,98066.0
20240731,170.19,168.36,172.0,167.95,107725.0
20240801,170.73,169.0,174.7,168.21,115972.0
20240802,166.91,159.53,167.59,158.36,149639.0
20240805,157.84,158.58,159.9,149.96,133821.0
20240806,159.02,161.6,165.45,159.02,94454.0
20240807,164.05,161.6,166.27,161.11,78638.0
20240808,161.4,165.57,166.33,160.51,69791.0
20240809,166.1,167.14,167.88,164.57,45912.0
20240812,167.0,166.4,168.78,164.62,57222.0
20240813,166.42,168.25,168.63,166.25,56636.0
20240814,167.22,167.66,169.18,165.62,84289.0
20240815,168.7,170.0,170.75,168.01,73792.0
20240816,170.07,169.58,170.33,168.86,62108.0
20240819,169.03,170.88,171.0,168.02,63822.0
20240820,170.61,168.8,170.91,168.8,42072.0
20240821,170.3,171.01,172.19,169.05,49989.0
20240822,171.21,170.0,171.98,168.77,47299.0
20240823,170.52,171.2,171.38,168.85,63058.0
20240826,171.56,171.04,171.93,169.58,61484.0
20240827,170.75,170.75,171.5,169.6,45956.0
20240828,170.85,171.25,173.17,170.29,84949.0
20240829,172.29,173.72,175.97,172.19,78470.0
20240830,174.6,174.13,174.96,171.77,85757.0
20240903,174.65,164.0,174.75,163.6,104825.0
20240904,163.96,166.36,166.64,163.38,67039.0
20240905,166.2,163.9,166.76,162.51,53465.0
20240906,162.86,160.94,166.04,160.59,71924.0
20240909,162.63,165.76,166.48,162.0,59413.0
20240910,165.94,166.97,170.0,164.25,56281.0
20240911,166.0,166.25,166.85,162.23,76428.0
20240912,166.45,169.97,170.98,166.01,73213.0
20240913,169.09,178.23,179.32,168.45,131240.0
20240916,177.89,181.25,181.54,176.26,103005.0
20240917,181.61,180.5,182.43,178.99,75349.0
20240918,181.46,184.06,185.77,180.43,98165.0
20240919,185.5,186.37,187.99,184.28,81836.0
20240920,185.18,187.87,187.87,184.32,164782.0
20240923,187.1,188.77,189.78,187.0,60980.0
20240924,189.18,189.55,189.8,187.0,57092.0
20240925,182.93,189.4,190.88,182.93,57826.0
20240926,190.07,184.94,190.22,184.51,79358.0
20240927,184.13,185.01,186.19,183.12,71923.0
20240930,185.79,187.81,188.8,183.09,88169.0
20241001,188.47,186.15,188.47,184.92,65833.0
20241002,185.2,187.42,188.2,184.72,52213.0
20241003,186.39,184.0,186.71,183.52,60883.0
20241004,185.33,186.63,187.16,184.01,70305.0
20241007,186.06,185.53,187.23,184.8,45317.0
20241008,186.0,187.47,189.88,186.0,68134.0
20241009,187.48,189.21,189.42,186.5,39191.0
20241010,188.78,188.12,189.75,187.39,40848.0
20241011,188.12,191.16,191.77,187.99,56823.0
20241014,191.96,192.65,193.93,191.4,47571.0
20241015,192.62,190.5,194.34,189.76,62170.0
20241016,190.26,192.24,192.24,189.92,48953.0
20241017,192.63,192.92,194.8,192.2,45114.0
20241018,192.62,192.8,193.52,191.14,56755.0
20241021,193.5,195.9,196.0,192.02,75256.0
20241022,195.1,177.39,196.77,175.75,281842.0
20241023,177.5,181.7,184.98,176.45,156188.0
20241024,181.75,179.89,182.5,179.5,71281.0
20241025,180.2,178.9,181.42,178.3,68601.0
20241028,179.8,175.55,180.58,175.21,101596.0
20241029,176.05,174.49,176.05,172.77,87264.0
20241030,174.57,174.7,176.53,172.5,63788.0
20241031,174.5,171.8,174.63,170.43,85680.0
20241101,172.5,171.5,175.27,171.22,67747.0
20241104,174.51,171.98,174.68,171.45,76685.0
20241105,171.61,175.99,175.99,171.61,64095.0
20241106,178.0,180.32,182.06,177.75,104140.0
20241107,181.75,178.8,181.98,176.77,89044.0
20241108,178.86,185.2,186.42,178.35,82124.0
20241111,186.15,184.84,187.47,183.7,56730.0
20241112,184.44,182.54,185.7,180.59,56581.0
20241113,183.0,183.95,186.3,182.76,75100.0
20241114,183.58,178.39,184.08,177.49,93196.0
20241115,177.79,176.73,178.01,175.89,89819.0
20241118,177.01,177.01,178.57,175.13,49128.0
20241119,176.58,177.01,177.88,175.7,60262.0
20241120,177.8,177.98,178.54,176.0,54406.0
20241121,178.38,178.7,180.94,177.06,72355.0
20241122,178.78,181.37,181.74,178.78,51633.0
20241125,182.06,180.51,183.7,179.55,157159.0
20241126,180.4,184.99,185.0,180.21,70174.0
20241127,184.99,180.69,185.35,180.44,48042.0
20241129,181.19,181.59,182.97,180.66,33688.0
20241202,181.94,180.01,182.25,179.42,45243.0
20241203,180.76,180.43,182.24,179.9,51848.0
20241204,180.59,182.39,182.9,178.0,66267.0
20241205,182.0,173.0,182.44,172.71,137474.0
20241206,173.44,175.38,175.83,172.44,107753.0
20241209,175.0,171.21,176.37,170.77,99056.0
20241210,172.39,171.95,173.16,170.61,90490.0
20241211,171.5,168.51,173.17,167.93,112683.0
20241212,168.99,165.49,169.3,164.45,130291.0
20241213,165.25,166.0,167.87,165.25,79680.0
20241216,166.29,165.8,169.2,165.45,107350.0
20241217,165.14,166.0,166.51,163.53,74936.0
20241218,165.99,160.82,166.63,159.6,116400.0
20241219,161.28,164.64,165.77,159.35,110063.0
20241220,163.55,169.2,169.2,162.54,163672.0
20241223,168.74,169.0,169.33,166.55,69255.0
20241224,168.8,171.23,171.49,168.8,42573.0
20241226,171.58,172.0,172.67,170.13,58048.0
20241227,171.8,169.19,171.8,168.98,58991.0
20241230,169.2,167.76,169.46,166.01,63523.0
20241231,168.76,166.19,168.9,166.07,50894.0
20250102,167.79,168.85,170.7,167.14,65234.0
20250103,169.16,172.29,172.63,169.0,67081.0
20250106,173.2,172.51,173.68,171.18,87388.0
20250107,172.63,172.13,173.7,170.78,102508.0
20250108,172.26,172.89,173.58,170.71,84214.0
20250110,172.8,172.33,173.46,170.57,92773.0
20250113,170.7,171.62,172.52,169.0,106239.0
20250114,172.42,177.0,177.9,172.39,121731.0
20250115,177.01,180.4,180.88,176.95,126926.0
20250116,180.77,179.27,182.88,178.21,113770.0
20250117,180.48,182.85,183.19,179.96,103483.0
20250121,183.5,187.5,189.32,183.48,139569.0
20250122,187.9,188.25,189.24,186.61,135061.0
20250123,187.0,200.5,207.65,185.5,279536.0
20250124,201.0,196.97,203.0,195.52,136335.0
20250127,195.0,194.0,196.63,192.74,141381.0
20250128,195.04,194.25,196.55,191.79,80305.0
20250129,195.64,199.4,199.94,194.49,102501.0
20250130,199.95,205.7,205.93,199.15,112241.0
20250131,205.99,202.98,206.0,202.98,103679.0
20250203,199.82,205.38,206.0,196.01,81770.0
20250204,204.74,201.99,204.74,200.43,104728.0
20250205,202.1,204.78,205.28,201.79,59112.0
20250206,204.74,206.09,206.1,204.0,54332.0
20250207,206.44,204.89,207.84,204.5,68938.0
20250210,204.5,205.01,206.66,203.4,62129.0
20250211,204.17,209.0,209.31,204.0,70457.0
20250212,208.58,210.3,211.42,206.14,79875.0
20250213,209.0,208.35,211.3,206.26,61398.0
20250214,208.54,208.45,209.16,204.97,73348.0
20250218,208.69,210.0,212.2,208.69,76850.0
20250219,210.01,210.39,211.79,208.83,45122.0
20250220,210.1,209.48,210.38,207.15,49108.0
20250221,208.27,199.66,209.12,198.44,89644.0
20250224,200.79,198.99,203.25,197.43,70274.0
20250225,197.71,199.38,200.08,194.84,67893.0
20250226,200.58,202.5,204.6,199.99,48489.0
20250227,203.25,201.86,205.47,200.95,58040.0
20250228,201.42,206.67,207.32,201.03,93888.0
20250303,207.3,202.01,208.48,200.81,81387.0
20250304,201.44,200.5,203.04,193.26,104511.0
20250305,200.4,202.2,204.47,198.49,126656.0
20250306,202.51,196.5,202.51,195.28,106217.0
20250307,198.33,193.4,198.33,187.68,125439.0
20250310,191.4,191.01,192.25,187.91,117005.0
20250311,190.61,192.26,193.68,188.32,88360.0
20250312,192.6,195.0,197.25,192.0,79312.0
20250313,195.45,193.3,195.87,191.67,67040.0
20250314,194.17,197.4,197.8,193.6,58796.0
20250317,196.87,202.11,203.6,195.85,65450.0
20250318,201.97,200.79,201.98,199.52,61937.0
20250319,200.68,206.83,206.85,200.68,56161.0
20250320,206.47,204.0,206.63,203.1,73647.0
20250321,203.28,204.38,204.38,200.82,138696.0
20250324,206.34,210.79,210.88,205.59,67790.0
20250325,209.8,212.11,212.76,209.8,71143.0
20250326,212.1,206.66,214.21,206.08,67277.0
20250327,207.27,205.86,207.69,202.8,52960.0
20250328,203.01,199.5,206.86,199.5,97592.0
20250331,197.06,199.51,201.57,194.45,120065.0
