date,ma200,ma150,ma50
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,-1
20240905,-1,-1,165.2906
20240906,-1,-1,165.3084
20240909,-1,-1,165.4196
20240910,-1,-1,165.5796
20240911,-1,-1,165.7326
20240912,-1,-1,165.904
20240913,-1,-1,166.2086
20240916,-1,-1,166.6276
20240917,-1,-1,166.9642
20240918,-1,-1,167.3788
20240919,-1,-1,167.7918
20240920,-1,-1,168.31
20240923,-1,-1,168.8974
20240924,-1,-1,169.4856
20240925,-1,-1,170.0146
20240926,-1,-1,170.575
20240927,-1,-1,171.092
20240930,-1,-1,171.6672
20241001,-1,-1,172.1402
20241002,-1,-1,172.4618
20241003,-1,-1,172.8778
20241004,-1,-1,173.3052
20241007,-1,-1,173.6198
20241008,-1,-1,173.9752
20241009,-1,-1,174.4074
20241010,-1,-1,174.8026
20241011,-1,-1,175.2458
20241014,-1,-1,175.9082
20241015,-1,-1,176.5466
20241016,-1,-1,177.1594
20241017,-1,-1,177.7858
20241018,-1,-1,178.3304
20241021,-1,-1,178.9056
20241022,-1,-1,179.1254
20241023,-1,-1,179.3944
20241024,-1,-1,179.639
20241025,-1,-1,179.817
20241028,-1,-1,179.9364
20241029,-1,-1,180.0086
20241030,-1,-1,180.1266
20241031,-1,-1,180.1424
20241101,-1,-1,180.1724
20241104,-1,-1,180.188
20241105,-1,-1,180.287
20241106,-1,-1,180.4784
20241107,-1,-1,180.6294
20241108,-1,-1,180.859
20241111,-1,-1,181.0732
20241112,-1,-1,181.444
20241113,-1,-1,181.7958
20241114,-1,-1,182.0856
20241115,-1,-1,182.4014
20241118,-1,-1,182.6264
20241119,-1,-1,182.8272
20241120,-1,-1,183.0618
20241121,-1,-1,183.2364
20241122,-1,-1,183.2992
20241125,-1,-1,183.2844
20241126,-1,-1,183.3742
20241127,-1,-1,183.3068
20241129,-1,-1,183.2112
20241202,-1,-1,183.054
20241203,-1,-1,182.8872
20241204,-1,-1,182.744
20241205,-1,-1,182.416
20241206,-1,-1,182.2248
20241209,-1,-1,181.9488
20241210,-1,-1,181.6316
20241211,-1,-1,181.2788
20241212,-1,-1,180.8402
20241213,-1,-1,180.4802
20241216,-1,-1,180.0636
20241217,-1,-1,179.673
20241218,-1,-1,179.14
20241219,-1,-1,178.6486
20241220,-1,-1,178.2702
20241223,-1,-1,177.827
20241224,-1,-1,177.3986
20241226,-1,-1,177.0286
20241227,-1,-1,176.5676
20241230,-1,-1,176.0644
20241231,-1,-1,175.5322
20250102,-1,-1,174.9912
20250103,-1,-1,174.8892
20250106,-1,-1,174.7054
20250107,-1,-1,174.5502
20250108,-1,-1,174.43
20250110,-1,-1,174.3656
20250113,-1,-1,174.3082
20250114,-1,-1,174.3542
20250115,-1,-1,174.5262
20250116,-1,-1,174.6816
20250117,-1,-1,174.899
20250121,-1,-1,175.1292
20250122,-1,-1,175.2878
20250123,-1,-1,175.7218
20250124,-1,-1,175.9572
20250127,-1,-1,176.1404
20250128,-1,-1,176.3746
20250129,-1,-1,176.6836
20250130,-1,174.8687,177.2298
20250131,-1,175.1549,177.7548
20250203,-1,175.4561,178.3222
20250204,-1,175.7429,178.8218
20250205,-1,176.0507,179.3578
20250206,-1,176.3487,179.9056
20250207,-1,176.6279,180.376
20250210,-1,176.926,180.866
20250211,-1,177.2282,181.3462
20250212,-1,177.5413,181.9384
20250213,-1,177.8255,182.4736
20250214,-1,178.1355,183.0424
20250218,-1,178.4728,183.6338
20250219,-1,178.8078,184.1938
20250220,-1,179.118,184.9234
20250221,-1,179.4029,185.409
20250224,-1,179.6685,185.9646
20250225,-1,179.9373,186.5132
20250226,-1,180.204,187.193
20250227,-1,180.4075,187.9204
20250228,-1,180.6973,188.7338
20250303,-1,180.9423,189.458
20250304,-1,181.1469,190.148
20250305,-1,181.3636,190.9756
20250306,-1,181.5563,191.6128
20250307,-1,181.7232,192.0968
20250310,-1,181.8699,192.537
20250311,-1,182.0881,192.9576
20250312,-1,182.3309,193.4176
20250313,-1,182.5423,193.8998
20250314,-1,182.7809,194.4926
20250317,-1,183.0245,195.211
20250318,-1,183.2489,195.8498
20250319,-1,183.5184,196.5406
20250320,-1,183.7567,197.1704
20250321,-1,184.0015,197.8154
20250324,-1,184.2735,198.5734
20250325,-1,184.557,199.369
20250326,-1,184.7955,200.0698
20250327,-1,185.0426,200.647
20250328,-1,185.2325,201.029
20250331,-1,185.4293,201.4338
20250401,-1,185.6511,201.8662
20250402,-1,185.7948,201.9682
20250403,-1,185.9046,201.9476
20250404,-1,185.8817,201.2938
20250407,-1,185.8561,200.7522
20250408,-1,185.8081,200.2106
20250409,-1,185.9702,200.092
20250410,-1,186.0711,199.7338
20250411,180.966,186.1911,199.258
20250414,181.0956,186.3579,198.9176
20250415,181.2163,186.4819,198.4972
20250416,181.3288,186.5785,198.0866
20250417,181.4458,186.6835,197.631
20250421,181.5303,186.7391,197.0752
20250422,181.6795,186.8365,196.8344
20250423,181.8424,186.914,196.5916
20250424,182.0125,187.0286,196.3654
20250425,182.1883,187.1249,196.1294
20250428,182.364,187.2215,195.9796
20250429,182.5531,187.3009,195.8062
20250430,182.7601,187.3811,195.6222
20250501,182.9845,187.4841,195.5144
20250502,183.2063,187.6035,195.4712
20250505,183.4664,187.7635,195.6568
20250506,183.7224,187.9325,195.884
20250507,183.9708,188.072,196.0712
20250508,184.2308,188.261,196.3112
20250509,184.4491,188.4449,196.574
20250512,184.7286,188.6789,196.8226
20250513,185.0099,188.9114,197.2126
20250514,185.2792,189.1656,197.6758
20250515,185.5791,189.4471,198.2256
20250516,185.8887,189.7157,198.8858
20250519,186.2241,190.0313,199.7268
20250520,186.5551,190.3249,200.6106
20250521,186.925,190.5973,201.4358
20250522,187.2835,190.8625,202.1412
20250523,187.6405,191.1342,202.9352
20250527,188.0425,191.4614,203.8272
20250528,188.4495,191.8226,204.7246
20250529,188.8343,192.1439,205.5906
20250530,189.2285,192.5963,206.359
20250602,189.6256,193.036,207.2322
20250603,190.0276,193.4905,208.106
20250604,190.432,193.9704,208.9078
20250605,190.8429,194.4784,209.7006
20250606,191.2675,195.0205,210.6834
20250609,191.6815,195.5331,211.598
20250610,192.0364,196.0011,212.448
20250611,192.4119,196.4917,213.3598
20250612,192.7359,196.9185,213.9904
20250613,193.0622,197.3206,214.8644
20250616,193.3863,197.6889,215.8314
20250617,193.7086,198.0683,217.1892
20250618,194.0199,198.4068,218.511
20250620,194.3463,198.7707,219.961
20250623,194.7713,199.2137,221.1746
20250624,195.182,199.6441,222.5148
20250625,195.6125,200.1215,223.8766
20250626,196.067,200.6223,225.1944
20250627,196.5108,201.1389,226.5972
20250630,196.9629,201.6747,228.1158
20250701,197.3745,202.1455,229.4476
20250702,197.7492,202.5868,230.7796
20250703,198.0924,203.0235,231.8602
20250707,198.4283,203.4762,232.971
20250708,198.761,203.8899,233.9582
20250709,199.0861,204.3458,234.9696
20250710,199.4173,204.8193,236.0048
20250711,199.7576,205.3255,237.128
20250714,200.1263,205.8727,238.362
20250715,200.5011,206.4201,239.5522
20250716,200.8884,207.0458,240.7428
20250717,201.2752,207.6253,241.8102
