datetime,open,close,high,low,volume
20240625,179.35,184.1,184.8,179.23,450810.0
20240626,184.73,183.46,184.73,182.25,340602.0
20240627,183.88,185.95,186.05,182.7,337445.0
20240628,186.5,182.56,186.78,181.96,485712.0
20240701,182.28,182.61,183.88,181.3,308790.0
20240702,182.6,185.25,185.57,181.56,332290.0
20240703,185.08,185.64,186.09,184.0,187936.0
20240705,186.41,190.6,190.86,185.72,377434.0
20240708,190.9,189.5,191.32,187.78,368493.0
20240709,189.46,189.75,191.36,188.72,271303.0
20240710,189.8,191.03,191.75,188.89,282960.0
20240711,191.0,185.57,191.89,185.08,491723.0
20240712,185.17,184.7,187.11,184.0,427843.0
20240715,185.55,187.59,188.24,184.1,291029.0
20240716,187.23,183.8,188.68,183.37,311086.0
20240717,182.75,181.57,183.55,179.9,374746.0
20240718,181.48,178.4,182.75,176.47,464168.0
20240719,176.89,177.66,180.29,176.4,320472.0
20240722,178.88,181.93,182.7,178.47,436252.0
20240723,181.64,177.8,187.18,173.66,636925.0
20240724,177.6,172.65,178.46,171.82,906212.0
20240725,172.88,166.27,173.42,166.0,810514.0
20240726,168.08,166.88,168.87,164.07,726027.0
20240729,168.27,168.0,170.43,167.0,360459.0
20240730,169.5,169.9,171.23,168.26,332554.0
20240731,171.0,172.3,174.25,169.71,514368.0
20240801,172.0,170.21,174.05,168.39,427491.0
20240802,168.0,166.3,169.22,164.67,533851.0
20240805,158.38,160.9,166.25,150.22,975848.0
20240806,161.43,157.54,164.8,156.41,982242.0
20240807,159.48,157.29,162.98,156.5,438161.0
20240808,158.28,162.83,163.69,158.28,451974.0
20240809,162.3,163.59,163.94,158.55,543317.0
20240812,163.64,162.34,164.9,161.84,287291.0
20240813,163.3,162.69,164.73,160.11,347407.0
20240814,162.96,159.75,163.75,157.71,767412.0
20240815,161.0,161.42,161.64,159.61,595025.0
20240816,162.19,162.91,165.06,159.89,442605.0
20240819,163.0,167.4,167.4,162.55,380955.0
20240820,168.14,167.15,168.64,166.82,286756.0
20240821,167.35,166.04,167.82,164.67,383366.0
20240822,165.7,164.12,167.59,163.31,376431.0
20240823,164.4,165.68,166.18,163.83,263977.0
20240826,166.6,166.1,167.55,164.45,225714.0
20240827,166.21,164.31,166.79,164.2,200143.0
20240828,164.97,161.55,165.6,161.5,308276.0
20240829,163.23,162.13,165.97,160.25,345133.0
20240830,162.96,163.32,163.71,161.69,386437.0
20240903,163.4,157.81,163.83,156.48,563148.0
20240904,157.12,156.31,159.0,155.64,348460.0
20240905,156.87,156.92,159.45,155.5,318657.0
20240906,156.4,150.5,158.16,150.04,674478.0
20240909,152.91,149.21,153.4,147.21,671829.0
20240910,148.75,148.85,151.27,147.84,494539.0
20240911,149.5,151.77,151.98,147.52,501588.0
20240912,152.42,155.64,156.0,151.87,536502.0
20240913,156.3,157.12,158.38,154.3,549743.0
20240916,157.07,158.3,158.6,156.6,324564.0
20240917,158.5,159.35,160.55,158.03,392657.0
20240918,159.99,160.82,161.0,158.59,442174.0
20240919,161.95,162.33,163.99,161.34,493595.0
20240920,162.42,163.65,164.31,161.75,704440.0
20240923,163.64,161.85,165.49,161.5,418732.0
20240924,162.71,162.37,163.22,160.69,452535.0
20240925,162.0,161.67,162.81,161.21,351208.0
20240926,163.11,163.0,164.08,162.28,358433.0
20240927,162.2,163.46,165.7,162.2,389867.0
20240930,163.3,165.73,166.15,163.15,339605.0
20241001,166.31,166.48,169.16,164.58,529634.0
20241002,166.36,166.19,167.52,164.73,324192.0
20241003,164.92,165.9,166.64,163.92,257219.0
20241004,166.0,166.98,168.22,165.48,338991.0
20241007,166.74,163.18,168.48,162.6,422089.0
20241008,163.12,164.2,164.73,162.87,309960.0
20241009,162.61,161.85,164.84,159.74,581191.0
20241010,161.78,162.04,163.07,160.39,247229.0
20241011,162.09,163.17,163.9,161.23,285268.0
20241014,163.26,165.51,166.23,163.08,297760.0
20241015,165.29,165.96,167.68,164.62,339608.0
20241016,166.0,164.75,166.15,163.74,279004.0
20241017,165.59,163.34,166.37,162.75,406053.0
20241018,163.5,163.45,164.71,163.08,322984.0
20241021,163.43,164.15,164.5,162.16,379168.0
20241022,163.74,165.1,165.77,161.95,300583.0
20241023,165.0,163.28,165.82,161.92,319869.0
20241024,163.59,162.79,164.0,161.01,398845.0
20241025,163.3,165.27,165.59,162.9,336874.0
